,date_time,T_water_temp_set_1,secondary_swell_wave_direction_set_1,wind_cardinal_direction_set_1d,secondary_swell_wave_height_set_1,wind_gust_set_1,wave_period_set_1,secondary_swell_wave_period_set_1,primary_swell_wave_period_set_1,wave_height_set_1,dew_point_temperature_set_1d,visibility_set_1,sea_level_pressure_set_1,relative_humidity_set_1,wind_speed_set_1,primary_swell_wave_height_set_1,primary_swell_true_direction_set_1,air_temp_set_1,wind_direction_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:50:00,13.81,,W,,2.0,8.0,,8.0,0.8,,,101820.0,,2.0,1.0,320.0,13.41,260.0,46027,0,-124.40000,41.90000
1,2018-08-01 01:50:00,13.81,,WNW,,4.0,9.0,,9.0,0.9,,,101740.0,,4.0,1.0,330.0,13.61,290.0,46027,0,-124.40000,41.90000
2,2018-08-01 02:50:00,13.71,,WNW,,4.0,8.0,,8.0,0.8,,,101740.0,,3.0,1.0,330.0,13.81,300.0,46027,0,-124.40000,41.90000
3,2018-08-01 03:50:00,13.11,,NW,,5.0,8.0,,8.0,1.0,,,101710.0,,4.0,1.0,340.0,13.81,310.0,46027,0,-124.40000,41.90000
4,2018-08-01 04:50:00,12.41,,NW,,5.0,9.0,,9.0,0.9,,,101770.0,,4.0,1.0,330.0,13.81,310.0,46027,0,-124.40000,41.90000
5,2018-08-01 05:50:00,12.91,,NW,,5.99,8.0,,8.0,0.9,,,101780.0,,5.0,1.0,320.0,13.81,320.0,46027,0,-124.40000,41.90000
6,2018-08-01 06:50:00,12.81,,NNW,,5.0,9.0,,9.0,1.0,,,101780.0,,4.0,1.0,330.0,13.51,340.0,46027,0,-124.40000,41.90000
7,2018-08-01 07:50:00,13.21,,NNW,,3.0,8.0,,8.0,0.9,,,101790.0,,3.0,1.0,340.0,13.61,340.0,46027,0,-124.40000,41.90000
8,2018-08-01 08:50:00,13.21,,NNW,,4.0,8.0,,8.0,0.8,,,101770.0,,3.0,0.5,330.0,13.61,340.0,46027,0,-124.40000,41.90000
9,2018-08-01 09:50:00,13.11,,NNW,,4.0,9.0,,9.0,0.9,,,101750.0,,3.0,1.0,340.0,13.51,340.0,46027,0,-124.40000,41.90000
10,2018-08-01 10:50:00,13.01,,NW,,3.0,8.0,,8.0,0.8,,,101750.0,,3.0,1.0,340.0,13.41,320.0,46027,0,-124.40000,41.90000
11,2018-08-01 11:50:00,13.41,,NNW,,5.0,8.0,,8.0,0.9,,,101730.0,,4.0,1.0,330.0,13.31,340.0,46027,0,-124.40000,41.90000
12,2018-08-01 12:50:00,13.61,,NNW,,4.0,9.0,,9.0,0.9,,,101740.0,,4.0,1.0,330.0,13.01,330.0,46027,0,-124.40000,41.90000
