,date_time,altimeter_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,precip_accum_since_local_midnight_set_1,pressure_set_1d,dew_point_temperature_set_1d,heat_index_set_1d,wind_direction_set_1,wind_speed_set_1,relative_humidity_set_1,solar_radiation_set_1,precip_accum_24_hour_set_1,sea_level_pressure_set_1d,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:09:00,100846.6,W,4.92,0.0,89912.07,15.87,33.27,272.0,1.34,35.0,380.0,0.0,99926.04,33.33,AS418,3140,-121.66002,40.92533
1,2018-08-01 00:19:00,100846.6,WSW,4.92,0.0,89912.07,14.48,32.73,254.0,1.34,32.0,364.0,0.0,99926.13,33.33,AS418,3140,-121.66002,40.92533
2,2018-08-01 00:29:00,100846.6,W,4.92,0.0,89912.07,14.93,32.33,263.0,0.9,34.0,264.0,0.0,99944.88,32.78,AS418,3140,-121.66002,40.92533
3,2018-08-01 00:40:00,100846.6,W,2.68,0.0,89912.07,14.88,31.75,281.0,0.9,35.0,220.0,0.0,99964.08,32.22,AS418,3140,-121.66002,40.92533
4,2018-08-01 00:50:00,100846.6,N,2.68,0.0,89912.07,14.88,31.75,355.0,0.45,35.0,250.0,0.0,99964.08,32.22,AS418,3140,-121.66002,40.92533
5,2018-08-01 01:00:00,100812.74,SW,2.23,0.0,89881.89,14.88,31.75,233.0,0.45,35.0,232.0,0.0,99930.52,32.22,AS418,3140,-121.66002,40.92533
6,2018-08-01 01:10:00,100812.74,W,1.79,0.0,89881.89,15.74,32.07,263.0,0.45,37.0,149.0,0.0,99930.47,32.22,AS418,3140,-121.66002,40.92533
7,2018-08-01 01:20:00,100812.74,NW,1.79,0.0,89881.89,15.32,31.91,312.0,0.45,36.0,121.0,0.0,99930.5,32.22,AS418,3140,-121.66002,40.92533
8,2018-08-01 01:31:00,100812.74,NW,1.79,0.0,89881.89,15.25,31.34,315.0,0.45,37.0,111.0,0.0,99949.42,31.67,AS418,3140,-121.66002,40.92533
9,2018-08-01 01:41:00,100812.74,WNW,2.23,0.0,89881.89,14.33,30.51,296.0,0.45,36.0,95.0,0.0,99968.81,31.11,AS418,3140,-121.66002,40.92533
10,2018-08-01 01:51:00,100812.74,,2.23,0.0,89881.89,14.75,30.64,,0.0,37.0,81.0,0.0,99968.78,31.11,AS418,3140,-121.66002,40.92533
11,2018-08-01 02:01:00,100812.74,WNW,4.02,0.0,89881.89,14.75,30.64,295.0,0.9,37.0,69.0,0.0,99968.78,31.11,AS418,3140,-121.66002,40.92533
12,2018-08-01 02:11:00,100812.74,S,4.02,0.0,89881.89,14.26,29.99,180.0,0.9,37.0,56.0,0.0,99987.88,30.56,AS418,3140,-121.66002,40.92533
13,2018-08-01 02:21:00,100812.74,WSW,3.58,0.0,89881.89,14.26,29.99,244.0,0.9,37.0,42.0,0.0,99987.88,30.56,AS418,3140,-121.66002,40.92533
14,2018-08-01 02:32:00,100812.74,WSW,3.58,0.0,89881.89,13.76,29.36,255.0,0.9,37.0,39.0,0.0,100007.39,30.0,AS418,3140,-121.66002,40.92533
15,2018-08-01 02:42:00,100846.6,WSW,2.68,0.0,89912.07,14.45,29.07,237.0,0.9,40.0,39.0,0.0,100060.49,29.44,AS418,3140,-121.66002,40.92533
16,2018-08-01 02:52:00,100846.6,SSW,2.68,0.0,89912.07,13.96,28.5,196.0,0.9,40.0,25.0,0.0,100079.81,28.89,AS418,3140,-121.66002,40.92533
17,2018-08-01 03:02:00,100846.6,SSW,2.68,0.0,89912.07,14.71,28.68,207.0,0.9,42.0,16.0,0.0,100079.76,28.89,AS418,3140,-121.66002,40.92533
18,2018-08-01 03:11:00,100846.6,SW,1.34,0.0,89912.07,14.56,28.19,217.0,0.45,43.0,11.0,0.0,100099.48,28.33,AS418,3140,-121.66002,40.92533
19,2018-08-01 03:21:00,100846.6,WSW,0.9,0.0,89912.07,14.25,27.31,238.0,0.45,45.0,5.0,0.0,100138.8,27.22,AS418,3140,-121.66002,40.92533
20,2018-08-01 03:31:00,100846.6,WSW,0.9,0.0,89912.07,14.09,26.59,242.0,0.45,46.0,0.0,0.0,100158.4,26.67,AS418,3140,-121.66002,40.92533
21,2018-08-01 03:41:00,100846.6,W,0.9,0.0,89912.07,14.23,,272.0,0.45,48.0,0.0,0.0,100178.41,26.11,AS418,3140,-121.66002,40.92533
22,2018-08-01 03:51:00,100880.47,,0.9,0.0,89942.27,14.04,,,0.0,49.0,0.0,0.0,100231.82,25.56,AS418,3140,-121.66002,40.92533
23,2018-08-01 04:01:00,100880.47,,0.9,0.0,89942.27,14.14,,,0.0,51.0,0.0,0.0,100251.99,25.0,AS418,3140,-121.66002,40.92533
24,2018-08-01 04:11:00,100880.47,,0.45,0.0,89942.27,13.62,,,0.0,51.0,0.0,0.0,100272.29,24.44,AS418,3140,-121.66002,40.92533
25,2018-08-01 04:21:00,100914.33,,0.45,0.0,89972.46,13.41,,,0.0,52.0,0.0,0.0,100325.94,23.89,AS418,3140,-121.66002,40.92533
26,2018-08-01 04:32:00,100914.33,,0.45,0.0,89972.46,13.75,,,0.0,55.0,0.0,0.0,100346.35,23.33,AS418,3140,-121.66002,40.92533
27,2018-08-01 04:42:00,100914.33,,0.9,0.0,89972.46,13.24,,,0.0,55.0,0.0,0.0,100366.52,22.78,AS418,3140,-121.66002,40.92533
28,2018-08-01 04:51:00,100948.2,,0.9,0.0,90002.66,13.52,,,0.0,56.0,0.0,0.0,100400.19,22.78,AS418,3140,-121.66002,40.92533
29,2018-08-01 05:01:00,100948.2,,0.9,0.0,90002.66,13.26,,,0.0,57.0,0.0,0.0,100420.8,22.22,AS418,3140,-121.66002,40.92533
30,2018-08-01 05:12:00,100948.2,,1.34,0.0,90002.66,14.05,,,0.0,60.0,0.0,0.0,100420.75,22.22,AS418,3140,-121.66002,40.92533
31,2018-08-01 05:22:00,100982.06,,0.0,0.0,90032.85,14.05,,,0.0,60.0,0.0,0.0,100454.44,22.22,AS418,3140,-121.66002,40.92533
32,2018-08-01 05:32:00,101015.92,,0.0,0.0,90063.04,13.79,,,0.0,61.0,0.0,0.0,100508.46,21.67,AS418,3140,-121.66002,40.92533
33,2018-08-01 05:42:00,101015.92,,0.0,0.0,90063.04,13.76,,,0.0,63.0,0.0,0.0,100529.23,21.11,AS418,3140,-121.66002,40.92533
34,2018-08-01 05:53:00,101015.92,,0.45,0.0,90063.04,14.0,,,0.0,64.0,0.0,0.0,100529.22,21.11,AS418,3140,-121.66002,40.92533
35,2018-08-01 06:03:00,101015.92,,0.45,0.0,90063.04,12.99,,,0.0,62.0,0.0,0.0,100549.76,20.56,AS418,3140,-121.66002,40.92533
36,2018-08-01 06:13:00,101015.92,,0.45,0.0,90063.04,12.95,,,0.0,64.0,0.0,0.0,100570.7,20.0,AS418,3140,-121.66002,40.92533
37,2018-08-01 06:23:00,101015.92,,0.0,0.0,90063.04,12.89,,,0.0,66.0,0.0,0.0,100591.72,19.44,AS418,3140,-121.66002,40.92533
38,2018-08-01 06:33:00,101049.79,,0.0,0.0,90093.23,13.35,,,0.0,68.0,0.0,0.0,100625.41,19.44,AS418,3140,-121.66002,40.92533
39,2018-08-01 06:44:00,101049.79,,0.0,0.0,90093.23,13.04,,,0.0,69.0,0.0,0.0,100646.17,18.89,AS418,3140,-121.66002,40.92533
40,2018-08-01 06:53:00,101049.79,,0.0,0.0,90093.23,12.73,,,0.0,70.0,0.0,0.0,100667.38,18.33,AS418,3140,-121.66002,40.92533
41,2018-08-01 07:04:00,101049.79,,0.0,0.0,90093.23,12.94,,,0.0,71.0,0.0,0.0,100667.36,18.33,AS418,3140,-121.66002,40.92533
42,2018-08-01 07:14:00,101049.79,,0.45,0.0,90093.23,12.73,,,0.0,70.0,0.0,0.0,100667.38,18.33,AS418,3140,-121.66002,40.92533
43,2018-08-01 07:24:00,101049.79,,0.0,0.0,90093.23,12.2,,,0.0,70.0,0.0,0.0,100688.31,17.78,AS418,3140,-121.66002,40.92533
44,2018-08-01 07:34:00,101083.65,,0.45,0.0,90123.42,12.42,,,0.0,71.0,0.0,0.0,100722.04,17.78,AS418,3140,-121.66002,40.92533
45,2018-08-01 07:44:00,101083.65,W,1.34,0.0,90123.42,12.84,,262.0,0.45,73.0,0.0,0.0,100722.01,17.78,AS418,3140,-121.66002,40.92533
46,2018-08-01 07:54:00,101083.65,,0.0,0.0,90123.42,12.42,,,0.0,71.0,0.0,0.0,100722.04,17.78,AS418,3140,-121.66002,40.92533
47,2018-08-01 08:04:00,101083.65,,0.9,0.0,90123.42,13.46,,,0.0,76.0,0.0,0.0,100721.97,17.78,AS418,3140,-121.66002,40.92533
48,2018-08-01 08:14:00,101083.65,,0.0,0.0,90123.42,12.3,,,0.0,73.0,0.0,0.0,100743.41,17.22,AS418,3140,-121.66002,40.92533
49,2018-08-01 08:25:00,101083.65,,0.0,0.0,90123.42,12.3,,,0.0,73.0,0.0,0.0,100743.41,17.22,AS418,3140,-121.66002,40.92533
50,2018-08-01 08:34:00,101083.65,,0.0,0.0,90123.42,12.51,,,0.0,74.0,0.0,0.0,100743.4,17.22,AS418,3140,-121.66002,40.92533
51,2018-08-01 08:44:00,101083.65,,0.45,0.0,90123.42,12.18,,,0.0,75.0,0.0,0.0,100764.49,16.67,AS418,3140,-121.66002,40.92533
52,2018-08-01 08:54:00,101083.65,,0.0,0.0,90123.42,11.98,,,0.0,74.0,0.0,0.0,100764.5,16.67,AS418,3140,-121.66002,40.92533
53,2018-08-01 09:05:00,101049.79,,0.0,0.0,90093.23,11.23,,,0.0,73.0,0.0,0.0,100752.33,16.11,AS418,3140,-121.66002,40.92533
54,2018-08-01 09:14:00,101049.79,,0.0,0.0,90093.23,11.44,,,0.0,74.0,0.0,0.0,100752.31,16.11,AS418,3140,-121.66002,40.92533
55,2018-08-01 09:24:00,101083.65,,0.0,0.0,90123.42,11.84,,,0.0,76.0,0.0,0.0,100786.05,16.11,AS418,3140,-121.66002,40.92533
56,2018-08-01 09:34:00,101083.65,,0.0,0.0,90123.42,11.31,,,0.0,76.0,0.0,0.0,100807.33,15.56,AS418,3140,-121.66002,40.92533
57,2018-08-01 09:44:00,101083.65,,0.45,0.0,90123.42,11.71,,,0.0,78.0,0.0,0.0,100807.3,15.56,AS418,3140,-121.66002,40.92533
58,2018-08-01 09:54:00,101083.65,,0.0,0.0,90123.42,11.71,,,0.0,78.0,0.0,0.0,100807.3,15.56,AS418,3140,-121.66002,40.92533
59,2018-08-01 10:04:00,101083.65,,0.0,0.0,90123.42,11.9,,,0.0,79.0,0.0,0.0,100807.29,15.56,AS418,3140,-121.66002,40.92533
60,2018-08-01 10:14:00,101083.65,,0.0,0.0,90123.42,11.71,,,0.0,78.0,0.0,0.0,100807.3,15.56,AS418,3140,-121.66002,40.92533
61,2018-08-01 10:24:00,101083.65,,0.0,0.0,90123.42,11.16,,,0.0,78.0,0.0,0.0,100829.05,15.0,AS418,3140,-121.66002,40.92533
62,2018-08-01 10:34:00,101083.65,,0.0,0.0,90123.42,11.36,,,0.0,79.0,0.0,0.0,100829.04,15.0,AS418,3140,-121.66002,40.92533
63,2018-08-01 10:44:00,101083.65,,0.0,0.0,90123.42,11.16,,,0.0,78.0,0.0,0.0,100829.05,15.0,AS418,3140,-121.66002,40.92533
64,2018-08-01 10:54:00,101083.65,,0.0,0.0,90123.42,11.0,,,0.0,80.0,0.0,0.0,100850.86,14.44,AS418,3140,-121.66002,40.92533
65,2018-08-01 11:03:00,101083.65,,0.0,0.0,90123.42,11.0,,,0.0,80.0,0.0,0.0,100850.86,14.44,AS418,3140,-121.66002,40.92533
66,2018-08-01 11:13:00,101083.65,,0.0,0.0,90123.42,11.19,,,0.0,81.0,0.0,0.0,100850.85,14.44,AS418,3140,-121.66002,40.92533
67,2018-08-01 11:23:00,101083.65,,0.45,0.0,90123.42,11.38,,,0.0,82.0,0.0,0.0,100850.84,14.44,AS418,3140,-121.66002,40.92533
68,2018-08-01 11:33:00,101083.65,,0.0,0.0,90123.42,10.65,,,0.0,81.0,0.0,0.0,100872.38,13.89,AS418,3140,-121.66002,40.92533
69,2018-08-01 11:43:00,101083.65,,0.0,0.0,90123.42,10.84,,,0.0,82.0,0.0,0.0,100872.37,13.89,AS418,3140,-121.66002,40.92533
70,2018-08-01 11:54:00,101083.65,,0.0,0.0,90123.42,10.84,,,0.0,82.0,0.0,0.0,100872.37,13.89,AS418,3140,-121.66002,40.92533
71,2018-08-01 12:04:00,101083.65,,0.0,0.0,90123.42,11.02,,,0.0,83.0,0.0,0.0,100872.36,13.89,AS418,3140,-121.66002,40.92533
72,2018-08-01 12:14:00,101083.65,,0.0,0.0,90123.42,11.21,,,0.0,84.0,0.0,0.0,100872.35,13.89,AS418,3140,-121.66002,40.92533
73,2018-08-01 12:25:00,101083.65,,0.0,0.0,90123.42,10.48,,,0.0,83.0,0.0,0.0,100894.37,13.33,AS418,3140,-121.66002,40.92533
74,2018-08-01 12:35:00,101117.52,,0.0,0.0,90153.62,10.66,,,0.0,84.0,0.0,0.0,100928.17,13.33,AS418,3140,-121.66002,40.92533
75,2018-08-01 12:45:00,101117.52,,0.0,0.0,90153.62,10.66,,,0.0,84.0,0.0,0.0,100928.17,13.33,AS418,3140,-121.66002,40.92533
76,2018-08-01 12:55:00,101117.52,,0.0,0.0,90153.62,10.12,,,0.0,84.0,0.0,0.0,100949.88,12.78,AS418,3140,-121.66002,40.92533
77,2018-08-01 13:06:00,101117.52,,0.0,0.0,90153.62,10.3,,,0.0,85.0,0.0,0.0,100949.87,12.78,AS418,3140,-121.66002,40.92533
