,wind_cardinal_direction_set_1d,wind_gust_set_1,precip_accum_set_1,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,soil_moisture_set_1,electric_conductivity_set_1,soil_moisture_set_2,volt_set_1,soil_temp_set_4,peak_wind_direction_set_1,peak_wind_speed_set_1,wind_speed_set_1,air_temp_set_1,date_time,soil_temp_set_1,soil_temp_set_3,soil_temp_set_2,dew_point_temperature_set_1d,solar_radiation_set_1,snow_depth_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,WNW,8.94,0.508,32.1,283.0,8.0,5.0,0.0,12.0,13.5,27.0,288.0,8.94,5.37,35.56,2018-08-01 00:40:00,45.1,29.6,37.4,-3.43,524.0,0.0,BUFC1,4678,-120.115083, 40.481472
1,WSW,8.94,0.508,31.15,254.0,8.0,5.0,0.0,12.0,13.8,27.0,275.0,8.94,4.47,34.44,2018-08-01 01:40:00,41.9,30.1,36.9,-4.27,356.0,0.0,BUFC1,4678,-120.115083, 40.481472
2,WSW,9.39,0.508,29.06,244.0,9.0,5.0,0.0,12.0,13.0,27.2,235.0,9.39,5.81,31.67,2018-08-01 02:40:00,39.3,30.3,36.2,-4.85,134.0,0.0,BUFC1,4678,-120.115083, 40.481472
3,W,8.49,0.508,26.87,264.0,14.0,5.0,0.0,12.0,12.8,27.2,236.0,8.49,4.02,28.33,2018-08-01 03:40:00,36.8,30.4,35.4,-1.63,12.0,0.0,BUFC1,4678,-120.115083, 40.481472
4,WNW,6.26,0.508,,299.0,17.0,4.0,0.0,12.0,12.8,27.2,271.0,6.26,2.23,25.56,2018-08-01 04:40:00,34.5,30.4,34.6,-1.26,0.0,0.0,BUFC1,4678,-120.115083, 40.481472
5,W,6.26,0.508,,266.0,20.0,4.0,0.0,11.0,12.8,27.2,274.0,6.26,2.23,25.56,2018-08-01 05:40:00,32.6,30.4,33.7,0.96,0.0,0.0,BUFC1,4678,-120.115083, 40.481472
6,W,4.02,0.508,,270.0,19.0,4.0,0.0,11.0,12.8,27.3,276.0,4.02,3.13,25.0,2018-08-01 06:40:00,31.2,30.2,32.7,-0.21,0.0,0.0,BUFC1,4678,-120.115083, 40.481472
7,ESE,4.47,0.508,,123.0,26.0,4.0,0.0,11.0,12.8,27.5,264.0,4.47,1.34,20.56,2018-08-01 07:40:00,30.0,30.1,32.0,0.34,0.0,0.0,BUFC1,4678,-120.115083, 40.481472
8,NNW,3.58,0.508,,339.0,29.0,4.0,0.0,11.0,12.8,27.5,58.0,3.58,2.23,18.89,2018-08-01 08:40:00,28.8,29.9,31.2,0.4,0.0,0.0,BUFC1,4678,-120.115083, 40.481472
9,ESE,3.13,0.508,,106.0,35.0,4.0,0.0,11.0,12.8,27.5,162.0,3.13,1.34,16.67,2018-08-01 09:40:00,27.6,29.7,30.5,1.05,0.0,0.0,BUFC1,4678,-120.115083, 40.481472
10,NW,1.79,0.508,,314.0,37.0,4.0,0.0,11.0,12.7,27.5,336.0,1.79,0.9,15.56,2018-08-01 10:40:00,26.4,29.5,29.8,0.83,0.0,0.0,BUFC1,4678,-120.115083, 40.481472
11,W,1.79,0.508,,261.0,43.0,4.0,0.0,11.0,12.7,27.5,319.0,1.79,0.45,12.78,2018-08-01 11:40:00,25.1,29.2,29.1,0.41,0.0,0.0,BUFC1,4678,-120.115083, 40.481472
12,,1.34,0.508,,,46.0,4.0,0.0,11.0,12.7,27.5,141.0,1.34,0.0,11.11,2018-08-01 12:40:00,23.8,29.0,28.3,-0.18,0.0,0.0,BUFC1,4678,-120.115083, 40.481472
13,WNW,1.34,0.508,,303.0,44.0,4.0,0.0,11.0,12.7,27.5,310.0,1.34,0.9,11.67,2018-08-01 13:40:00,22.6,28.7,27.6,-0.28,11.0,0.0,BUFC1,4678,-120.115083, 40.481472
14,,1.34,0.508,,,32.0,4.0,0.0,10.0,13.0,27.5,135.0,1.34,0.0,17.78,2018-08-01 14:40:00,22.2,28.4,26.9,0.79,111.0,0.0,BUFC1,4678,-120.115083, 40.481472
