,date_time,altimeter_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,precip_accum_since_local_midnight_set_1,pressure_set_1d,dew_point_temperature_set_1d,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,precip_accum_24_hour_set_1,sea_level_pressure_set_1d,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:09:00,101659.34,WNW,4.02,0.0,99474.03,16.4,,296.0,57.0,0.45,0.0,101572.02,25.56,C0570,600,-123.87562,41.04207
1,2018-08-01 00:24:00,101659.34,NNW,3.58,0.0,99474.03,16.41,,344.0,61.0,1.34,0.0,101579.98,24.44,C0570,600,-123.87562,41.04207
2,2018-08-01 00:39:00,101625.47,NW,5.37,0.0,99440.89,15.89,,325.0,59.0,0.9,0.0,101546.14,24.44,C0570,600,-123.87562,41.04207
3,2018-08-01 00:54:00,101625.47,NE,3.13,0.0,99440.89,16.15,,40.0,62.0,0.45,0.0,101550.07,23.89,C0570,600,-123.87562,41.04207
4,2018-08-01 01:09:00,101625.47,NNW,4.47,0.0,99440.89,15.62,,333.0,62.0,0.9,0.0,101554.1,23.33,C0570,600,-123.87562,41.04207
5,2018-08-01 01:24:00,101625.47,ENE,4.02,0.0,99440.89,15.59,,61.0,64.0,1.79,0.0,101558.06,22.78,C0570,600,-123.87562,41.04207
6,2018-08-01 01:39:00,101625.47,NNE,3.58,0.0,99440.89,15.01,,12.0,66.0,1.34,0.0,101566.1,21.67,C0570,600,-123.87562,41.04207
7,2018-08-01 01:54:00,101625.47,NNE,2.23,0.0,99440.89,15.25,,27.0,67.0,0.9,0.0,101566.1,21.67,C0570,600,-123.87562,41.04207
8,2018-08-01 02:09:00,101625.47,NNW,4.02,0.0,99440.89,14.48,,343.0,66.0,1.34,0.0,101570.19,21.11,C0570,600,-123.87562,41.04207
9,2018-08-01 02:24:00,101625.47,,2.23,0.0,99440.89,14.55,,,71.0,0.0,0.0,101578.32,20.0,C0570,600,-123.87562,41.04207
10,2018-08-01 02:39:00,101625.47,NNE,2.23,0.0,99440.89,14.12,,25.0,74.0,0.45,0.0,101586.52,18.89,C0570,600,-123.87562,41.04207
11,2018-08-01 02:54:00,101625.47,,4.47,0.0,99440.89,13.67,,,77.0,0.0,0.0,101594.78,17.78,C0570,600,-123.87562,41.04207
12,2018-08-01 03:09:00,101659.34,NE,2.68,0.0,99474.03,13.87,,49.0,78.0,0.45,0.0,101628.64,17.78,C0570,600,-123.87562,41.04207
13,2018-08-01 03:25:00,101659.34,,0.45,0.0,99474.03,13.52,,,79.0,0.0,0.0,101632.83,17.22,C0570,600,-123.87562,41.04207
14,2018-08-01 03:40:00,101693.2,NE,2.23,0.0,99507.16,13.37,,39.0,81.0,0.45,0.0,101670.82,16.67,C0570,600,-123.87562,41.04207
15,2018-08-01 03:55:00,101693.2,,2.23,0.0,99507.16,13.2,,,83.0,0.0,0.0,101675.05,16.11,C0570,600,-123.87562,41.04207
16,2018-08-01 04:10:00,101727.07,,2.68,0.0,99540.3,13.03,,,85.0,0.0,0.0,101713.08,15.56,C0570,600,-123.87562,41.04207
17,2018-08-01 04:25:00,101727.07,NE,4.47,0.0,99540.3,12.28,,43.0,87.0,1.79,0.0,101721.62,14.44,C0570,600,-123.87562,41.04207
18,2018-08-01 04:40:00,101760.93,NNE,1.79,0.0,99573.44,12.46,,29.0,88.0,0.45,0.0,101755.48,14.44,C0570,600,-123.87562,41.04207
19,2018-08-01 04:55:00,101794.79,NNE,2.23,0.0,99606.57,12.26,,26.0,90.0,0.45,0.0,101793.56,13.89,C0570,600,-123.87562,41.04207
20,2018-08-01 05:10:00,101828.66,N,1.79,0.0,99639.71,12.6,,355.0,92.0,0.45,0.0,101827.43,13.89,C0570,600,-123.87562,41.04207
21,2018-08-01 05:25:00,101828.66,,2.23,0.0,99639.71,12.6,,,92.0,0.0,0.0,101827.43,13.89,C0570,600,-123.87562,41.04207
22,2018-08-01 05:40:00,101828.66,NE,1.79,0.0,99639.71,12.6,,37.0,92.0,0.45,0.0,101827.43,13.89,C0570,600,-123.87562,41.04207
23,2018-08-01 05:55:00,101828.66,,2.23,0.0,99639.71,12.6,,,92.0,0.0,0.0,101827.43,13.89,C0570,600,-123.87562,41.04207
24,2018-08-01 06:10:00,101828.66,,0.9,0.0,99639.71,12.6,,,92.0,0.0,0.0,101827.43,13.89,C0570,600,-123.87562,41.04207
25,2018-08-01 06:25:00,101828.66,N,1.34,0.0,99639.71,12.6,,11.0,92.0,0.45,0.0,101827.43,13.89,C0570,600,-123.87562,41.04207
