,road_freezing_temp_set_2,date_time,road_freezing_temp_set_1,road_subsurface_tmp_set_1,road_temp_set_1,road_temp_set_2,road_temp_set_3,road_freezing_temp_set_3,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,0.0,2018-08-01 00:01:00,0.0,30.0,39.7,41.2,39.7,0.0,CF112,3065,-122.58186,41.80012
1,0.0,2018-08-01 00:16:00,0.0,30.2,38.5,40.0,38.9,0.0,CF112,3065,-122.58186,41.80012
2,0.0,2018-08-01 00:31:00,0.0,30.2,37.6,38.9,38.0,0.0,CF112,3065,-122.58186,41.80012
3,0.0,2018-08-01 00:46:00,0.0,30.2,36.9,38.2,37.3,0.0,CF112,3065,-122.58186,41.80012
4,0.0,2018-08-01 01:01:00,0.0,30.3,36.1,37.3,36.5,0.0,CF112,3065,-122.58186,41.80012
5,0.0,2018-08-01 01:16:00,0.0,30.3,35.2,36.3,35.5,0.0,CF112,3065,-122.58186,41.80012
6,0.0,2018-08-01 01:31:00,0.0,30.4,35.2,36.2,35.6,0.0,CF112,3065,-122.58186,41.80012
7,0.0,2018-08-01 01:46:00,0.0,30.4,34.9,36.0,35.5,0.0,CF112,3065,-122.58186,41.80012
8,0.0,2018-08-01 02:01:00,0.0,30.4,34.2,35.3,34.9,0.0,CF112,3065,-122.58186,41.80012
9,0.0,2018-08-01 02:16:00,0.0,30.6,33.5,34.6,34.1,0.0,CF112,3065,-122.58186,41.80012
10,0.0,2018-08-01 02:31:00,0.0,30.6,33.0,34.1,33.5,0.0,CF112,3065,-122.58186,41.80012
11,0.0,2018-08-01 02:46:00,0.0,30.6,32.2,33.2,32.8,0.0,CF112,3065,-122.58186,41.80012
12,0.0,2018-08-01 03:01:00,0.0,30.7,31.6,32.7,32.2,0.0,CF112,3065,-122.58186,41.80012
13,0.0,2018-08-01 03:16:00,0.0,30.7,31.0,32.0,31.7,0.0,CF112,3065,-122.58186,41.80012
14,0.0,2018-08-01 03:31:00,0.0,30.7,30.4,31.5,31.1,0.0,CF112,3065,-122.58186,41.80012
15,0.0,2018-08-01 03:46:00,0.0,30.8,29.9,30.9,30.7,0.0,CF112,3065,-122.58186,41.80012
16,0.0,2018-08-01 04:01:00,0.0,30.8,29.5,30.5,30.2,0.0,CF112,3065,-122.58186,41.80012
17,0.0,2018-08-01 04:16:00,0.0,30.8,29.0,29.9,29.8,0.0,CF112,3065,-122.58186,41.80012
18,0.0,2018-08-01 04:31:00,0.0,30.8,28.7,29.6,29.4,0.0,CF112,3065,-122.58186,41.80012
19,0.0,2018-08-01 04:46:00,0.0,30.8,28.3,29.2,29.0,0.0,CF112,3065,-122.58186,41.80012
20,0.0,2018-08-01 05:01:00,0.0,30.9,28.0,28.9,28.8,0.0,CF112,3065,-122.58186,41.80012
21,0.0,2018-08-01 05:16:00,0.0,30.9,27.6,28.6,28.4,0.0,CF112,3065,-122.58186,41.80012
22,0.0,2018-08-01 05:31:00,0.0,30.9,27.4,28.4,28.2,0.0,CF112,3065,-122.58186,41.80012
23,0.0,2018-08-01 05:46:00,0.0,30.9,27.1,28.0,27.9,0.0,CF112,3065,-122.58186,41.80012
24,0.0,2018-08-01 06:01:00,0.0,30.9,26.8,27.7,27.6,0.0,CF112,3065,-122.58186,41.80012
25,0.0,2018-08-01 06:16:00,0.0,30.9,26.5,27.4,27.4,0.0,CF112,3065,-122.58186,41.80012
26,0.0,2018-08-01 06:31:00,0.0,30.9,26.3,27.2,27.3,0.0,CF112,3065,-122.58186,41.80012
27,0.0,2018-08-01 06:46:00,0.0,30.9,26.1,27.0,26.9,0.0,CF112,3065,-122.58186,41.80012
28,0.0,2018-08-01 07:01:00,0.0,30.9,25.8,26.7,26.7,0.0,CF112,3065,-122.58186,41.80012
29,0.0,2018-08-01 07:16:00,0.0,30.9,25.6,26.5,26.4,0.0,CF112,3065,-122.58186,41.80012
30,0.0,2018-08-01 07:31:00,0.0,30.9,25.4,26.2,26.2,0.0,CF112,3065,-122.58186,41.80012
31,0.0,2018-08-01 07:46:00,0.0,30.9,25.0,25.9,25.8,0.0,CF112,3065,-122.58186,41.80012
32,0.0,2018-08-01 08:01:00,0.0,30.9,24.8,25.6,25.5,0.0,CF112,3065,-122.58186,41.80012
33,0.0,2018-08-01 08:16:00,0.0,30.9,24.5,25.3,25.3,0.0,CF112,3065,-122.58186,41.80012
34,0.0,2018-08-01 08:31:00,0.0,30.9,24.3,25.1,25.1,0.0,CF112,3065,-122.58186,41.80012
35,0.0,2018-08-01 08:46:00,0.0,30.9,24.0,24.7,24.8,0.0,CF112,3065,-122.58186,41.80012
36,0.0,2018-08-01 09:01:00,0.0,30.9,23.8,24.5,24.6,0.0,CF112,3065,-122.58186,41.80012
37,0.0,2018-08-01 09:16:00,0.0,30.9,23.6,24.4,24.3,0.0,CF112,3065,-122.58186,41.80012
38,0.0,2018-08-01 09:31:00,0.0,30.8,23.4,24.1,24.2,0.0,CF112,3065,-122.58186,41.80012
39,0.0,2018-08-01 09:46:00,0.0,30.8,23.2,23.9,24.0,0.0,CF112,3065,-122.58186,41.80012
40,0.0,2018-08-01 10:01:00,0.0,30.8,23.0,23.8,23.8,0.0,CF112,3065,-122.58186,41.80012
41,0.0,2018-08-01 10:16:00,0.0,30.8,22.7,23.4,23.5,0.0,CF112,3065,-122.58186,41.80012
42,0.0,2018-08-01 10:31:00,0.0,30.8,22.6,23.2,23.3,0.0,CF112,3065,-122.58186,41.80012
43,0.0,2018-08-01 10:46:00,0.0,30.7,22.4,23.0,23.1,0.0,CF112,3065,-122.58186,41.80012
