,date_time,fuel_moisture_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,volt_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,peak_wind_direction_set_1,dew_point_temperature_set_1d,fuel_temp_set_1,precip_accum_set_1,heat_index_set_1d,wind_direction_set_1,wind_speed_set_1,peak_wind_speed_set_1,solar_radiation_set_1,relative_humidity_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:16:00,3.9,SE,4.92,13.1,,,134.0,5.16,38.33,230.632,33.13,136.0,0.9,4.92,566.0,15.0,35.56,CLNC1,3910,-122.825525, 41.299739
1,2018-08-01 01:16:00,3.9,S,5.37,13.9,,,185.0,5.6,31.67,230.632,29.17,177.0,1.34,5.37,244.0,20.0,31.11,CLNC1,3910,-122.825525, 41.299739
2,2018-08-01 02:16:00,3.8,S,4.92,13.2,,,197.0,5.14,29.44,230.632,28.7,171.0,0.9,4.92,211.0,20.0,30.56,CLNC1,3910,-122.825525, 41.299739
3,2018-08-01 03:16:00,3.9,SE,4.92,13.0,,,150.0,4.92,24.44,230.632,26.62,132.0,1.79,4.92,59.0,24.0,27.22,CLNC1,3910,-122.825525, 41.299739
4,2018-08-01 04:16:00,4.0,NNE,4.47,13.0,,,137.0,5.72,22.22,230.632,,31.0,2.23,4.47,3.0,30.0,24.44,CLNC1,3910,-122.825525, 41.299739
5,2018-08-01 05:16:00,4.0,N,4.02,12.9,,,21.0,4.7,20.56,230.632,,3.0,2.23,4.02,0.0,32.0,22.22,CLNC1,3910,-122.825525, 41.299739
6,2018-08-01 06:16:00,4.1,NNE,4.92,12.9,,,24.0,5.4,20.0,230.632,,20.0,3.58,4.92,0.0,36.0,21.11,CLNC1,3910,-122.825525, 41.299739
7,2018-08-01 07:16:00,4.2,N,5.37,12.9,,,30.0,6.8,18.89,230.632,,358.0,2.68,5.37,0.0,41.0,20.56,CLNC1,3910,-122.825525, 41.299739
8,2018-08-01 08:16:00,4.3,N,4.47,12.8,,,9.0,6.98,18.33,230.632,,0.0,3.13,4.47,0.0,43.0,20.0,CLNC1,3910,-122.825525, 41.299739
9,2018-08-01 09:16:00,4.4,NNW,5.37,12.8,,,347.0,6.31,17.22,230.632,,329.0,2.68,5.37,0.0,44.0,18.89,CLNC1,3910,-122.825525, 41.299739
10,2018-08-01 10:16:00,4.5,NNW,4.02,12.8,,,355.0,6.56,16.11,230.632,,341.0,2.68,4.02,0.0,48.0,17.78,CLNC1,3910,-122.825525, 41.299739
11,2018-08-01 11:16:00,4.7,N,3.58,12.8,,,6.0,6.93,15.56,230.632,,356.0,3.13,3.58,0.0,51.0,17.22,CLNC1,3910,-122.825525, 41.299739
12,2018-08-01 12:16:00,4.9,NNE,3.13,12.8,36.67,17.22,352.0,7.21,15.0,230.632,,18.0,2.23,3.13,0.0,52.0,17.22,CLNC1,3910,-122.825525, 41.299739
13,2018-08-01 13:16:00,5.0,N,3.58,12.8,,,352.0,7.0,14.44,230.632,,353.0,2.23,3.58,1.0,55.0,16.11,CLNC1,3910,-122.825525, 41.299739
14,2018-08-01 14:16:00,5.2,NNW,3.13,12.8,,,2.0,7.27,15.0,230.632,,345.0,2.23,3.13,31.0,56.0,16.11,CLNC1,3910,-122.825525, 41.299739
15,2018-08-01 15:16:00,5.3,NW,2.23,13.0,,,336.0,7.37,18.33,230.632,,309.0,1.79,2.23,123.0,49.0,18.33,CLNC1,3910,-122.825525, 41.299739
16,2018-08-01 16:16:00,5.6,NW,2.23,13.3,,,302.0,7.99,22.78,230.632,,316.0,0.45,2.23,269.0,43.0,21.11,CLNC1,3910,-122.825525, 41.299739
17,2018-08-01 17:16:00,5.9,S,1.79,13.9,,,300.0,9.18,28.33,230.632,,186.0,0.45,1.79,413.0,38.0,24.44,CLNC1,3910,-122.825525, 41.299739
18,2018-08-01 18:16:00,5.5,S,2.23,13.4,,,206.0,9.1,32.22,230.632,26.64,176.0,0.9,2.23,575.0,32.0,27.22,CLNC1,3910,-122.825525, 41.299739
19,2018-08-01 19:16:00,5.4,S,3.13,13.3,,,179.0,8.53,35.56,230.632,28.07,175.0,0.9,3.13,708.0,27.0,29.44,CLNC1,3910,-122.825525, 41.299739
20,2018-08-01 20:16:00,5.2,S,3.58,13.2,,,219.0,8.71,38.33,230.632,29.91,189.0,1.34,3.58,768.0,24.0,31.67,CLNC1,3910,-122.825525, 41.299739
21,2018-08-01 21:16:00,4.9,SW,3.58,13.1,,,217.0,8.16,39.44,230.632,31.35,221.0,0.9,3.58,808.0,21.0,33.33,CLNC1,3910,-122.825525, 41.299739
22,2018-08-01 22:16:00,4.5,SW,4.02,13.2,,,197.0,3.81,38.33,230.632,31.5,235.0,1.79,4.02,772.0,15.0,33.89,CLNC1,3910,-122.825525, 41.299739
23,2018-08-01 23:16:00,4.4,NNE,5.81,13.2,,,39.0,-1.87,39.44,230.632,32.26,32.0,3.13,5.81,729.0,9.0,35.56,CLNC1,3910,-122.825525, 41.299739
24,2018-08-02 00:16:00,4.1,ENE,8.49,13.2,,,62.0,-0.89,37.78,230.632,31.92,61.0,3.58,8.49,657.0,10.0,35.0,CLNC1,3910,-122.825525, 41.299739
25,2018-08-02 01:16:00,4.1,ENE,8.49,13.3,,,58.0,-0.61,33.33,230.632,29.83,58.0,4.92,8.49,458.0,12.0,32.22,CLNC1,3910,-122.825525, 41.299739
26,2018-08-02 02:16:00,3.9,ENE,8.05,13.7,,,62.0,0.16,30.56,230.632,28.58,67.0,4.92,8.05,279.0,14.0,30.56,CLNC1,3910,-122.825525, 41.299739
27,2018-08-02 03:16:00,4.0,NE,8.94,13.0,,,62.0,1.63,25.56,230.632,26.49,46.0,4.47,8.94,109.0,19.0,27.22,CLNC1,3910,-122.825525, 41.299739
28,2018-08-02 04:16:00,4.1,NNE,8.05,13.0,,,47.0,1.33,22.22,230.632,,20.0,2.68,8.05,3.0,22.0,24.44,CLNC1,3910,-122.825525, 41.299739
29,2018-08-02 05:16:00,4.0,NE,5.37,12.9,,,68.0,2.17,20.0,230.632,,52.0,1.79,5.37,0.0,25.0,23.33,CLNC1,3910,-122.825525, 41.299739
30,2018-08-02 06:16:00,4.1,NE,5.37,12.9,,,43.0,2.33,18.89,230.632,,36.0,2.68,5.37,0.0,29.0,21.11,CLNC1,3910,-122.825525, 41.299739
31,2018-08-02 07:16:00,4.1,NNE,4.92,12.9,,,22.0,2.74,17.78,230.632,,26.0,3.13,4.92,0.0,32.0,20.0,CLNC1,3910,-122.825525, 41.299739
32,2018-08-02 08:16:00,4.1,N,4.47,12.9,,,19.0,3.03,16.67,230.632,,353.0,3.13,4.47,0.0,35.0,18.89,CLNC1,3910,-122.825525, 41.299739
33,2018-08-02 09:16:00,4.2,N,4.47,12.8,,,357.0,3.2,15.56,230.632,,354.0,3.13,4.47,0.0,38.0,17.78,CLNC1,3910,-122.825525, 41.299739
34,2018-08-02 10:16:00,4.4,N,4.02,12.8,,,356.0,2.7,15.0,230.632,,353.0,2.68,4.02,0.0,38.0,17.22,CLNC1,3910,-122.825525, 41.299739
35,2018-08-02 11:16:00,4.3,N,4.47,12.8,,,352.0,2.77,13.89,230.632,,353.0,2.68,4.47,0.0,41.0,16.11,CLNC1,3910,-122.825525, 41.299739
36,2018-08-02 12:16:00,4.4,N,3.58,12.8,36.11,15.56,5.0,2.27,13.33,230.632,,357.0,2.68,3.58,0.0,41.0,15.56,CLNC1,3910,-122.825525, 41.299739
37,2018-08-02 13:16:00,4.6,N,3.13,12.8,,,0.0,0.33,12.78,230.632,,2.0,2.23,3.13,1.0,37.0,15.0,CLNC1,3910,-122.825525, 41.299739
38,2018-08-02 14:16:00,4.7,N,3.13,12.8,,,353.0,0.83,14.44,230.632,,354.0,2.23,3.13,41.0,37.0,15.56,CLNC1,3910,-122.825525, 41.299739
39,2018-08-02 15:16:00,4.8,N,2.68,13.0,,,0.0,2.12,18.89,230.632,,355.0,1.79,2.68,187.0,34.0,18.33,CLNC1,3910,-122.825525, 41.299739
40,2018-08-02 16:16:00,5.0,SSW,1.79,13.2,,,338.0,3.78,25.56,230.632,,204.0,0.9,1.79,372.0,30.0,22.22,CLNC1,3910,-122.825525, 41.299739
41,2018-08-02 17:16:00,5.0,S,2.23,13.4,,,193.0,3.67,29.44,230.632,,190.0,0.9,2.23,553.0,26.0,24.44,CLNC1,3910,-122.825525, 41.299739
42,2018-08-02 18:16:00,5.1,SSW,4.02,13.3,,,158.0,3.97,33.33,230.632,,204.0,1.34,4.02,723.0,24.0,26.11,CLNC1,3910,-122.825525, 41.299739
43,2018-08-02 19:16:00,4.8,S,4.92,13.2,,,246.0,3.96,36.67,230.632,27.0,184.0,1.79,4.92,862.0,21.0,28.33,CLNC1,3910,-122.825525, 41.299739
44,2018-08-02 20:16:00,4.2,SSE,4.02,13.1,,,164.0,2.45,39.44,230.632,29.05,164.0,1.34,4.02,945.0,16.0,31.11,CLNC1,3910,-122.825525, 41.299739
45,2018-08-02 21:16:00,4.3,S,4.92,13.1,,,136.0,1.5,40.56,230.632,29.96,189.0,1.79,4.92,956.0,14.0,32.22,CLNC1,3910,-122.825525, 41.299739
46,2018-08-02 22:16:00,3.9,SSE,5.81,13.2,,,242.0,0.71,40.0,230.632,31.26,159.0,2.68,5.81,900.0,12.0,33.89,CLNC1,3910,-122.825525, 41.299739
47,2018-08-02 23:16:00,4.0,S,5.37,13.1,,,175.0,-0.91,37.78,230.632,30.64,178.0,1.79,5.37,770.0,11.0,33.33,CLNC1,3910,-122.825525, 41.299739
48,2018-08-03 00:16:00,3.9,SSE,4.47,13.1,,,147.0,-0.47,37.22,230.632,31.11,157.0,2.23,4.47,620.0,11.0,33.89,CLNC1,3910,-122.825525, 41.299739
49,2018-08-03 01:16:00,3.7,S,5.37,13.5,,,183.0,2.01,32.78,230.632,29.51,176.0,1.79,5.37,449.0,15.0,31.67,CLNC1,3910,-122.825525, 41.299739
50,2018-08-03 02:16:00,3.7,SW,5.37,13.4,,,235.0,3.5,27.78,230.632,26.62,229.0,1.34,5.37,235.0,21.0,27.78,CLNC1,3910,-122.825525, 41.299739
51,2018-08-03 03:16:00,3.7,S,4.02,13.0,,,195.0,3.67,21.67,230.632,,189.0,0.9,4.02,71.0,26.0,24.44,CLNC1,3910,-122.825525, 41.299739
52,2018-08-03 04:16:00,3.7,E,4.47,13.0,,,121.0,3.78,20.0,230.632,,93.0,2.23,4.47,2.0,29.0,22.78,CLNC1,3910,-122.825525, 41.299739
53,2018-08-03 05:16:00,3.9,NNE,4.02,12.9,,,129.0,3.67,17.78,230.632,,24.0,1.79,4.02,0.0,33.0,20.56,CLNC1,3910,-122.825525, 41.299739
54,2018-08-03 06:16:00,3.9,NNE,4.92,12.9,,,41.0,2.62,17.22,230.632,,21.0,2.23,4.92,0.0,34.0,18.89,CLNC1,3910,-122.825525, 41.299739
55,2018-08-03 07:16:00,4.0,N,4.02,12.9,,,34.0,3.57,15.56,230.632,,0.0,2.68,4.02,0.0,39.0,17.78,CLNC1,3910,-122.825525, 41.299739
56,2018-08-03 08:16:00,4.0,N,4.92,12.9,,,11.0,3.95,14.44,230.632,,6.0,2.68,4.92,0.0,43.0,16.67,CLNC1,3910,-122.825525, 41.299739
57,2018-08-03 09:16:00,4.1,N,4.47,12.8,,,27.0,4.51,13.89,230.632,,10.0,2.68,4.47,0.0,48.0,15.56,CLNC1,3910,-122.825525, 41.299739
