,date_time,wind_cardinal_direction_set_1d,dew_point_temperature_set_1d,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,WNW,14.97,30.4,287.79,38.27,1.76,30.78,CQ233,2116,-121.82046,39.20556
1,2018-08-01 01:00:00,WNW,14.59,31.16,294.03,35.38,0.34,31.71,CQ233,2116,-121.82046,39.20556
2,2018-08-01 02:00:00,NW,11.99,30.85,322.56,29.14,1.98,32.12,CQ233,2116,-121.82046,39.20556
3,2018-08-01 03:00:00,W,11.96,29.15,275.32,32.51,3.97,30.2,CQ233,2116,-121.82046,39.20556
4,2018-08-01 04:00:00,WNW,10.21,28.47,291.74,29.77,6.82,29.71,CQ233,2116,-121.82046,39.20556
5,2018-08-01 05:00:00,NW,12.31,28.83,304.32,34.18,6.66,29.74,CQ233,2116,-121.82046,39.20556
6,2018-08-01 06:00:00,NW,11.27,28.21,313.79,32.98,5.84,29.17,CQ233,2116,-121.82046,39.20556
7,2018-08-01 07:00:00,NW,10.06,27.16,304.76,32.78,5.62,27.9,CQ233,2116,-121.82046,39.20556
8,2018-08-01 08:00:00,WNW,11.84,,288.04,40.43,6.1,26.37,CQ233,2116,-121.82046,39.20556
9,2018-08-01 09:00:00,W,11.8,,273.34,40.91,7.46,26.13,CQ233,2116,-121.82046,39.20556
10,2018-08-01 10:00:00,W,9.33,,269.57,36.01,7.53,25.5,CQ233,2116,-121.82046,39.20556
11,2018-08-01 11:00:00,W,7.54,,269.91,30.98,7.41,25.99,CQ233,2116,-121.82046,39.20556
12,2018-08-01 12:00:00,W,8.99,,271.7,37.37,8.58,24.51,CQ233,2116,-121.82046,39.20556
13,2018-08-01 13:00:00,WSW,11.19,,258.35,44.14,7.31,24.19,CQ233,2116,-121.82046,39.20556
14,2018-08-01 14:00:00,WSW,11.97,,237.84,44.31,5.73,24.98,CQ233,2116,-121.82046,39.20556
15,2018-08-01 15:00:00,SSW,11.92,,199.07,44.62,4.2,24.81,CQ233,2116,-121.82046,39.20556
16,2018-08-01 16:00:00,S,10.95,,178.23,39.71,3.82,25.68,CQ233,2116,-121.82046,39.20556
