,road_subsurface_tmp_set_1,date_time,wind_cardinal_direction_set_1d,road_temp_set_1,wind_gust_set_1,dew_point_temperature_set_1d,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,28.2,2018-08-07 23:14:00,N,43.7,4.72,3.73,32.51,356.0,14.0,3.89,35.0,CTHLT,3188,-122.6088,41.99260
1,28.2,2018-08-07 23:29:00,NNW,43.5,4.17,6.98,33.37,344.0,17.0,2.22,35.6,CTHLT,3188,-122.6088,41.99260
2,28.3,2018-08-07 23:44:00,NNW,42.8,5.28,7.4,32.94,348.0,18.0,3.89,35.1,CTHLT,3188,-122.6088,41.99260
3,28.3,2018-08-07 23:59:00,N,41.4,5.56,7.93,32.72,353.0,19.0,2.5,34.8,CTHLT,3188,-122.6088,41.99260
4,28.3,2018-08-08 00:14:00,NNE,40.3,4.72,8.64,31.95,20.0,21.0,3.06,33.9,CTHLT,3188,-122.6088,41.99260
5,28.4,2018-08-08 00:29:00,NNE,39.7,3.89,8.74,31.3,30.0,22.0,3.06,33.2,CTHLT,3188,-122.6088,41.99260
6,28.4,2018-08-08 00:44:00,NNE,38.6,4.17,8.96,30.87,33.0,23.0,3.33,32.7,CTHLT,3188,-122.6088,41.99260
7,28.4,2018-08-08 00:59:00,NE,37.9,4.44,9.86,30.63,42.0,25.0,3.89,32.3,CTHLT,3188,-122.6088,41.99260
8,28.5,2018-08-08 01:14:00,NE,36.8,5.28,10.01,30.2,39.0,26.0,3.61,31.8,CTHLT,3188,-122.6088,41.99260
9,28.6,2018-08-08 01:29:00,NNE,35.9,5.0,10.14,29.78,20.0,27.0,3.33,31.3,CTHLT,3188,-122.6088,41.99260
10,28.6,2018-08-08 01:44:00,N,34.7,5.83,10.77,29.44,6.0,29.0,2.5,30.8,CTHLT,3188,-122.6088,41.99260
11,28.7,2018-08-08 01:59:00,NNE,34.1,5.83,10.51,29.15,27.0,29.0,2.5,30.5,CTHLT,3188,-122.6088,41.99260
12,28.8,2018-08-08 02:14:00,NNE,33.5,4.17,10.16,28.77,20.0,29.0,2.78,30.1,CTHLT,3188,-122.6088,41.99260
13,28.8,2018-08-08 02:29:00,NNE,32.9,3.89,9.47,28.53,19.0,28.0,1.94,29.9,CTHLT,3188,-122.6088,41.99260
14,28.8,2018-08-08 02:44:00,NE,32.4,4.17,9.29,28.35,34.0,28.0,2.5,29.7,CTHLT,3188,-122.6088,41.99260
15,28.9,2018-08-08 02:59:00,N,31.8,5.28,9.21,28.26,9.0,28.0,2.5,29.6,CTHLT,3188,-122.6088,41.99260
16,29.0,2018-08-08 03:14:00,N,31.5,4.17,8.94,28.01,355.0,28.0,2.78,29.3,CTHLT,3188,-122.6088,41.99260
17,29.0,2018-08-08 03:29:00,N,31.1,3.89,8.86,27.93,9.0,28.0,2.22,29.2,CTHLT,3188,-122.6088,41.99260
18,29.1,2018-08-08 03:44:00,NNW,30.5,3.89,8.6,27.68,344.0,28.0,3.33,28.9,CTHLT,3188,-122.6088,41.99260
19,29.2,2018-08-08 03:59:00,NNW,30.1,4.72,8.51,27.61,337.0,28.0,2.22,28.8,CTHLT,3188,-122.6088,41.99260
20,29.2,2018-08-08 04:14:00,NNE,30.1,4.44,9.12,27.74,19.0,29.0,3.33,28.9,CTHLT,3188,-122.6088,41.99260
