,road_temp_set_4,date_time,road_subsurface_tmp_set_1,road_temp_set_1,road_temp_set_2,road_temp_set_3,dew_point_temperature_set_1d,heat_index_set_1d,wind_direction_set_1,wind_cardinal_direction_set_1d,relative_humidity_set_1,wind_speed_set_1,wind_gust_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,38.6,2018-08-01 00:13:00,32.6,39.0,40.0,38.4,12.04,32.19,106.0,ESE,27.0,1.67,2.5,33.5,CTVOL,1330,-122.4268,40.9418
1,38.4,2018-08-01 00:28:00,32.6,38.9,39.9,38.3,12.13,32.31,121.0,ESE,27.0,1.67,2.78,33.6,CTVOL,1330,-122.4268,40.9418
2,37.9,2018-08-01 00:43:00,32.8,38.4,39.4,37.8,12.5,32.21,107.0,ESE,28.0,1.67,1.94,33.4,CTVOL,1330,-122.4268,40.9418
3,37.6,2018-08-01 00:58:00,33.0,38.1,39.1,37.5,12.69,31.86,115.0,ESE,29.0,1.94,1.94,33.0,CTVOL,1330,-122.4268,40.9418
4,37.6,2018-08-01 01:13:00,33.1,38.0,39.1,37.3,13.53,31.89,54.0,NE,31.0,0.83,2.5,32.8,CTVOL,1330,-122.4268,40.9418
5,37.3,2018-08-01 01:28:00,33.1,37.8,38.6,37.1,13.66,31.54,136.0,SE,32.0,0.56,1.39,32.4,CTVOL,1330,-122.4268,40.9418
6,37.1,2018-08-01 01:43:00,33.3,37.5,38.6,36.8,15.22,32.25,52.0,NE,35.0,0.28,1.39,32.6,CTVOL,1330,-122.4268,40.9418
7,36.5,2018-08-01 01:58:00,33.4,36.8,37.8,36.1,14.59,31.83,194.0,SSW,34.0,0.28,0.56,32.4,CTVOL,1330,-122.4268,40.9418
8,35.6,2018-08-01 02:13:00,33.4,36.0,37.1,35.4,16.25,31.06,,,41.0,0.0,0.56,31.0,CTVOL,1330,-122.4268,40.9418
9,34.9,2018-08-01 02:28:00,33.5,34.6,35.9,34.5,16.17,29.81,,,44.0,0.0,0.28,29.7,CTVOL,1330,-122.4268,40.9418
10,33.6,2018-08-01 02:43:00,33.6,33.6,34.9,33.4,16.13,29.08,,,46.0,0.0,0.28,28.9,CTVOL,1330,-122.4268,40.9418
11,33.0,2018-08-01 02:58:00,33.6,32.9,34.0,32.6,15.74,28.3,260.0,W,47.0,0.56,0.28,28.1,CTVOL,1330,-122.4268,40.9418
12,32.1,2018-08-01 03:13:00,33.6,32.1,33.1,31.8,15.24,27.48,271.0,W,48.0,0.56,0.56,27.2,CTVOL,1330,-122.4268,40.9418
13,31.6,2018-08-01 03:28:00,33.8,31.3,32.4,31.1,15.0,,280.0,W,49.0,0.56,1.11,26.6,CTVOL,1330,-122.4268,40.9418
14,30.8,2018-08-01 03:43:00,33.8,30.8,31.8,30.4,15.47,,259.0,W,52.0,0.83,1.67,26.1,CTVOL,1330,-122.4268,40.9418
15,30.3,2018-08-01 03:58:00,33.8,30.1,31.3,29.9,15.28,,298.0,WNW,52.0,0.56,1.39,25.9,CTVOL,1330,-122.4268,40.9418
16,29.8,2018-08-01 04:13:00,33.8,29.6,30.8,29.3,14.72,,300.0,WNW,52.0,0.83,1.39,25.3,CTVOL,1330,-122.4268,40.9418
17,29.3,2018-08-01 04:28:00,33.8,29.1,30.1,28.8,15.03,,252.0,WSW,55.0,1.11,1.39,24.7,CTVOL,1330,-122.4268,40.9418
18,28.9,2018-08-01 04:43:00,33.8,28.6,29.8,28.4,13.98,,268.0,W,52.0,1.67,1.67,24.5,CTVOL,1330,-122.4268,40.9418
19,28.4,2018-08-01 04:58:00,33.8,28.1,29.4,27.9,14.01,,279.0,W,55.0,0.83,1.94,23.6,CTVOL,1330,-122.4268,40.9418
20,28.1,2018-08-01 05:13:00,33.8,27.9,29.0,27.6,13.91,,286.0,WNW,55.0,0.83,1.39,23.5,CTVOL,1330,-122.4268,40.9418
21,27.9,2018-08-01 05:28:00,33.8,27.6,28.6,27.4,13.9,,303.0,WNW,57.0,0.83,1.39,22.9,CTVOL,1330,-122.4268,40.9418
22,27.6,2018-08-01 05:43:00,33.6,27.3,28.3,27.1,13.72,,273.0,W,56.0,1.39,2.5,23.0,CTVOL,1330,-122.4268,40.9418
23,27.4,2018-08-01 05:58:00,33.6,26.9,28.0,26.6,13.53,,293.0,WNW,57.0,0.83,1.94,22.5,CTVOL,1330,-122.4268,40.9418
24,27.1,2018-08-01 06:13:00,33.6,26.6,27.8,26.5,13.35,,270.0,W,56.0,0.83,1.94,22.6,CTVOL,1330,-122.4268,40.9418
25,26.6,2018-08-01 06:28:00,33.5,26.5,27.5,26.1,13.51,,262.0,W,58.0,1.94,1.94,22.2,CTVOL,1330,-122.4268,40.9418
26,26.5,2018-08-01 06:43:00,33.5,26.1,27.3,26.0,13.25,,261.0,W,56.0,1.11,1.94,22.5,CTVOL,1330,-122.4268,40.9418
27,26.3,2018-08-01 06:58:00,33.4,25.9,26.9,25.6,13.28,,288.0,WNW,60.0,1.11,1.94,21.4,CTVOL,1330,-122.4268,40.9418
28,26.0,2018-08-01 07:13:00,33.4,25.8,26.6,25.5,12.96,,266.0,W,57.0,1.11,1.39,21.9,CTVOL,1330,-122.4268,40.9418
29,25.8,2018-08-01 07:28:00,33.3,25.5,26.5,25.3,12.93,,300.0,WNW,59.0,0.56,1.94,21.3,CTVOL,1330,-122.4268,40.9418
30,25.5,2018-08-01 07:43:00,33.3,25.3,26.1,25.0,13.0,,268.0,W,60.0,0.83,2.22,21.1,CTVOL,1330,-122.4268,40.9418
31,25.4,2018-08-01 07:58:00,33.1,25.0,26.0,24.9,12.97,,318.0,NW,61.0,0.56,2.22,20.8,CTVOL,1330,-122.4268,40.9418
32,25.3,2018-08-01 08:13:00,33.0,24.8,25.8,24.6,13.06,,286.0,WNW,61.0,0.83,1.67,20.9,CTVOL,1330,-122.4268,40.9418
33,25.0,2018-08-01 08:28:00,33.0,24.5,25.4,24.4,12.84,,260.0,W,62.0,2.22,1.94,20.4,CTVOL,1330,-122.4268,40.9418
34,24.6,2018-08-01 08:43:00,32.8,24.3,25.3,24.1,12.55,,244.0,WSW,59.0,1.67,2.5,20.9,CTVOL,1330,-122.4268,40.9418
35,24.5,2018-08-01 08:58:00,32.6,24.1,25.0,24.0,12.46,,289.0,WNW,62.0,1.11,2.22,20.0,CTVOL,1330,-122.4268,40.9418
36,24.3,2018-08-01 09:13:00,32.6,24.0,24.9,23.9,12.01,,273.0,W,58.0,1.67,2.78,20.6,CTVOL,1330,-122.4268,40.9418
37,24.0,2018-08-01 09:28:00,32.6,23.8,24.5,23.6,11.86,,282.0,WNW,60.0,1.39,2.22,19.9,CTVOL,1330,-122.4268,40.9418
38,24.0,2018-08-01 09:43:00,32.4,23.5,24.5,23.5,11.83,,290.0,WNW,61.0,0.83,1.67,19.6,CTVOL,1330,-122.4268,40.9418
39,23.8,2018-08-01 09:58:00,32.3,23.3,24.3,23.3,11.68,,264.0,W,60.0,1.11,1.67,19.7,CTVOL,1330,-122.4268,40.9418
40,23.5,2018-08-01 10:13:00,32.3,23.0,24.0,23.0,11.42,,252.0,WSW,59.0,0.83,1.67,19.7,CTVOL,1330,-122.4268,40.9418
41,23.3,2018-08-01 10:28:00,32.1,22.9,23.9,22.8,11.61,,280.0,W,62.0,1.11,2.5,19.1,CTVOL,1330,-122.4268,40.9418
42,23.0,2018-08-01 10:43:00,32.0,22.6,23.6,22.5,11.32,,273.0,W,62.0,1.39,1.67,18.8,CTVOL,1330,-122.4268,40.9418
43,22.9,2018-08-01 10:58:00,32.0,22.5,23.4,22.5,11.28,,267.0,W,63.0,1.39,2.78,18.5,CTVOL,1330,-122.4268,40.9418
44,22.6,2018-08-01 11:13:00,31.9,22.4,23.1,22.3,11.08,,269.0,W,61.0,1.39,2.22,18.8,CTVOL,1330,-122.4268,40.9418
45,22.5,2018-08-01 11:28:00,31.6,22.1,23.0,22.0,10.95,,263.0,W,59.0,3.06,1.94,19.2,CTVOL,1330,-122.4268,40.9418
46,22.4,2018-08-01 11:43:00,31.6,21.9,22.8,21.9,11.19,,260.0,W,63.0,1.94,2.5,18.4,CTVOL,1330,-122.4268,40.9418
47,22.1,2018-08-01 11:58:00,31.5,21.8,22.5,21.6,10.85,,271.0,W,62.0,1.39,3.06,18.3,CTVOL,1330,-122.4268,40.9418
48,22.0,2018-08-01 12:13:00,31.3,21.5,22.5,21.5,10.64,,272.0,W,60.0,2.22,3.06,18.6,CTVOL,1330,-122.4268,40.9418
49,21.8,2018-08-01 12:28:00,31.3,21.4,22.4,21.3,10.81,,268.0,W,63.0,1.39,2.78,18.0,CTVOL,1330,-122.4268,40.9418
50,21.5,2018-08-01 12:43:00,31.1,21.1,22.1,21.1,10.6,,274.0,W,61.0,1.94,2.5,18.3,CTVOL,1330,-122.4268,40.9418
51,21.5,2018-08-01 12:58:00,31.1,21.0,22.0,21.0,10.8,,312.0,NW,65.0,0.28,3.06,17.5,CTVOL,1330,-122.4268,40.9418
52,21.4,2018-08-01 13:13:00,30.9,21.0,21.9,21.0,10.35,,274.0,W,60.0,1.11,1.94,18.3,CTVOL,1330,-122.4268,40.9418
53,21.1,2018-08-01 13:28:00,30.8,21.0,21.9,20.9,10.13,,269.0,W,61.0,2.5,2.78,17.8,CTVOL,1330,-122.4268,40.9418
54,21.3,2018-08-01 13:43:00,30.8,21.0,21.9,20.9,10.52,,307.0,NW,63.0,0.83,3.61,17.7,CTVOL,1330,-122.4268,40.9418
