,date_time,altimeter_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,precip_accum_since_local_midnight_set_1,pressure_set_1d,dew_point_temperature_set_1d,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,precip_accum_24_hour_set_1,sea_level_pressure_set_1d,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:07:00,100982.06,SSW,6.26,0.762,80255.54,5.4,26.71,213.0,24.0,0.9,0.762,99087.81,27.78,D9019,6217,-120.23615,39.19927
1,2018-08-01 00:22:00,100948.2,SW,4.47,0.762,80228.63,5.5,26.65,232.0,25.0,0.45,0.762,99092.72,27.22,D9019,6217,-120.23615,39.19927
2,2018-08-01 00:37:00,100948.2,,4.47,0.762,80228.63,5.5,26.65,,25.0,0.0,0.762,99092.72,27.22,D9019,6217,-120.23615,39.19927
3,2018-08-01 00:52:00,100948.2,,4.02,0.762,80228.63,5.03,26.05,,25.0,0.0,0.762,99130.38,26.67,D9019,6217,-120.23615,39.19927
4,2018-08-01 01:08:00,100948.2,,2.23,0.762,80228.63,5.59,26.07,,26.0,0.0,0.762,99130.34,26.67,D9019,6217,-120.23615,39.19927
5,2018-08-01 01:22:00,100948.2,SSW,3.13,0.762,80228.63,6.69,,205.0,29.0,0.45,0.762,99168.71,26.11,D9019,6217,-120.23615,39.19927
6,2018-08-01 01:37:00,100914.33,,2.68,0.762,80201.71,6.7,,,30.0,0.0,0.762,99173.34,25.56,D9019,6217,-120.23615,39.19927
7,2018-08-01 01:52:00,100914.33,SW,3.58,0.762,80201.71,6.68,,227.0,31.0,1.34,0.762,99212.1,25.0,D9019,6217,-120.23615,39.19927
8,2018-08-01 02:08:00,100948.2,,1.79,0.762,80228.63,7.14,,,32.0,0.0,0.762,99245.36,25.0,D9019,6217,-120.23615,39.19927
9,2018-08-01 02:22:00,100948.2,,0.9,0.762,80228.63,7.59,,,33.0,0.0,0.762,99245.32,25.0,D9019,6217,-120.23615,39.19927
10,2018-08-01 02:38:00,100948.2,,0.45,0.762,80228.63,7.1,,,33.0,0.0,0.762,99284.29,24.44,D9019,6217,-120.23615,39.19927
11,2018-08-01 02:53:00,100982.06,,0.45,0.762,80255.54,7.96,,,35.0,0.0,0.762,99317.51,24.44,D9019,6217,-120.23615,39.19927
12,2018-08-01 03:08:00,100982.06,,0.45,0.762,80255.54,7.88,,,36.0,0.0,0.762,99355.92,23.89,D9019,6217,-120.23615,39.19927
13,2018-08-01 03:23:00,100982.06,,0.0,0.762,80255.54,7.79,,,37.0,0.0,0.762,99395.18,23.33,D9019,6217,-120.23615,39.19927
14,2018-08-01 03:38:00,100982.06,,1.79,0.762,80255.54,8.07,,,39.0,0.0,0.762,99433.87,22.78,D9019,6217,-120.23615,39.19927
15,2018-08-01 03:53:00,100982.06,,0.45,0.762,80255.54,7.18,,,38.0,0.0,0.762,99473.53,22.22,D9019,6217,-120.23615,39.19927
16,2018-08-01 04:08:00,101015.92,,0.9,0.762,80282.45,6.3,,,37.0,0.0,0.762,99546.0,21.67,D9019,6217,-120.23615,39.19927
17,2018-08-01 04:23:00,101015.92,,0.0,0.762,80282.45,7.07,,,39.0,0.0,0.762,99545.93,21.67,D9019,6217,-120.23615,39.19927
18,2018-08-01 04:38:00,101049.79,,0.0,0.762,80309.37,6.93,,,40.0,0.0,0.762,99619.25,21.11,D9019,6217,-120.23615,39.19927
19,2018-08-01 04:53:00,101049.79,,1.79,0.762,80309.37,7.29,,,41.0,0.0,0.762,99619.22,21.11,D9019,6217,-120.23615,39.19927
20,2018-08-01 05:08:00,101049.79,,0.0,0.762,80309.37,6.8,,,41.0,0.0,0.762,99658.64,20.56,D9019,6217,-120.23615,39.19927
21,2018-08-01 05:23:00,101083.65,,0.0,0.762,80336.28,6.64,,,42.0,0.0,0.762,99732.32,20.0,D9019,6217,-120.23615,39.19927
22,2018-08-01 05:38:00,101049.79,,0.0,0.762,80309.37,6.47,,,43.0,0.0,0.762,99739.35,19.44,D9019,6217,-120.23615,39.19927
23,2018-08-01 05:53:00,101049.79,,0.0,0.762,80309.37,6.31,,,44.0,0.0,0.762,99779.23,18.89,D9019,6217,-120.23615,39.19927
24,2018-08-01 06:08:00,101049.79,,0.0,0.762,80309.37,5.97,,,43.0,0.0,0.762,99779.26,18.89,D9019,6217,-120.23615,39.19927
25,2018-08-01 06:23:00,101049.79,,0.0,0.762,80309.37,4.78,,,41.0,0.0,0.762,99820.11,18.33,D9019,6217,-120.23615,39.19927
26,2018-08-01 06:38:00,101049.79,,0.0,0.762,80309.37,5.8,,,44.0,0.0,0.762,99820.03,18.33,D9019,6217,-120.23615,39.19927
27,2018-08-01 06:53:00,101049.79,,0.0,0.762,80309.37,6.86,,,49.0,0.0,0.762,99860.13,17.78,D9019,6217,-120.23615,39.19927
28,2018-08-01 07:08:00,101083.65,,0.0,0.762,80336.28,6.34,,,49.0,0.0,0.762,99934.75,17.22,D9019,6217,-120.23615,39.19927
29,2018-08-01 07:23:00,101083.65,,0.0,0.762,80336.28,6.04,,,48.0,0.0,0.762,99934.78,17.22,D9019,6217,-120.23615,39.19927
30,2018-08-01 07:38:00,101083.65,,0.0,0.762,80336.28,6.04,,,48.0,0.0,0.762,99934.78,17.22,D9019,6217,-120.23615,39.19927
31,2018-08-01 07:53:00,101083.65,,0.0,0.762,80336.28,5.84,,,49.0,0.0,0.762,99975.34,16.67,D9019,6217,-120.23615,39.19927
32,2018-08-01 08:08:00,101083.65,,0.0,0.0,80336.28,5.84,,,49.0,0.0,0.762,99975.34,16.67,D9019,6217,-120.23615,39.19927
33,2018-08-01 08:23:00,101083.65,,0.45,0.0,80336.28,5.32,,,49.0,0.0,0.762,100016.84,16.11,D9019,6217,-120.23615,39.19927
34,2018-08-01 08:38:00,101083.65,,0.0,0.0,80336.28,5.32,,,49.0,0.0,0.762,100016.84,16.11,D9019,6217,-120.23615,39.19927
35,2018-08-01 08:53:00,101083.65,,0.0,0.0,80336.28,5.32,,,49.0,0.0,0.762,100016.84,16.11,D9019,6217,-120.23615,39.19927
36,2018-08-01 09:08:00,101049.79,,0.0,0.0,80309.37,5.32,,,49.0,0.0,0.762,99983.34,16.11,D9019,6217,-120.23615,39.19927
37,2018-08-01 09:23:00,101049.79,,0.0,0.0,80309.37,5.32,,,49.0,0.0,0.762,99983.34,16.11,D9019,6217,-120.23615,39.19927
38,2018-08-01 09:38:00,101049.79,,0.0,0.0,80309.37,5.02,,,48.0,0.0,0.762,99983.36,16.11,D9019,6217,-120.23615,39.19927
39,2018-08-01 09:53:00,101049.79,,0.0,0.0,80309.37,5.32,,,49.0,0.0,0.762,99983.34,16.11,D9019,6217,-120.23615,39.19927
40,2018-08-01 10:08:00,101049.79,,0.0,0.0,80309.37,5.1,,,50.0,0.0,0.762,100024.22,15.56,D9019,6217,-120.23615,39.19927
41,2018-08-01 10:23:00,101049.79,,0.0,0.0,80309.37,4.51,,,48.0,0.0,0.762,100024.27,15.56,D9019,6217,-120.23615,39.19927
42,2018-08-01 10:38:00,101049.79,,0.0,0.0,80309.37,4.81,,,49.0,0.0,0.762,100024.25,15.56,D9019,6217,-120.23615,39.19927
43,2018-08-01 10:53:00,101049.79,,0.0,0.0,80309.37,5.02,,,48.0,0.0,0.762,99983.36,16.11,D9019,6217,-120.23615,39.19927
44,2018-08-01 11:08:00,101049.79,,0.0,0.0,80309.37,4.81,,,49.0,0.0,0.762,100024.25,15.56,D9019,6217,-120.23615,39.19927
45,2018-08-01 11:23:00,101015.92,,0.0,0.0,80282.45,4.87,,,51.0,0.0,0.762,100032.49,15.0,D9019,6217,-120.23615,39.19927
46,2018-08-01 11:38:00,101015.92,,0.0,0.0,80282.45,5.43,,,53.0,0.0,0.762,100032.44,15.0,D9019,6217,-120.23615,39.19927
47,2018-08-01 11:53:00,101015.92,,0.0,0.0,80282.45,5.43,,,53.0,0.0,0.762,100032.44,15.0,D9019,6217,-120.23615,39.19927
48,2018-08-01 12:08:00,101015.92,,0.0,0.0,80282.45,5.43,,,53.0,0.0,0.508,100032.44,15.0,D9019,6217,-120.23615,39.19927
49,2018-08-01 12:23:00,101049.79,,0.0,0.0,80309.37,5.96,,,55.0,0.0,0.508,100065.94,15.0,D9019,6217,-120.23615,39.19927
50,2018-08-01 12:38:00,101049.79,,0.0,0.0,80309.37,5.44,,,55.0,0.0,0.508,100107.95,14.44,D9019,6217,-120.23615,39.19927
