,date_time,fuel_moisture_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,volt_set_1,dew_point_temperature_set_1d,peak_wind_direction_set_1,fuel_temp_set_1,precip_accum_set_1,heat_index_set_1d,wind_direction_set_1,wind_speed_set_1,peak_wind_speed_set_1,solar_radiation_set_1,relative_humidity_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:49:00,3.7,W,4.02,13.1,2.01,265.0,36.11,144.018,29.51,281.0,0.45,4.02,453.0,15.0,31.67,DOGC1,5976,-120.047778, 39.561944
1,2018-08-01 01:49:00,3.8,WNW,2.23,13.1,1.47,354.0,28.33,144.018,27.32,296.0,0.45,2.23,155.0,17.0,28.89,DOGC1,5976,-120.047778, 39.561944
2,2018-08-01 02:49:00,3.8,W,3.13,13.0,4.31,300.0,26.67,144.018,26.6,267.0,0.9,3.13,73.0,23.0,27.22,DOGC1,5976,-120.047778, 39.561944
3,2018-08-01 03:49:00,3.8,,3.58,13.0,3.6,288.0,23.89,144.018,,,0.0,3.58,8.0,25.0,25.0,DOGC1,5976,-120.047778, 39.561944
4,2018-08-01 04:49:00,3.9,,2.23,13.0,4.21,269.0,20.0,144.018,,,0.0,2.23,0.0,32.0,21.67,DOGC1,5976,-120.047778, 39.561944
5,2018-08-01 05:49:00,4.0,,1.34,13.0,3.42,299.0,17.22,144.018,,,0.0,1.34,0.0,36.0,18.89,DOGC1,5976,-120.047778, 39.561944
6,2018-08-01 06:49:00,4.0,,1.34,12.9,4.78,236.0,15.56,144.018,,,0.0,1.34,0.0,44.0,17.22,DOGC1,5976,-120.047778, 39.561944
7,2018-08-01 07:49:00,4.2,WNW,1.34,12.9,4.92,266.0,15.56,144.018,,288.0,0.45,1.34,0.0,46.0,16.67,DOGC1,5976,-120.047778, 39.561944
8,2018-08-01 08:49:00,4.2,,1.34,12.9,6.13,297.0,14.44,144.018,,,0.0,1.34,0.0,50.0,16.67,DOGC1,5976,-120.047778, 39.561944
9,2018-08-01 09:49:00,4.4,,0.9,12.9,4.9,280.0,12.78,144.018,,,0.0,0.9,0.0,53.0,14.44,DOGC1,5976,-120.047778, 39.561944
10,2018-08-01 10:49:00,4.6,,0.0,12.9,6.14,272.0,11.11,144.018,,,0.0,0.0,0.0,62.0,13.33,DOGC1,5976,-120.047778, 39.561944
11,2018-08-01 11:49:00,4.8,,0.45,12.9,6.97,280.0,10.56,144.018,,,0.0,0.45,0.0,68.0,12.78,DOGC1,5976,-120.047778, 39.561944
12,2018-08-01 12:49:00,5.0,,0.45,12.9,5.69,273.0,9.44,144.018,,,0.0,0.45,0.0,67.0,11.67,DOGC1,5976,-120.047778, 39.561944
13,2018-08-01 13:49:00,5.3,,1.34,12.9,6.19,300.0,11.67,144.018,,,0.0,1.34,21.0,60.0,13.89,DOGC1,5976,-120.047778, 39.561944
14,2018-08-01 14:49:00,5.9,,1.79,12.9,8.56,135.0,16.11,144.018,,,0.0,1.79,95.0,55.0,17.78,DOGC1,5976,-120.047778, 39.561944
