,date_time,fuel_moisture_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,volt_set_1,dew_point_temperature_set_1d,peak_wind_direction_set_1,fuel_temp_set_1,precip_accum_set_1,heat_index_set_1d,wind_direction_set_1,wind_speed_set_1,peak_wind_speed_set_1,solar_radiation_set_1,relative_humidity_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:28:00,7.4,ENE,8.05,13.9,12.84,62.0,32.78,988.314,28.69,70.0,3.13,8.05,623.0,36.0,29.44,ERCC1,476,-123.823758,40.138375
1,2018-08-01 01:28:00,7.2,NE,7.6,13.6,11.95,58.0,29.44,988.314,26.44,55.0,3.58,7.6,431.0,40.0,26.67,ERCC1,476,-123.823758,40.138375
2,2018-08-01 02:28:00,7.1,ENE,5.81,13.3,12.19,60.0,25.56,988.314,,71.0,2.68,5.81,241.0,48.0,23.89,ERCC1,476,-123.823758,40.138375
3,2018-08-01 03:28:00,7.3,ENE,7.6,13.0,12.46,53.0,19.44,988.314,,74.0,2.23,7.6,60.0,62.0,20.0,ERCC1,476,-123.823758,40.138375
4,2018-08-01 04:28:00,7.7,ENE,6.26,12.8,12.63,46.0,16.67,988.314,,57.0,2.23,6.26,1.0,72.0,17.78,ERCC1,476,-123.823758,40.138375
5,2018-08-01 05:28:00,8.4,NE,4.92,12.7,12.09,57.0,14.44,988.314,,51.0,1.79,4.92,0.0,80.0,15.56,ERCC1,476,-123.823758,40.138375
6,2018-08-01 06:28:00,9.3,WSW,4.92,12.6,11.56,66.0,11.67,988.314,,245.0,0.45,4.92,0.0,86.0,13.89,ERCC1,476,-123.823758,40.138375
7,2018-08-01 07:28:00,10.7,N,2.23,12.6,10.61,18.0,10.0,988.314,,7.0,0.9,2.23,0.0,90.0,12.22,ERCC1,476,-123.823758,40.138375
8,2018-08-01 08:28:00,12.5,NW,1.79,12.6,10.01,259.0,9.44,988.314,,304.0,0.45,1.79,0.0,93.0,11.11,ERCC1,476,-123.823758,40.138375
9,2018-08-01 09:28:00,15.2,,1.79,12.6,9.62,274.0,8.33,988.314,,,0.0,1.79,0.0,94.0,10.56,ERCC1,476,-123.823758,40.138375
10,2018-08-01 10:28:00,18.0,WNW,1.79,12.6,9.62,332.0,9.44,988.314,,286.0,0.45,1.79,0.0,94.0,10.56,ERCC1,476,-123.823758,40.138375
11,2018-08-01 11:28:00,20.6,NW,1.79,12.5,10.56,341.0,10.56,988.314,,305.0,0.9,1.79,0.0,93.0,11.67,ERCC1,476,-123.823758,40.138375
12,2018-08-01 12:28:00,21.7,,2.23,12.5,11.16,220.0,12.22,988.314,,,0.0,2.23,0.0,90.0,12.78,ERCC1,476,-123.823758,40.138375
