,date_time,fuel_moisture_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,volt_set_1,dew_point_temperature_set_1d,peak_wind_direction_set_1,fuel_temp_set_1,precip_accum_set_1,heat_index_set_1d,wind_direction_set_1,wind_speed_set_1,peak_wind_speed_set_1,solar_radiation_set_1,relative_humidity_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:21:00,3.5,SW,6.7,13.4,-2.5,226.0,35.0,0.0,,229.0,3.58,6.7,517.0,15.0,26.11,HMRC1,6714,-121.382700, 40.109517
1,2018-08-01 01:21:00,3.4,WSW,5.81,13.2,-0.21,256.0,30.56,0.0,,246.0,2.23,5.81,241.0,19.0,25.0,HMRC1,6714,-121.382700, 40.109517
2,2018-08-01 02:21:00,3.3,WNW,4.02,13.4,3.29,213.0,22.78,0.0,,298.0,0.45,4.02,197.0,28.0,22.78,HMRC1,6714,-121.382700, 40.109517
3,2018-08-01 03:21:00,3.3,N,1.34,13.1,0.35,294.0,12.78,0.0,,356.0,0.45,1.34,18.0,31.0,17.78,HMRC1,6714,-121.382700, 40.109517
4,2018-08-01 04:21:00,3.3,,0.9,13.1,-3.61,347.0,8.33,0.0,,,0.0,0.9,1.0,24.0,17.22,HMRC1,6714,-121.382700, 40.109517
5,2018-08-01 05:21:00,3.3,,0.9,13.0,-7.6,315.0,6.67,0.0,,,0.0,0.9,0.0,19.0,16.11,HMRC1,6714,-121.382700, 40.109517
6,2018-08-01 06:21:00,3.3,,1.79,13.0,-6.68,262.0,7.78,0.0,,,0.0,1.79,0.0,19.0,17.22,HMRC1,6714,-121.382700, 40.109517
7,2018-08-01 07:21:00,3.4,NNE,1.34,12.9,-5.23,282.0,6.67,0.0,,12.0,0.45,1.34,0.0,22.0,16.67,HMRC1,6714,-121.382700, 40.109517
8,2018-08-01 08:21:00,3.4,,0.9,12.9,-4.49,354.0,5.56,0.0,,,0.0,0.9,0.0,25.0,15.56,HMRC1,6714,-121.382700, 40.109517
9,2018-08-01 09:21:00,3.5,N,1.34,12.9,-4.56,13.0,5.56,0.0,,11.0,0.9,1.34,0.0,24.0,16.11,HMRC1,6714,-121.382700, 40.109517
10,2018-08-01 10:21:00,3.4,WNW,1.34,12.9,-2.99,6.0,5.0,0.0,,299.0,0.45,1.34,0.0,27.0,16.11,HMRC1,6714,-121.382700, 40.109517
11,2018-08-01 11:21:00,3.4,WSW,1.79,12.9,-0.68,248.0,4.44,0.0,,245.0,0.9,1.79,0.0,32.0,16.11,HMRC1,6714,-121.382700, 40.109517
12,2018-08-01 12:21:00,3.5,,1.34,12.9,0.2,235.0,3.89,0.0,,,0.0,1.34,0.0,38.0,14.44,HMRC1,6714,-121.382700, 40.109517
13,2018-08-01 13:21:00,3.6,WNW,1.34,12.9,1.1,262.0,3.89,0.0,,288.0,0.45,1.34,2.0,42.0,13.89,HMRC1,6714,-121.382700, 40.109517
14,2018-08-01 14:21:00,4.1,WSW,2.68,12.9,2.82,214.0,16.11,0.0,,249.0,1.34,2.68,65.0,37.0,17.78,HMRC1,6714,-121.382700, 40.109517
15,2018-08-01 15:21:00,4.0,SW,4.02,13.0,0.81,259.0,22.22,0.0,,216.0,2.23,4.02,238.0,26.0,21.11,HMRC1,6714,-121.382700, 40.109517
16,2018-08-01 16:21:00,4.3,SW,5.37,13.1,-0.91,215.0,32.78,0.0,,228.0,2.68,5.37,432.0,20.0,23.33,HMRC1,6714,-121.382700, 40.109517
17,2018-08-01 17:21:00,4.5,SW,7.15,13.5,-3.85,227.0,35.56,0.0,,224.0,3.58,7.15,629.0,15.0,24.44,HMRC1,6714,-121.382700, 40.109517
18,2018-08-01 18:21:00,4.2,SW,7.6,13.3,-2.08,217.0,38.89,0.0,,217.0,3.58,7.6,786.0,16.0,25.56,HMRC1,6714,-121.382700, 40.109517
19,2018-08-01 19:21:00,4.2,SW,7.6,13.2,-4.39,219.0,40.56,0.0,,218.0,4.47,7.6,899.0,13.0,26.11,HMRC1,6714,-121.382700, 40.109517
20,2018-08-01 20:21:00,4.0,SW,8.49,13.2,-6.12,256.0,41.11,0.0,25.68,231.0,4.47,8.49,967.0,11.0,26.67,HMRC1,6714,-121.382700, 40.109517
21,2018-08-01 21:21:00,3.9,SSW,8.94,13.3,-4.39,202.0,40.56,0.0,,200.0,4.47,8.94,969.0,13.0,26.11,HMRC1,6714,-121.382700, 40.109517
22,2018-08-01 22:21:00,3.9,SW,9.84,13.7,-1.63,230.0,39.44,0.0,,228.0,4.02,9.84,912.0,16.0,26.11,HMRC1,6714,-121.382700, 40.109517
23,2018-08-01 23:21:00,3.7,SW,9.84,13.3,-4.83,235.0,38.33,0.0,,221.0,4.47,9.84,829.0,13.0,25.56,HMRC1,6714,-121.382700, 40.109517
24,2018-08-02 00:21:00,3.4,SW,7.6,13.3,-5.28,213.0,35.56,0.0,,222.0,4.02,7.6,577.0,13.0,25.0,HMRC1,6714,-121.382700, 40.109517
25,2018-08-02 01:21:00,3.3,SW,6.7,13.4,-7.19,210.0,31.11,0.0,,230.0,3.13,6.7,222.0,12.0,23.89,HMRC1,6714,-121.382700, 40.109517
26,2018-08-02 02:21:00,3.2,SW,5.37,13.6,-4.92,244.0,21.11,0.0,,221.0,2.68,5.37,209.0,17.0,21.11,HMRC1,6714,-121.382700, 40.109517
27,2018-08-02 03:21:00,3.2,SW,4.92,13.1,-4.62,227.0,15.56,0.0,,229.0,2.68,4.92,23.0,20.0,18.89,HMRC1,6714,-121.382700, 40.109517
28,2018-08-02 04:21:00,3.1,WSW,4.47,13.0,-7.65,213.0,12.78,0.0,,254.0,1.79,4.47,1.0,17.0,17.78,HMRC1,6714,-121.382700, 40.109517
29,2018-08-02 05:21:00,2.5,NW,3.13,13.0,-11.9,243.0,7.22,0.0,,319.0,0.45,3.13,0.0,14.0,15.56,HMRC1,6714,-121.382700, 40.109517
30,2018-08-02 06:21:00,2.5,,0.9,13.0,-8.99,313.0,4.44,0.0,,,0.0,0.9,0.0,19.0,14.44,HMRC1,6714,-121.382700, 40.109517
31,2018-08-02 07:21:00,2.4,,0.9,12.9,-6.54,321.0,2.78,0.0,,,0.0,0.9,0.0,23.0,14.44,HMRC1,6714,-121.382700, 40.109517
32,2018-08-02 08:21:00,2.4,,0.45,12.9,-3.95,321.0,2.22,0.0,,,0.0,0.45,0.0,28.0,14.44,HMRC1,6714,-121.382700, 40.109517
33,2018-08-02 09:21:00,2.4,W,1.34,12.9,-3.07,282.0,1.67,0.0,,266.0,0.45,1.34,0.0,31.0,13.89,HMRC1,6714,-121.382700, 40.109517
34,2018-08-02 10:21:00,2.4,WSW,2.68,12.9,-2.15,212.0,2.78,0.0,,242.0,0.9,2.68,0.0,32.0,14.44,HMRC1,6714,-121.382700, 40.109517
35,2018-08-02 11:21:00,2.5,WSW,2.23,12.9,-3.02,218.0,2.22,0.0,,254.0,1.34,2.23,0.0,30.0,14.44,HMRC1,6714,-121.382700, 40.109517
36,2018-08-02 12:21:00,2.5,WSW,3.13,12.8,-4.49,233.0,5.0,0.0,,247.0,1.79,3.13,0.0,25.0,15.56,HMRC1,6714,-121.382700, 40.109517
