,date_time,solar_radiation_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,volt_set_1,dew_point_temperature_set_1d,peak_wind_direction_set_1,precip_accum_set_1,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,peak_wind_speed_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:40:00,474.0,WNW,6.26,13.3,13.45,294.0,655.574,30.27,292.0,34.0,4.02,6.26,31.11,HOAC1,375,-123.671278,41.047833
1,2018-08-01 01:40:00,323.0,WNW,6.7,13.0,12.84,307.0,655.574,28.69,302.0,36.0,4.02,6.7,29.44,HOAC1,375,-123.671278,41.047833
2,2018-08-01 02:40:00,162.0,NW,7.15,12.8,13.4,305.0,655.574,,309.0,47.0,4.47,7.15,25.56,HOAC1,375,-123.671278,41.047833
3,2018-08-01 03:40:00,22.0,NW,6.7,12.8,13.79,318.0,655.574,,304.0,57.0,3.58,6.7,22.78,HOAC1,375,-123.671278,41.047833
4,2018-08-01 04:40:00,0.0,NNW,6.26,12.8,14.24,317.0,655.574,,332.0,65.0,2.68,6.26,21.11,HOAC1,375,-123.671278,41.047833
5,2018-08-01 05:40:00,0.0,WNW,4.02,12.7,13.48,289.0,655.574,,291.0,71.0,3.13,4.02,18.89,HOAC1,375,-123.671278,41.047833
6,2018-08-01 06:40:00,0.0,WNW,4.47,12.7,13.12,296.0,655.574,,296.0,77.0,2.23,4.47,17.22,HOAC1,375,-123.671278,41.047833
7,2018-08-01 07:40:00,0.0,NW,4.02,12.7,13.01,306.0,655.574,,305.0,82.0,2.23,4.02,16.11,HOAC1,375,-123.671278,41.047833
8,2018-08-01 08:40:00,0.0,NW,3.58,12.7,12.48,312.0,655.574,,308.0,85.0,1.79,3.58,15.0,HOAC1,375,-123.671278,41.047833
9,2018-08-01 09:40:00,0.0,,3.13,12.6,12.43,290.0,655.574,,,91.0,0.0,3.13,13.89,HOAC1,375,-123.671278,41.047833
10,2018-08-01 10:40:00,0.0,,0.0,12.6,11.19,28.0,655.574,,,87.0,0.0,0.0,13.33,HOAC1,375,-123.671278,41.047833
11,2018-08-01 11:40:00,0.0,NNW,1.34,12.6,11.93,316.0,655.574,,332.0,85.0,0.45,1.34,14.44,HOAC1,375,-123.671278,41.047833
12,2018-08-01 12:40:00,0.0,WNW,2.68,12.6,12.28,314.0,655.574,,293.0,87.0,1.34,2.68,14.44,HOAC1,375,-123.671278,41.047833
13,2018-08-01 13:40:00,2.0,,1.79,12.6,12.28,298.0,655.574,,,87.0,0.0,1.79,14.44,HOAC1,375,-123.671278,41.047833
14,2018-08-01 14:40:00,29.0,WNW,2.68,12.6,11.93,306.0,655.574,,294.0,85.0,1.34,2.68,14.44,HOAC1,375,-123.671278,41.047833
15,2018-08-01 15:40:00,89.0,WSW,3.13,12.6,12.66,309.0,655.574,,239.0,83.0,0.45,3.13,15.56,HOAC1,375,-123.671278,41.047833
16,2018-08-01 16:40:00,240.0,NNW,2.68,13.2,12.59,292.0,655.574,,336.0,77.0,1.34,2.68,16.67,HOAC1,375,-123.671278,41.047833
17,2018-08-01 17:40:00,594.0,NW,2.68,13.5,13.01,330.0,655.574,,306.0,60.0,0.45,2.68,21.11,HOAC1,375,-123.671278,41.047833
18,2018-08-01 18:40:00,739.0,NNW,2.68,14.1,11.21,342.0,655.574,,327.0,45.0,1.79,2.68,23.89,HOAC1,375,-123.671278,41.047833
19,2018-08-01 19:40:00,833.0,NNW,4.02,13.9,10.36,317.0,655.574,26.33,327.0,36.0,2.68,4.02,26.67,HOAC1,375,-123.671278,41.047833
20,2018-08-01 20:40:00,816.0,NW,5.81,14.1,12.84,334.0,655.574,28.69,318.0,36.0,4.47,5.81,29.44,HOAC1,375,-123.671278,41.047833
21,2018-08-01 21:40:00,786.0,NW,8.49,13.7,13.4,324.0,655.574,29.76,320.0,35.0,6.7,8.49,30.56,HOAC1,375,-123.671278,41.047833
22,2018-08-01 22:40:00,675.0,NW,8.94,13.4,14.26,316.0,655.574,29.99,317.0,37.0,6.26,8.94,30.56,HOAC1,375,-123.671278,41.047833
23,2018-08-01 23:40:00,570.0,NNW,9.39,13.9,13.84,325.0,655.574,29.87,327.0,36.0,6.26,9.39,30.56,HOAC1,375,-123.671278,41.047833
24,2018-08-02 00:40:00,455.0,NNW,8.49,13.3,12.04,311.0,655.574,29.46,330.0,32.0,5.37,8.49,30.56,HOAC1,375,-123.671278,41.047833
25,2018-08-02 01:40:00,346.0,NW,7.6,12.9,12.76,342.0,655.574,28.25,310.0,37.0,4.47,7.6,28.89,HOAC1,375,-123.671278,41.047833
26,2018-08-02 02:40:00,174.0,NW,6.7,12.8,13.07,301.0,655.574,,304.0,46.0,4.92,6.7,25.56,HOAC1,375,-123.671278,41.047833
27,2018-08-02 03:40:00,16.0,NW,6.7,12.8,12.99,296.0,655.574,,307.0,56.0,4.47,6.7,22.22,HOAC1,375,-123.671278,41.047833
28,2018-08-02 04:40:00,0.0,NW,6.7,12.8,12.95,315.0,655.574,,325.0,64.0,4.02,6.7,20.0,HOAC1,375,-123.671278,41.047833
29,2018-08-02 05:40:00,0.0,NNW,6.7,12.7,12.51,346.0,655.574,,345.0,69.0,3.13,6.7,18.33,HOAC1,375,-123.671278,41.047833
30,2018-08-02 06:40:00,0.0,NW,4.47,12.7,12.51,327.0,655.574,,318.0,74.0,2.23,4.47,17.22,HOAC1,375,-123.671278,41.047833
31,2018-08-02 07:40:00,0.0,WNW,3.58,12.7,12.09,306.0,655.574,,302.0,80.0,2.68,3.58,15.56,HOAC1,375,-123.671278,41.047833
32,2018-08-02 08:40:00,0.0,WNW,3.58,12.7,12.11,302.0,655.574,,301.0,83.0,1.79,3.58,15.0,HOAC1,375,-123.671278,41.047833
33,2018-08-02 09:40:00,0.0,,1.79,12.6,11.92,333.0,655.574,,,88.0,0.0,1.79,13.89,HOAC1,375,-123.671278,41.047833
34,2018-08-02 10:40:00,0.0,NW,1.79,12.6,11.36,312.0,655.574,,316.0,88.0,1.34,1.79,13.33,HOAC1,375,-123.671278,41.047833
35,2018-08-02 11:40:00,0.0,,1.34,12.6,11.5,318.0,655.574,,,92.0,0.0,1.34,12.78,HOAC1,375,-123.671278,41.047833
36,2018-08-02 12:40:00,0.0,NW,1.34,12.6,11.19,306.0,655.574,,310.0,87.0,0.9,1.34,13.33,HOAC1,375,-123.671278,41.047833
37,2018-08-02 13:40:00,2.0,NNW,3.58,12.6,11.21,319.0,655.574,,331.0,84.0,2.23,3.58,13.89,HOAC1,375,-123.671278,41.047833
38,2018-08-02 14:40:00,32.0,NE,3.58,12.6,11.56,338.0,655.574,,43.0,83.0,1.79,3.58,14.44,HOAC1,375,-123.671278,41.047833
39,2018-08-02 15:40:00,108.0,WNW,4.02,12.7,11.55,343.0,655.574,,302.0,80.0,1.34,4.02,15.0,HOAC1,375,-123.671278,41.047833
40,2018-08-02 16:40:00,323.0,N,3.58,13.4,12.09,355.0,655.574,,354.0,72.0,1.79,3.58,17.22,HOAC1,375,-123.671278,41.047833
41,2018-08-02 17:40:00,669.0,NNW,3.13,13.8,12.74,327.0,655.574,,327.0,61.0,1.34,3.13,20.56,HOAC1,375,-123.671278,41.047833
42,2018-08-02 18:40:00,796.0,WNW,4.47,13.7,11.98,331.0,655.574,,302.0,49.0,3.13,4.47,23.33,HOAC1,375,-123.671278,41.047833
43,2018-08-02 19:40:00,869.0,NW,5.37,13.7,12.33,298.0,655.574,26.46,316.0,41.0,4.02,5.37,26.67,HOAC1,375,-123.671278,41.047833
44,2018-08-02 20:40:00,885.0,NW,6.7,14.1,13.25,345.0,655.574,28.78,323.0,37.0,4.47,6.7,29.44,HOAC1,375,-123.671278,41.047833
45,2018-08-02 21:40:00,876.0,NNW,11.17,13.4,12.04,318.0,655.574,29.46,328.0,32.0,7.6,11.17,30.56,HOAC1,375,-123.671278,41.047833
46,2018-08-02 22:40:00,809.0,NW,10.28,13.6,10.04,337.0,655.574,29.13,322.0,28.0,5.81,10.28,30.56,HOAC1,375,-123.671278,41.047833
