,date_time,fuel_moisture_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,volt_set_1,dew_point_temperature_set_1d,peak_wind_direction_set_1,fuel_temp_set_1,precip_accum_set_1,heat_index_set_1d,wind_direction_set_1,wind_speed_set_1,peak_wind_speed_set_1,solar_radiation_set_1,relative_humidity_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:01:00,4.3,NNW,5.37,13.3,7.62,355.0,35.0,251.714,29.32,340.0,1.79,5.37,449.0,23.0,31.11,IDWC1,4777,-121.506389,41.711667
1,2018-08-01 01:01:00,4.3,NW,6.7,13.5,4.67,314.0,31.67,251.714,28.24,322.0,3.13,6.7,345.0,20.0,30.0,IDWC1,4777,-121.506389,41.711667
2,2018-08-01 02:01:00,4.3,NW,6.26,13.7,5.87,312.0,27.22,251.714,27.09,304.0,2.23,6.26,178.0,24.0,28.33,IDWC1,4777,-121.506389,41.711667
3,2018-08-01 03:01:00,4.5,NW,4.47,13.5,6.21,289.0,23.33,251.714,,304.0,1.79,4.47,62.0,29.0,25.56,IDWC1,4777,-121.506389,41.711667
4,2018-08-01 04:01:00,4.7,WNW,4.47,13.3,7.39,296.0,20.56,251.714,,290.0,2.23,4.47,6.0,36.0,23.33,IDWC1,4777,-121.506389,41.711667
5,2018-08-01 05:01:00,4.9,WSW,4.02,13.2,4.1,312.0,17.78,251.714,,250.0,2.68,4.02,0.0,34.0,20.56,IDWC1,4777,-121.506389,41.711667
6,2018-08-01 06:01:00,5.1,WSW,4.47,13.2,3.51,243.0,16.67,251.714,,248.0,2.68,4.47,0.0,35.0,19.44,IDWC1,4777,-121.506389,41.711667
7,2018-08-01 07:01:00,5.4,SW,4.47,13.1,3.69,234.0,16.11,251.714,,229.0,3.13,4.47,0.0,38.0,18.33,IDWC1,4777,-121.506389,41.711667
8,2018-08-01 08:01:00,5.6,SW,4.92,13.0,4.42,233.0,16.11,251.714,,230.0,4.02,4.92,0.0,40.0,18.33,IDWC1,4777,-121.506389,41.711667
9,2018-08-01 09:01:00,5.8,WSW,4.92,13.0,4.61,234.0,14.44,251.714,,237.0,3.58,4.92,0.0,45.0,16.67,IDWC1,4777,-121.506389,41.711667
10,2018-08-01 10:01:00,6.1,SW,4.47,13.0,4.96,238.0,14.44,251.714,,233.0,3.13,4.47,0.0,43.0,17.78,IDWC1,4777,-121.506389,41.711667
11,2018-08-01 11:01:00,6.2,SW,4.02,12.9,5.43,228.0,14.44,251.714,,236.0,3.58,4.02,0.0,46.0,17.22,IDWC1,4777,-121.506389,41.711667
12,2018-08-01 12:01:00,6.4,WSW,4.47,12.9,5.43,237.0,12.78,251.714,,240.0,3.13,4.47,0.0,53.0,15.0,IDWC1,4777,-121.506389,41.711667
13,2018-08-01 13:01:00,6.8,SW,4.02,12.9,5.15,228.0,12.22,251.714,,229.0,2.23,4.02,0.0,52.0,15.0,IDWC1,4777,-121.506389,41.711667
14,2018-08-01 14:01:00,7.1,SSW,3.58,13.0,5.9,213.0,13.89,251.714,,209.0,2.23,3.58,30.0,51.0,16.11,IDWC1,4777,-121.506389,41.711667
15,2018-08-01 15:01:00,7.5,,3.58,13.2,7.32,207.0,19.44,251.714,,,0.0,3.58,155.0,44.0,20.0,IDWC1,4777,-121.506389,41.711667
16,2018-08-01 16:01:00,7.5,NNE,2.68,13.7,6.39,48.0,23.89,251.714,,22.0,0.9,2.68,351.0,36.0,22.22,IDWC1,4777,-121.506389,41.711667
17,2018-08-01 17:01:00,7.2,N,2.68,13.6,6.17,12.0,29.44,251.714,,8.0,0.9,2.68,542.0,32.0,23.89,IDWC1,4777,-121.506389,41.711667
18,2018-08-01 18:01:00,6.4,E,3.13,13.4,6.69,57.0,34.44,251.714,,80.0,0.9,3.13,688.0,29.0,26.11,IDWC1,4777,-121.506389,41.711667
19,2018-08-01 19:01:00,5.7,ENE,4.02,13.3,7.57,79.0,37.78,251.714,27.2,75.0,1.79,4.02,794.0,27.0,28.33,IDWC1,4777,-121.506389,41.711667
20,2018-08-01 20:01:00,5.0,N,4.92,13.3,8.36,79.0,41.11,251.714,28.94,8.0,1.79,4.92,888.0,25.0,30.56,IDWC1,4777,-121.506389,41.711667
21,2018-08-01 21:01:00,4.5,NW,4.92,13.2,7.44,8.0,41.11,251.714,29.78,310.0,1.79,4.92,851.0,22.0,31.67,IDWC1,4777,-121.506389,41.711667
