,altimeter_set_1,wind_cardinal_direction_set_1d,cloud_layer_3_code_set_1,heat_index_set_1d,sea_level_pressure_set_1,sea_level_pressure_set_1d,cloud_layer_1_code_set_1,weather_condition_set_1d,air_temp_low_6_hour_set_1,air_temp_high_24_hour_set_1,precip_accum_one_hour_set_1,visibility_set_1,pressure_set_1d,pressure_tendency_set_1,metar_set_1,cloud_layer_2_code_set_1,relative_humidity_set_1,wind_speed_set_1,air_temp_set_1,air_temp_high_6_hour_set_1,date_time,dew_point_temperature_set_1d,ceiling_set_1,dew_point_temperature_set_1,air_temp_low_24_hour_set_1,precip_accum_six_hour_set_1,metar_origin_set_1,weather_cond_code_set_1,wind_direction_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,101727.07,N,,29.67,,100753.67,303.0,Haze,,,,2.0,89364.39,,KMHS 010014Z AUTO 00000KT 2SM HZ BKN030 OVC037 31/13 A3004 RMK AO2  T03060128,374.0,33.72,0.0,30.6,,2018-08-01 00:14:00,12.87,914.4,12.8,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
1,101693.2,N,,28.37,101550.0,100767.62,334.0,Haze,,,,2.5,89334.64,,KMHS 010056Z AUTO 00000KT 2 1/2SM HZ OVC033 29/11 A3003 RMK AO2  SLP155 T02940111,,32.29,0.0,29.4,,2018-08-01 00:56:00,11.15,1005.84,11.1,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
2,101693.2,N,,27.14,101530.0,100855.38,334.0,Haze,,,,2.5,89334.64,,KMHS 010156Z AUTO 00000KT 2 1/2SM HZ OVC033 27/13 A3003 RMK AO2  SLP153 T02720133,,42.39,0.0,27.2,,2018-08-01 01:56:00,13.32,1005.84,13.3,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
3,101727.07,,,26.22,101560.0,100909.46,364.0,Haze,,,,2.5,89364.39,5003.0,KMHS 010256Z AUTO VRB04KT 2 1/2SM HZ OVC036 27/08 A3004 RMK AO2  SLP156 T02670078 55003,,30.26,2.06,26.7,,2018-08-01 02:56:00,7.82,1097.28,7.8,,,1.0,6.0,,KMHS,3540,-122.31702,41.31494
4,101760.93,N,,,,101012.18,434.0,Haze,,,,3.0,89394.14,,KMHS 010345Z AUTO 00000KT 3SM HZ OVC043 25/08 A3005 RMK AO2  T02500078,,33.92,0.0,25.0,,2018-08-01 03:45:00,8.0,1310.64,7.8,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
5,101794.79,N,,,101600.0,101070.35,454.0,Haze,,,,4.0,89423.88,,KMHS 010356Z AUTO 00000KT 4SM HZ OVC045 24/09 A3006 RMK AO2 SLP160  T02440089,,37.37,0.0,24.4,,2018-08-01 03:56:00,8.89,1371.6,8.9,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
6,101828.66,N,,,101650.0,101216.06,494.0,Haze,,,,4.0,89453.64,,KMHS 010456Z AUTO 00000KT 4SM HZ OVC049 22/09 A3007 RMK AO2 SLP165  T02170089,,43.98,0.0,21.7,,2018-08-01 04:56:00,8.86,1493.52,8.9,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
7,101896.38,ENE,,,101720.0,101427.7,464.0,Haze,18.3,,,4.0,89513.13,1016.0,KMHS 010556Z AUTO 06003KT 4SM HZ OVC046 18/09 A3009 RMK AO2 SLP172  T01830089 10311 20183 51016,,54.27,1.54,18.3,31.1,2018-08-01 05:56:00,8.85,1402.08,8.9,,,1.0,6.0,60.0,KMHS,3540,-122.31702,41.31494
8,101896.38,ENE,,,101720.0,101449.25,494.0,Haze,,,,4.0,89513.13,,KMHS 010656Z AUTO 07003KT 4SM HZ OVC049 18/08 A3009 RMK AO2 SLP172  T01780083,,53.77,1.54,17.8,,2018-08-01 06:56:00,8.25,1493.52,8.3,,,1.0,6.0,70.0,KMHS,3540,-122.31702,41.31494
9,101930.25,N,,,101740.0,101530.64,474.0,Haze,,32.8,,4.0,89542.88,,KMHS 010756Z AUTO 00000KT 4SM HZ OVC047 17/08 A3010 RMK AO2 SLP174  T01670078 403280133,,55.71,0.0,16.7,,2018-08-01 07:56:00,7.74,1432.56,7.8,13.3,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
10,101896.38,N,,,101720.0,101571.2,434.0,Haze,,,,4.0,89513.13,1.0,KMHS 010856Z AUTO 00000KT 4SM HZ OVC043 15/09 A3009 RMK AO2 SLP172  T01500089 50001,,66.91,0.0,15.0,,2018-08-01 08:56:00,8.85,1310.64,8.9,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
11,101896.38,,,,101710.0,101619.78,474.0,Haze,,,,3.0,89513.13,,KMHS 010956Z AUTO VRB03KT 3SM HZ OVC047 14/09 A3009 RMK AO2 SLP171  T01390094,,74.3,1.54,13.9,,2018-08-01 09:56:00,9.36,1432.56,9.4,,,1.0,6.0,,KMHS,3540,-122.31702,41.31494
12,101862.52,NE,,,101690.0,101586.01,484.0,Haze,,,,3.0,89483.38,,KMHS 011056Z AUTO 05003KT 3SM HZ OVC048 14/09 A3008 RMK AO2 SLP169  T01390094,,74.3,1.54,13.9,,2018-08-01 10:56:00,9.36,1463.04,9.4,,,1.0,6.0,50.0,KMHS,3540,-122.31702,41.31494
13,101862.52,N,,,101670.0,101586.01,434.0,Haze,13.3,,,3.0,89483.38,8004.0,KMHS 011156Z AUTO 00000KT 3SM HZ OVC043 14/09 A3008 RMK AO2 SLP167  T01390094 10189 20133 58004,,74.3,0.0,13.9,18.9,2018-08-01 11:56:00,9.36,1310.64,9.4,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
14,101862.52,NE,,,101720.0,101661.93,414.0,Haze,,,,3.0,89483.38,,KMHS 011256Z AUTO 05003KT 3SM HZ OVC041 12/08 A3008 RMK AO2 SLP172  T01220083,,77.07,1.54,12.2,,2018-08-01 12:56:00,8.26,1249.68,8.3,,,1.0,6.0,50.0,KMHS,3540,-122.31702,41.31494
