,altimeter_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,heat_index_set_1d,sea_level_pressure_set_1,sea_level_pressure_set_1d,ceiling_set_1,weather_condition_set_1d,air_temp_low_6_hour_set_1,air_temp_high_24_hour_set_1,cloud_layer_1_code_set_1,pressure_set_1d,pressure_tendency_set_1,metar_set_1,cloud_layer_2_code_set_1,relative_humidity_set_1,wind_speed_set_1,air_temp_set_1,air_temp_high_6_hour_set_1,date_time,dew_point_temperature_set_1d,visibility_set_1,dew_point_temperature_set_1,air_temp_low_24_hour_set_1,metar_origin_set_1,weather_cond_code_set_1,wind_direction_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,100982.06,S,,37.48,,100889.17,1066.8,Haze,,,354.0,99718.72,,METAR KRBL 010000Z AUTO 17008KT 5SM HZ OVC035 37/16 A2982,,29.03,4.12,37.0,,2018-08-01 00:00:00,16.19,5.0,,,,6.0,170.0,KRBL,348,-122.25222,40.15056
1,100982.06,SE,,37.48,,100889.17,1066.8,Haze,,,354.0,99718.72,,METAR KRBL 010005Z AUTO 14010KT 5SM HZ OVC035 37/16 A2982,,29.03,5.14,37.0,,2018-08-01 00:05:00,16.19,5.0,,,,6.0,140.0,KRBL,348,-122.25222,40.15056
2,100982.06,SE,,37.48,,100889.17,1066.8,Haze,,,354.0,99718.72,,METAR KRBL 010010Z AUTO 13010KT 5SM HZ OVC035 37/16 A2982,,29.03,5.14,37.0,,2018-08-01 00:10:00,16.19,5.0,,,,6.0,130.0,KRBL,348,-122.25222,40.15056
3,100982.06,SE,,37.48,,100889.17,1066.8,Haze,,,354.0,99718.72,,METAR KRBL 010015Z AUTO 13009KT 5SM HZ OVC035 37/16 A2982,,29.03,4.63,37.0,,2018-08-01 00:15:00,16.19,5.0,,,,6.0,130.0,KRBL,348,-122.25222,40.15056
4,100982.06,SE,,37.48,,100889.17,1036.32,Haze,,,344.0,99718.72,,METAR KRBL 010020Z AUTO 13009KT 5SM HZ OVC034 37/16 A2982,,29.03,4.63,37.0,,2018-08-01 00:20:00,16.19,5.0,,,,6.0,130.0,KRBL,348,-122.25222,40.15056
5,100982.06,SE,,37.48,,100889.17,1036.32,Haze,,,344.0,99718.72,,METAR KRBL 010025Z AUTO 13010KT 5SM HZ OVC034 37/16 A2982,,29.03,5.14,37.0,,2018-08-01 00:25:00,16.19,5.0,,,,6.0,130.0,KRBL,348,-122.25222,40.15056
6,100982.06,SE,,37.48,,100889.17,1036.32,Haze,,,344.0,99718.72,,METAR KRBL 010030Z AUTO 14008KT 5SM HZ OVC034 37/16 A2982,,29.03,4.12,37.0,,2018-08-01 00:30:00,16.19,5.0,,,,6.0,140.0,KRBL,348,-122.25222,40.15056
7,100982.06,SSE,,37.48,,100889.17,1036.32,Haze,,,344.0,99718.72,,METAR KRBL 010035Z AUTO 16009KT 5SM HZ OVC034 37/16 A2982,,29.03,4.63,37.0,,2018-08-01 00:35:00,16.19,5.0,,,,6.0,160.0,KRBL,348,-122.25222,40.15056
8,100948.2,SSE,,37.48,,100855.34,1005.84,Haze,,,334.0,99685.28,,METAR KRBL 010040Z AUTO 16010KT 5SM HZ OVC033 37/16 A2981,,29.03,5.14,37.0,,2018-08-01 00:40:00,16.19,5.0,,,,6.0,160.0,KRBL,348,-122.25222,40.15056
9,100948.2,SSE,,37.48,,100855.34,1005.84,Haze,,,334.0,99685.28,,METAR KRBL 010045Z AUTO 15011KT 5SM HZ OVC033 37/16 A2981,,29.03,5.66,37.0,,2018-08-01 00:45:00,16.19,5.0,,,,6.0,150.0,KRBL,348,-122.25222,40.15056
10,100948.2,SSE,,37.48,,100855.34,1005.84,Haze,,,334.0,99685.28,,METAR KRBL 010050Z AUTO 15010KT 5SM HZ OVC033 37/16 A2981,,29.03,5.14,37.0,,2018-08-01 00:50:00,16.19,5.0,,,,6.0,150.0,KRBL,348,-122.25222,40.15056
11,100948.2,SSE,,36.49,100900.0,100858.76,944.88,Haze,,,314.0,99685.28,,KRBL 010054Z AUTO 16009KT 5SM HZ OVC031 36/16 A2981 RMK AO2 SLP090  T03610161,,30.68,4.63,36.1,,2018-08-01 00:54:00,16.26,5.0,16.1,,1.0,6.0,160.0,KRBL,348,-122.25222,40.15056
12,100948.2,SSE,,36.33,,100859.14,944.88,Haze,,,314.0,99685.28,,METAR KRBL 010055Z AUTO 16009KT 5SM HZ OVC031 36/16 A2981,,30.66,4.63,36.0,,2018-08-01 00:55:00,16.16,5.0,,,,6.0,160.0,KRBL,348,-122.25222,40.15056
13,100948.2,SSE,,36.86,,100859.14,944.88,Haze,,,314.0,99685.28,,METAR KRBL 010100Z AUTO 16009KT 5SM HZ OVC031 36/17 A2981,,32.67,4.63,36.0,,2018-08-01 01:00:00,17.16,5.0,,,,6.0,160.0,KRBL,348,-122.25222,40.15056
14,100948.2,SSE,,36.86,,100859.14,883.92,Haze,,,294.0,99685.28,,METAR KRBL 010105Z AUTO 16011KT 4SM HZ OVC029 36/17 A2981,,32.67,5.66,36.0,,2018-08-01 01:05:00,17.16,4.0,,,,6.0,160.0,KRBL,348,-122.25222,40.15056
15,100948.2,SSE,,36.51,,100860.66,883.92,Haze,,,294.0,99685.28,,KRBL 010108Z AUTO 16009KT 4SM HZ OVC029 36/17 A2981 RMK AO2  T03560172,,33.82,4.63,35.6,,2018-08-01 01:08:00,17.35,4.0,17.2,,1.0,6.0,160.0,KRBL,348,-122.25222,40.15056
16,100948.2,SSE,,36.86,,100859.14,822.96,Haze,,,274.0,99685.28,,METAR KRBL 010110Z AUTO 16010KT 4SM HZ OVC027 36/17 A2981,,32.67,5.14,36.0,,2018-08-01 01:10:00,17.16,4.0,,,,6.0,160.0,KRBL,348,-122.25222,40.15056
17,100948.2,SSE,,36.86,,100859.14,822.96,Haze,,,274.0,99685.28,,METAR KRBL 010115Z AUTO 16010KT 4SM HZ OVC027 36/17 A2981,,32.67,5.14,36.0,,2018-08-01 01:15:00,17.16,4.0,,,,6.0,160.0,KRBL,348,-122.25222,40.15056
18,100948.2,SSE,,35.71,,100862.96,822.96,Haze,,,274.0,99685.28,,METAR KRBL 010120Z AUTO 16008KT 5SM HZ OVC027 35/17 A2981,,34.51,4.12,35.0,,2018-08-01 01:20:00,17.13,5.0,,,,6.0,160.0,KRBL,348,-122.25222,40.15056
19,100948.2,SSE,,35.71,,100862.96,792.48,Haze,,,264.0,99685.28,,METAR KRBL 010125Z AUTO 15009KT 5SM HZ OVC026 35/17 A2981,,34.51,4.63,35.0,,2018-08-01 01:25:00,17.13,5.0,,,,6.0,150.0,KRBL,348,-122.25222,40.15056
20,100914.33,SSE,,36.86,,100825.29,792.48,Haze,,,264.0,99651.83,,METAR KRBL 010130Z AUTO 16008KT 5SM HZ OVC026 36/17 A2980,,32.67,4.12,36.0,,2018-08-01 01:30:00,17.16,5.0,,,,6.0,160.0,KRBL,348,-122.25222,40.15056
21,100914.33,SSE,,36.86,,100825.29,792.48,Haze,,,264.0,99651.83,,METAR KRBL 010135Z AUTO 16008KT 5SM HZ OVC026 36/17 A2980,,32.67,4.12,36.0,,2018-08-01 01:35:00,17.16,5.0,,,,6.0,160.0,KRBL,348,-122.25222,40.15056
22,100914.33,SSE,,35.2,,100829.13,792.48,Haze,,,264.0,99651.83,,METAR KRBL 010140Z AUTO 16008KT 5SM HZ OVC026 35/16 A2980,,32.39,4.12,35.0,,2018-08-01 01:40:00,16.14,5.0,,,,6.0,160.0,KRBL,348,-122.25222,40.15056
23,100914.33,SSE,,35.71,,100829.12,792.48,Haze,,,264.0,99651.83,,METAR KRBL 010145Z AUTO 16009KT 5SM HZ OVC026 35/17 A2980,,34.51,4.63,35.0,,2018-08-01 01:45:00,17.13,5.0,,,,6.0,160.0,KRBL,348,-122.25222,40.15056
24,100914.33,SSE,,35.71,,100829.12,822.96,Haze,,,274.0,99651.83,,METAR KRBL 010150Z AUTO 16007KT 5SM HZ OVC027 35/17 A2980,,34.51,3.6,35.0,,2018-08-01 01:50:00,17.13,5.0,,,,6.0,160.0,KRBL,348,-122.25222,40.15056
25,100914.33,SSE,,35.82,100880.0,100829.12,822.96,Haze,,,274.0,99651.83,,KRBL 010154Z AUTO 15006KT 5SM HZ OVC027 35/17 A2980 RMK AO2 SLP088  T03500172,,34.95,3.09,35.0,,2018-08-01 01:54:00,17.33,5.0,17.2,,1.0,6.0,150.0,KRBL,348,-122.25222,40.15056
26,100914.33,SE,,35.71,,100829.12,822.96,Haze,,,274.0,99651.83,,METAR KRBL 010155Z AUTO 14006KT 5SM HZ OVC027 35/17 A2980,,34.51,3.09,35.0,,2018-08-01 01:55:00,17.13,5.0,,,,6.0,140.0,KRBL,348,-122.25222,40.15056
27,100948.2,SE,,34.58,,100866.82,822.96,Haze,,,274.0,99685.28,,METAR KRBL 010200Z AUTO 14007KT 5SM HZ OVC027 34/17 A2981,,36.48,3.6,34.0,,2018-08-01 02:00:00,17.11,5.0,,,,6.0,140.0,KRBL,348,-122.25222,40.15056
28,100914.33,SE,,35.14,,100832.96,822.96,Haze,,,274.0,99651.83,,METAR KRBL 010205Z AUTO 13005KT 5SM HZ OVC027 34/18 A2980,,38.85,2.57,34.0,,2018-08-01 02:05:00,18.1,5.0,,,,6.0,130.0,KRBL,348,-122.25222,40.15056
29,100948.2,SE,,35.78,,100866.8,822.96,Haze,,,274.0,99685.28,,METAR KRBL 010210Z AUTO 13005KT 5SM HZ OVC027 34/19 A2981,,41.36,2.57,34.0,,2018-08-01 02:10:00,19.1,5.0,,,,6.0,130.0,KRBL,348,-122.25222,40.15056
30,100948.2,ESE,,34.63,,100870.68,822.96,Haze,,,274.0,99685.28,,METAR KRBL 010215Z AUTO 12007KT 5SM HZ OVC027 33/19 A2981,,43.73,3.6,33.0,,2018-08-01 02:15:00,19.08,5.0,,,,6.0,120.0,KRBL,348,-122.25222,40.15056
31,100948.2,SE,,35.34,,100870.67,853.44,Haze,,,284.0,99685.28,,METAR KRBL 010220Z AUTO 13006KT 5SM HZ OVC028 33/20 A2981,,46.53,3.09,33.0,,2018-08-01 02:20:00,20.08,5.0,,,,6.0,130.0,KRBL,348,-122.25222,40.15056
32,100948.2,ESE,,35.34,,100870.67,853.44,Haze,,,284.0,99685.28,,METAR KRBL 010225Z AUTO 12005KT 5SM HZ OVC028 33/20 A2981,,46.53,2.57,33.0,,2018-08-01 02:25:00,20.08,5.0,,,,6.0,120.0,KRBL,348,-122.25222,40.15056
33,100914.33,SE,,35.34,,100836.82,914.4,Haze,,,304.0,99651.83,,METAR KRBL 010230Z AUTO 13004KT 5SM HZ OVC030 33/20 A2980,,46.53,2.06,33.0,,2018-08-01 02:30:00,20.08,5.0,,,,6.0,130.0,KRBL,348,-122.25222,40.15056
34,100948.2,SE,,35.11,,100871.45,914.4,Haze,,,304.0,99685.28,,KRBL 010232Z AUTO 13005KT 5SM HZ OVC030 33/20 A2981 RMK AO2  T03280200,,47.06,2.57,32.8,,2018-08-01 02:32:00,20.08,5.0,20.0,,1.0,6.0,130.0,KRBL,348,-122.25222,40.15056
35,100948.2,SE,,35.34,,100870.67,914.4,Haze,,,304.0,99685.28,,METAR KRBL 010235Z AUTO 13004KT 5SM HZ OVC030 33/20 A2981,,46.53,2.06,33.0,,2018-08-01 02:35:00,20.08,5.0,,,,6.0,130.0,KRBL,348,-122.25222,40.15056
36,100948.2,SE,,34.18,,100874.57,914.4,Haze,,,304.0,99685.28,,METAR KRBL 010240Z AUTO 14004KT 5SM HZ OVC030 32/20 A2981,,49.23,2.06,32.0,,2018-08-01 02:40:00,20.06,5.0,,,,6.0,140.0,KRBL,348,-122.25222,40.15056
37,100948.2,SE,,34.18,,100874.57,944.88,Haze,,,314.0,99685.28,,METAR KRBL 010245Z AUTO 13004KT 5SM HZ OVC031 32/20 A2981,,49.23,2.06,32.0,,2018-08-01 02:45:00,20.06,5.0,,,,6.0,130.0,KRBL,348,-122.25222,40.15056
38,100948.2,ESE,,34.18,,100874.57,1005.84,Haze,,,334.0,99685.28,,METAR KRBL 010250Z AUTO 12004KT 5SM HZ OVC033 32/20 A2981,,49.23,2.06,32.0,,2018-08-01 02:50:00,20.06,5.0,,,,6.0,120.0,KRBL,348,-122.25222,40.15056
