,altimeter_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,cloud_layer_3_code_set_1,heat_index_set_1d,sea_level_pressure_set_1,sea_level_pressure_set_1d,ceiling_set_1,weather_condition_set_1d,air_temp_low_6_hour_set_1,air_temp_high_24_hour_set_1,cloud_layer_1_code_set_1,pressure_set_1d,pressure_tendency_set_1,metar_set_1,cloud_layer_2_code_set_1,relative_humidity_set_1,wind_speed_set_1,air_temp_set_1,air_temp_high_6_hour_set_1,date_time,dew_point_temperature_set_1d,visibility_set_1,dew_point_temperature_set_1,air_temp_low_24_hour_set_1,metar_origin_set_1,weather_cond_code_set_1,wind_direction_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,100948.2,S,,,37.29,,100807.57,883.92,"Haze,Smoke",,,294.0,99140.93,,METAR KRDD 010000Z AUTO 18004KT 3 1/2SM HZ FU OVC029 38/13 A2981,,22.66,2.06,38.0,,2018-08-01 00:00:00,13.24,3.5,,,,566.0,180.0,KRDD,499,-122.29770,40.51461
1,100948.2,SE,,,38.39,,100802.2,883.92,"Haze,Smoke",,,294.0,99140.93,,METAR KRDD 010005Z AUTO 14006KT 4SM HZ FU OVC029 39/13 A2981,,21.47,3.09,39.0,,2018-08-01 00:05:00,13.26,4.0,,,,566.0,140.0,KRDD,499,-122.29770,40.51461
2,100948.2,SSE,,,37.29,,100807.57,883.92,"Haze,Smoke",,,294.0,99140.93,,METAR KRDD 010010Z AUTO 16005KT 4SM HZ FU OVC029 38/13 A2981,,22.66,2.57,38.0,,2018-08-01 00:10:00,13.24,4.0,,,,566.0,160.0,KRDD,499,-122.29770,40.51461
3,100948.2,SSE,,,37.29,,100807.57,914.4,"Haze,Smoke",,,303.0,99140.93,,METAR KRDD 010015Z AUTO 15003KT 4SM HZ FU BKN030 OVC038 38/13 A2981,384.0,22.66,1.54,38.0,,2018-08-01 00:15:00,13.24,4.0,,,,566.0,150.0,KRDD,499,-122.29770,40.51461
4,100948.2,SSE,,,37.73,,100805.96,914.4,"Haze,Smoke",,,303.0,99140.93,,KRDD 010017Z 16005KT 4SM HZ FU BKN030 OVC038 38/13 A2981 RMK AO2  T03830133,384.0,22.73,2.57,38.3,,2018-08-01 00:17:00,13.54,4.0,13.3,,1.0,566.0,160.0,KRDD,499,-122.29770,40.51461
5,100948.2,SSE,,,38.39,,100802.2,975.36,"Haze,Smoke",,,324.0,99140.93,,METAR KRDD 010020Z AUTO 16005KT 4SM HZ FU OVC032 39/13 A2981,,21.47,2.57,39.0,,2018-08-01 00:20:00,13.26,4.0,,,,566.0,160.0,KRDD,499,-122.29770,40.51461
6,100948.2,S,,,37.29,,100807.57,975.36,"Haze,Smoke",,,324.0,99140.93,,METAR KRDD 010025Z AUTO 18005KT 4SM HZ FU OVC032 38/13 A2981,,22.66,2.57,38.0,,2018-08-01 00:25:00,13.24,4.0,,,,566.0,180.0,KRDD,499,-122.29770,40.51461
7,100948.2,SSE,,,37.29,,100807.57,944.88,"Haze,Smoke",,,314.0,99140.93,,METAR KRDD 010030Z AUTO 16006KT 4SM HZ FU OVC031 38/13 A2981,,22.66,3.09,38.0,,2018-08-01 00:30:00,13.24,4.0,,,,566.0,160.0,KRDD,499,-122.29770,40.51461
8,100948.2,SSE,,,37.29,,100807.57,1005.84,"Haze,Smoke",,,334.0,99140.93,,METAR KRDD 010035Z AUTO 16006KT 4SM HZ FU OVC033 38/13 A2981,,22.66,3.09,38.0,,2018-08-01 00:35:00,13.24,4.0,,,,566.0,160.0,KRDD,499,-122.29770,40.51461
9,100948.2,SE,,,37.29,,100807.57,1005.84,"Haze,Smoke",,,334.0,99140.93,,METAR KRDD 010040Z AUTO 14005KT 4SM HZ FU OVC033 38/13 A2981,,22.66,2.57,38.0,,2018-08-01 00:40:00,13.24,4.0,,,,566.0,140.0,KRDD,499,-122.29770,40.51461
10,100914.33,SE,,,37.29,,100773.76,975.36,"Haze,Smoke",,,324.0,99107.67,,METAR KRDD 010045Z AUTO 13005KT 4SM HZ FU OVC032 38/13 A2980,,22.66,2.57,38.0,,2018-08-01 00:45:00,13.24,4.0,,,,566.0,130.0,KRDD,499,-122.29770,40.51461
11,100914.33,SE,,,37.29,,100773.76,975.36,"Haze,Smoke",,,324.0,99107.67,,METAR KRDD 010050Z AUTO 14006KT 4SM HZ FU OVC032 38/13 A2980,,22.66,3.09,38.0,,2018-08-01 00:50:00,13.24,4.0,,,,566.0,140.0,KRDD,499,-122.29770,40.51461
12,100914.33,SE,,,37.73,100840.0,100772.14,975.36,"Haze,Smoke",,,324.0,99107.67,,KRDD 010053Z 13006KT 4SM HZ FU OVC032 38/13 A2980 RMK AO2 SLP084  T03830133,,22.73,3.09,38.3,,2018-08-01 00:53:00,13.54,4.0,13.3,,1.0,566.0,130.0,KRDD,499,-122.29770,40.51461
