,date_time,wind_cardinal_direction_set_1d,wind_speed_set_1,soil_moisture_set_1,air_temp_low_24_hour_set_1,air_temp_high_24_hour_set_1,dew_point_temperature_set_1d,precip_accum_one_hour_set_1,precip_accum_set_1,heat_index_set_1d,wind_direction_set_1,soil_temp_set_1,relative_humidity_set_1,solar_radiation_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,NW,1.3,5.2,28.89,31.22,6.58,0.0,,28.26,323.0,23.89,23.0,302.76,29.89,LYNO3,4092,-121.38869,42.01865
1,2018-08-01 01:00:00,N,1.25,5.1,26.78,30.0,5.4,0.0,,27.18,3.0,23.89,23.0,184.29,28.5,LYNO3,4092,-121.38869,42.01865
2,2018-08-01 02:00:00,N,1.08,5.2,26.28,27.72,5.13,0.0,,26.17,6.0,23.89,25.0,109.74,26.78,LYNO3,4092,-121.38869,42.01865
3,2018-08-01 03:00:00,N,0.98,5.2,23.61,26.5,9.88,0.0,,,2.0,23.89,38.0,43.99,25.22,LYNO3,4092,-121.38869,42.01865
4,2018-08-01 04:00:00,N,0.9,5.0,22.11,23.61,8.17,0.0,,,3.0,23.33,39.0,3.31,22.89,LYNO3,4092,-121.38869,42.01865
5,2018-08-01 05:00:00,NNW,0.8,5.1,19.11,22.11,7.69,0.0,,,328.0,22.78,43.0,0.0,20.78,LYNO3,4092,-121.38869,42.01865
6,2018-08-01 06:00:00,WSW,0.4,5.1,15.78,19.5,11.42,0.0,,,252.0,22.22,64.0,0.0,18.39,LYNO3,4092,-121.38869,42.01865
7,2018-08-01 07:00:00,ENE,0.4,4.9,13.22,15.78,10.6,0.0,,,65.0,21.67,79.0,0.0,14.22,LYNO3,4092,-121.38869,42.01865
8,2018-08-01 08:00:00,NNE,0.72,5.0,12.61,14.28,8.84,0.0,329.692,,12.0,21.11,75.0,0.0,13.22,LYNO3,4092,-121.38869,42.01865
9,2018-08-01 09:00:00,N,0.4,5.0,12.0,14.28,8.32,0.0,,,357.0,20.56,74.0,0.0,12.89,LYNO3,4092,-121.38869,42.01865
10,2018-08-01 10:00:00,NNW,0.54,4.8,11.11,12.89,8.24,,,,344.0,20.56,78.0,0.0,12.0,LYNO3,4092,-121.38869,42.01865
11,2018-08-01 12:00:00,,,,,,,0.0,,,,,,,,LYNO3,4092,-121.38869,42.01865
12,2018-08-01 13:00:00,N,0.36,4.8,8.72,11.11,7.57,0.0,,,350.0,18.89,85.0,0.1,10.0,LYNO3,4092,-121.38869,42.01865
13,2018-08-01 14:00:00,N,0.27,4.7,8.39,9.5,6.48,0.0,,,5.0,18.33,86.0,9.78,8.72,LYNO3,4092,-121.38869,42.01865
14,2018-08-01 15:00:00,NNE,0.13,4.9,9.5,13.5,6.48,0.0,,,25.0,18.33,75.0,39.13,10.78,LYNO3,4092,-121.38869,42.01865
15,2018-08-01 16:00:00,NNW,0.13,4.8,13.5,16.61,6.87,0.0,,,331.0,18.33,60.0,74.9,14.61,LYNO3,4092,-121.38869,42.01865
16,2018-08-01 17:00:00,S,0.4,4.9,16.61,19.11,8.51,0.0,,,188.0,18.33,55.0,113.32,17.72,LYNO3,4092,-121.38869,42.01865
17,2018-08-01 18:00:00,S,0.58,4.8,19.11,22.11,8.91,0.0,,,189.0,18.33,49.0,145.35,20.0,LYNO3,4092,-121.38869,42.01865
18,2018-08-01 19:00:00,SW,0.8,4.8,22.11,24.22,8.27,0.0,,,235.0,19.44,39.0,170.06,23.0,LYNO3,4092,-121.38869,42.01865
19,2018-08-01 20:00:00,SW,1.16,4.8,24.22,25.61,11.28,0.0,,,217.0,20.56,43.0,229.69,24.72,LYNO3,4092,-121.38869,42.01865
20,2018-08-01 21:00:00,WSW,0.98,5.1,25.61,28.39,6.61,0.0,,,241.0,21.67,28.0,285.38,26.61,LYNO3,4092,-121.38869,42.01865
21,2018-08-01 22:00:00,WNW,1.38,5.1,28.39,30.28,3.93,0.0,,27.54,284.0,22.78,20.0,415.11,29.11,LYNO3,4092,-121.38869,42.01865
22,2018-08-01 23:00:00,WNW,2.28,5.1,30.0,30.72,5.69,0.0,,28.59,282.0,23.89,21.0,552.17,30.39,LYNO3,4092,-121.38869,42.01865
23,2018-08-02 00:00:00,WSW,2.55,5.0,30.0,30.39,2.47,0.0,,28.25,258.0,24.44,17.0,462.34,30.11,LYNO3,4092,-121.38869,42.01865
24,2018-08-02 01:00:00,W,3.22,5.2,29.39,30.22,0.57,0.0,,28.05,266.0,24.44,15.0,317.6,29.89,LYNO3,4092,-121.38869,42.01865
25,2018-08-02 02:00:00,W,2.15,5.1,27.28,29.39,5.0,0.0,,27.35,277.0,23.89,22.0,173.03,28.78,LYNO3,4092,-121.38869,42.01865
26,2018-08-02 03:00:00,N,1.16,5.1,22.28,27.28,7.14,0.0,,,3.0,23.89,32.0,47.08,25.0,LYNO3,4092,-121.38869,42.01865
27,2018-08-02 04:00:00,NNW,0.98,5.2,19.39,22.28,6.4,0.0,,,346.0,23.33,37.0,2.55,21.78,LYNO3,4092,-121.38869,42.01865
28,2018-08-02 05:00:00,NW,0.54,5.0,17.72,20.61,7.73,0.0,,,324.0,22.78,47.0,0.0,19.39,LYNO3,4092,-121.38869,42.01865
29,2018-08-02 06:00:00,ESE,0.4,5.1,13.0,17.72,10.01,0.0,,,115.0,22.22,71.0,0.0,15.28,LYNO3,4092,-121.38869,42.01865
30,2018-08-02 07:00:00,SSE,0.54,5.0,11.72,13.72,8.83,0.0,,,147.0,21.67,76.0,0.0,13.0,LYNO3,4092,-121.38869,42.01865
31,2018-08-02 08:00:00,N,0.45,5.1,11.61,12.61,8.05,0.0,329.692,,3.0,21.11,77.0,0.0,12.0,LYNO3,4092,-121.38869,42.01865
32,2018-08-02 09:00:00,N,0.49,5.0,11.11,12.0,7.37,0.0,,,355.0,20.56,76.0,0.0,11.5,LYNO3,4092,-121.38869,42.01865
33,2018-08-02 10:00:00,NNW,0.54,5.1,8.89,11.11,6.49,0.0,,,348.0,19.44,77.0,0.0,10.39,LYNO3,4092,-121.38869,42.01865
34,2018-08-02 11:00:00,NNW,0.76,4.9,7.89,10.78,8.02,,,,342.0,19.44,87.0,0.01,10.11,LYNO3,4092,-121.38869,42.01865
35,2018-08-02 13:00:00,,,,,,,0.0,,,,,,,,LYNO3,4092,-121.38869,42.01865
36,2018-08-02 14:00:00,N,0.18,4.8,7.89,9.22,6.03,0.0,,,350.0,18.33,84.0,12.21,8.61,LYNO3,4092,-121.38869,42.01865
37,2018-08-02 15:00:00,N,0.13,4.9,8.61,12.72,4.78,0.0,,,352.0,17.78,69.0,38.95,10.28,LYNO3,4092,-121.38869,42.01865
38,2018-08-02 16:00:00,WSW,0.54,4.7,12.72,16.39,5.5,0.0,,,237.0,17.78,55.0,76.04,14.5,LYNO3,4092,-121.38869,42.01865
39,2018-08-02 17:00:00,SSW,0.76,4.8,16.39,18.78,6.1,0.0,,,213.0,17.78,48.0,113.66,17.28,LYNO3,4092,-121.38869,42.01865
40,2018-08-02 18:00:00,SW,0.98,4.8,18.78,21.0,7.45,0.0,,,214.0,17.78,45.0,170.93,19.78,LYNO3,4092,-121.38869,42.01865
41,2018-08-02 19:00:00,SSW,0.94,4.9,21.0,24.22,5.39,0.0,,,211.0,18.89,33.0,194.94,22.5,LYNO3,4092,-121.38869,42.01865
42,2018-08-02 20:00:00,SW,1.83,4.9,24.22,25.22,6.15,0.0,,,230.0,20.0,31.0,301.01,24.39,LYNO3,4092,-121.38869,42.01865
43,2018-08-02 21:00:00,WSW,2.1,5.2,25.22,27.22,2.56,0.0,,,255.0,21.11,22.0,492.9,25.89,LYNO3,4092,-121.38869,42.01865
44,2018-08-02 22:00:00,W,2.55,5.2,27.22,28.28,-3.2,0.0,,26.35,268.0,22.22,13.0,611.97,27.61,LYNO3,4092,-121.38869,42.01865
45,2018-08-02 23:00:00,WNW,2.68,5.1,28.28,29.72,-2.17,0.0,,27.28,288.0,23.33,13.0,712.37,28.89,LYNO3,4092,-121.38869,42.01865
46,2018-08-03 00:00:00,W,2.86,5.1,28.72,29.11,-1.18,0.0,,27.28,274.0,23.33,14.0,607.61,28.89,LYNO3,4092,-121.38869,42.01865
47,2018-08-03 01:00:00,NNW,2.23,5.2,26.11,28.72,2.46,0.0,,26.87,327.0,23.89,19.0,465.05,28.22,LYNO3,4092,-121.38869,42.01865
