,volt_set_1,date_time,snow_depth_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,12.3,2018-08-01 00:00:00,7.62,29.44,MUMC1,5700,-122.52500,41.19833
1,12.2,2018-08-01 01:00:00,25.4,27.22,MUMC1,5700,-122.52500,41.19833
2,12.2,2018-08-01 02:00:00,,24.44,MUMC1,5700,-122.52500,41.19833
3,12.1,2018-08-01 03:00:00,,20.56,MUMC1,5700,-122.52500,41.19833
4,12.1,2018-08-01 04:00:00,15.24,15.56,MUMC1,5700,-122.52500,41.19833
5,12.1,2018-08-01 05:00:00,,13.89,MUMC1,5700,-122.52500,41.19833
6,12.1,2018-08-01 06:00:00,,12.78,MUMC1,5700,-122.52500,41.19833
7,12.1,2018-08-01 07:00:00,35.56,12.78,MUMC1,5700,-122.52500,41.19833
8,12.1,2018-08-01 08:00:00,,11.67,MUMC1,5700,-122.52500,41.19833
9,12.0,2018-08-01 09:00:00,,11.11,MUMC1,5700,-122.52500,41.19833
10,12.0,2018-08-01 10:00:00,45.72,11.11,MUMC1,5700,-122.52500,41.19833
11,12.0,2018-08-01 11:00:00,66.04,10.56,MUMC1,5700,-122.52500,41.19833
12,12.0,2018-08-01 12:00:00,38.1,10.0,MUMC1,5700,-122.52500,41.19833
13,12.0,2018-08-01 13:00:00,40.64,10.0,MUMC1,5700,-122.52500,41.19833
14,12.0,2018-08-01 14:00:00,,9.44,MUMC1,5700,-122.52500,41.19833
15,12.1,2018-08-01 15:00:00,,12.22,MUMC1,5700,-122.52500,41.19833
16,12.5,2018-08-01 16:00:00,,21.11,MUMC1,5700,-122.52500,41.19833
17,12.6,2018-08-01 17:00:00,,25.0,MUMC1,5700,-122.52500,41.19833
18,12.5,2018-08-01 18:00:00,5.08,26.11,MUMC1,5700,-122.52500,41.19833
19,12.4,2018-08-01 19:00:00,25.4,26.67,MUMC1,5700,-122.52500,41.19833
20,12.3,2018-08-01 20:00:00,20.32,26.11,MUMC1,5700,-122.52500,41.19833
21,12.3,2018-08-01 21:00:00,22.86,25.56,MUMC1,5700,-122.52500,41.19833
22,12.3,2018-08-01 22:00:00,22.86,26.11,MUMC1,5700,-122.52500,41.19833
23,12.3,2018-08-01 23:00:00,,27.78,MUMC1,5700,-122.52500,41.19833
24,12.3,2018-08-02 00:00:00,17.78,27.78,MUMC1,5700,-122.52500,41.19833
25,12.2,2018-08-02 01:00:00,0.0,25.56,MUMC1,5700,-122.52500,41.19833
26,12.2,2018-08-02 02:00:00,,25.0,MUMC1,5700,-122.52500,41.19833
27,12.1,2018-08-02 03:00:00,,20.56,MUMC1,5700,-122.52500,41.19833
28,12.1,2018-08-02 04:00:00,,15.56,MUMC1,5700,-122.52500,41.19833
29,12.1,2018-08-02 05:00:00,,13.89,MUMC1,5700,-122.52500,41.19833
30,12.1,2018-08-02 06:00:00,33.02,12.22,MUMC1,5700,-122.52500,41.19833
31,12.1,2018-08-02 07:00:00,43.18,10.56,MUMC1,5700,-122.52500,41.19833
32,12.1,2018-08-02 08:00:00,35.56,10.56,MUMC1,5700,-122.52500,41.19833
33,12.1,2018-08-02 09:00:00,45.72,8.89,MUMC1,5700,-122.52500,41.19833
34,12.0,2018-08-02 10:00:00,50.8,8.33,MUMC1,5700,-122.52500,41.19833
35,12.0,2018-08-02 11:00:00,71.12,9.44,MUMC1,5700,-122.52500,41.19833
36,12.0,2018-08-02 12:00:00,35.56,9.44,MUMC1,5700,-122.52500,41.19833
37,12.0,2018-08-02 13:00:00,124.46,7.78,MUMC1,5700,-122.52500,41.19833
38,12.0,2018-08-02 14:00:00,38.1,7.78,MUMC1,5700,-122.52500,41.19833
39,12.1,2018-08-02 15:00:00,38.1,10.56,MUMC1,5700,-122.52500,41.19833
40,12.5,2018-08-02 16:00:00,,18.89,MUMC1,5700,-122.52500,41.19833
41,12.7,2018-08-02 17:00:00,116.84,23.89,MUMC1,5700,-122.52500,41.19833
42,12.6,2018-08-02 18:00:00,81.28,26.67,MUMC1,5700,-122.52500,41.19833
43,12.4,2018-08-02 19:00:00,25.4,27.22,MUMC1,5700,-122.52500,41.19833
44,12.4,2018-08-02 20:00:00,101.6,26.67,MUMC1,5700,-122.52500,41.19833
45,12.3,2018-08-02 21:00:00,20.32,27.22,MUMC1,5700,-122.52500,41.19833
46,12.4,2018-08-02 22:00:00,15.24,27.78,MUMC1,5700,-122.52500,41.19833
47,12.4,2018-08-02 23:00:00,83.82,28.33,MUMC1,5700,-122.52500,41.19833
48,12.3,2018-08-03 00:00:00,93.98,27.78,MUMC1,5700,-122.52500,41.19833
49,12.3,2018-08-03 01:00:00,109.22,26.11,MUMC1,5700,-122.52500,41.19833
50,12.3,2018-08-03 02:00:00,111.76,25.0,MUMC1,5700,-122.52500,41.19833
51,12.1,2018-08-03 03:00:00,,19.44,MUMC1,5700,-122.52500,41.19833
52,12.1,2018-08-03 04:00:00,,15.0,MUMC1,5700,-122.52500,41.19833
53,12.1,2018-08-03 05:00:00,2.54,13.33,MUMC1,5700,-122.52500,41.19833
54,12.1,2018-08-03 06:00:00,,10.56,MUMC1,5700,-122.52500,41.19833
55,12.1,2018-08-03 07:00:00,43.18,9.44,MUMC1,5700,-122.52500,41.19833
