,date_time,soil_temp_set_1,dew_point_temperature_set_1d,heat_index_set_1d,relative_humidity_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,27.86,12.35,30.73,30.21,31.9,NVCCA,3461,-120.98000,39.39000
1,2018-08-01 01:00:00,27.56,12.47,29.84,32.29,30.89,NVCCA,3461,-120.98000,39.39000
2,2018-08-01 02:00:00,27.26,14.21,28.32,41.38,28.59,NVCCA,3461,-120.98000,39.39000
3,2018-08-01 06:00:00,25.96,12.48,,43.42,25.88,NVCCA,3461,-120.98000,39.39000
4,2018-08-01 07:00:00,25.56,9.41,,34.58,26.27,NVCCA,3461,-120.98000,39.39000
5,2018-08-01 08:00:00,25.26,10.08,,35.8,26.44,NVCCA,3461,-120.98000,39.39000
6,2018-08-01 09:00:00,25.06,10.34,,38.05,25.72,NVCCA,3461,-120.98000,39.39000
7,2018-08-01 10:00:00,24.78,10.61,,39.57,25.36,NVCCA,3461,-120.98000,39.39000
8,2018-08-01 10:04:00,24.77,10.62,,39.86,25.25,NVCCA,3461,-120.98000,39.39000
9,2018-08-01 10:08:00,24.76,10.5,,39.59,25.23,NVCCA,3461,-120.98000,39.39000
10,2018-08-01 10:12:00,24.74,10.38,,39.16,25.28,NVCCA,3461,-120.98000,39.39000
11,2018-08-01 10:16:00,24.72,10.28,,38.68,25.38,NVCCA,3461,-120.98000,39.39000
12,2018-08-01 10:20:00,24.71,10.34,,38.86,25.36,NVCCA,3461,-120.98000,39.39000
13,2018-08-01 10:24:00,24.69,10.26,,38.87,25.27,NVCCA,3461,-120.98000,39.39000
14,2018-08-01 10:28:00,24.67,10.35,,38.96,25.33,NVCCA,3461,-120.98000,39.39000
15,2018-08-01 10:33:00,24.66,10.45,,39.46,25.23,NVCCA,3461,-120.98000,39.39000
16,2018-08-01 10:37:00,24.64,10.5,,39.61,25.22,NVCCA,3461,-120.98000,39.39000
