,date_time,wind_speed_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,volt_set_1,dew_point_temperature_set_1d,peak_wind_direction_set_1,fuel_temp_set_1,precip_accum_set_1,heat_index_set_1d,wind_direction_set_1,peak_wind_speed_set_1,fuel_moisture_set_1,relative_humidity_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:52:00,1.79,E,3.58,13.1,18.23,90.0,36.11,108.966,36.36,97.0,3.58,6.6,37.0,35.0,NWQC1,95,-122.183889,39.446111
1,2018-08-01 01:52:00,1.34,SE,3.13,13.0,18.98,92.0,32.78,108.966,34.32,132.0,3.13,6.6,44.0,32.78,NWQC1,95,-122.183889,39.446111
2,2018-08-01 02:52:00,0.9,NNW,1.34,13.0,19.47,110.0,27.78,108.966,30.98,348.0,1.34,7.1,55.0,29.44,NWQC1,95,-122.183889,39.446111
3,2018-08-01 03:52:00,0.9,N,1.34,12.9,21.5,312.0,25.56,108.966,29.33,2.0,1.34,8.1,71.0,27.22,NWQC1,95,-122.183889,39.446111
4,2018-08-01 04:52:00,0.9,SE,1.34,12.9,22.04,179.0,26.11,108.966,30.37,136.0,1.34,9.7,71.0,27.78,NWQC1,95,-122.183889,39.446111
5,2018-08-01 05:52:00,1.34,WSW,1.79,12.9,20.79,257.0,24.44,108.966,,245.0,1.79,10.5,75.0,25.56,NWQC1,95,-122.183889,39.446111
6,2018-08-01 06:52:00,0.45,N,2.23,12.8,21.59,275.0,22.22,108.966,,10.0,2.23,12.2,87.0,23.89,NWQC1,95,-122.183889,39.446111
7,2018-08-01 07:52:00,1.34,SW,2.68,12.8,21.21,175.0,21.67,108.966,,227.0,2.68,15.3,85.0,23.89,NWQC1,95,-122.183889,39.446111
8,2018-08-01 08:52:00,1.79,ESE,3.13,12.8,20.49,95.0,21.67,108.966,,113.0,3.13,16.4,87.0,22.78,NWQC1,95,-122.183889,39.446111
9,2018-08-01 09:52:00,1.79,SE,2.68,12.8,16.69,143.0,21.11,108.966,,132.0,2.68,16.1,71.0,22.22,NWQC1,95,-122.183889,39.446111
10,2018-08-01 10:52:00,0.9,ESE,3.13,12.8,14.32,150.0,20.56,108.966,,107.0,3.13,14.0,59.0,22.78,NWQC1,95,-122.183889,39.446111
11,2018-08-01 11:52:00,0.9,N,1.79,12.8,13.12,149.0,18.33,108.966,,353.0,1.79,12.9,67.0,19.44,NWQC1,95,-122.183889,39.446111
12,2018-08-01 12:52:00,0.45,NE,1.34,12.7,14.95,11.0,16.67,108.966,,56.0,1.34,15.2,78.0,18.89,NWQC1,95,-122.183889,39.446111
13,2018-08-01 13:52:00,0.9,ESE,1.34,12.9,16.62,98.0,18.89,108.966,,103.0,1.34,18.7,81.0,20.0,NWQC1,95,-122.183889,39.446111
14,2018-08-01 14:52:00,1.79,E,2.23,13.7,16.91,105.0,23.33,108.966,,95.0,2.23,15.2,72.0,22.22,NWQC1,95,-122.183889,39.446111
15,2018-08-01 15:52:00,2.23,E,3.58,14.5,15.32,89.0,28.33,108.966,,93.0,3.58,12.0,55.0,25.0,NWQC1,95,-122.183889,39.446111
16,2018-08-01 16:52:00,2.23,ENE,4.02,14.0,12.95,63.0,32.22,108.966,27.48,61.0,4.02,9.9,40.0,27.78,NWQC1,95,-122.183889,39.446111
17,2018-08-01 17:52:00,2.23,ENE,4.47,13.5,13.17,43.0,34.44,108.966,28.33,59.0,4.47,9.3,38.0,28.89,NWQC1,95,-122.183889,39.446111
18,2018-08-01 18:52:00,2.23,ENE,4.47,13.8,15.07,103.0,37.78,108.966,30.23,62.0,4.47,8.1,39.0,30.56,NWQC1,95,-122.183889,39.446111
19,2018-08-01 19:52:00,2.23,ENE,4.47,13.5,15.74,72.0,38.89,108.966,32.07,76.0,4.47,7.4,37.0,32.22,NWQC1,95,-122.183889,39.446111
20,2018-08-01 20:52:00,2.23,ENE,4.47,13.5,16.36,83.0,40.56,108.966,34.09,78.0,4.47,7.1,35.0,33.89,NWQC1,95,-122.183889,39.446111
21,2018-08-01 21:52:00,2.23,E,4.02,13.4,16.85,121.0,40.0,108.966,34.93,91.0,4.02,6.8,35.0,34.44,NWQC1,95,-122.183889,39.446111
22,2018-08-01 22:52:00,1.79,ENE,4.02,13.4,16.4,124.0,40.56,108.966,34.71,67.0,4.02,6.4,34.0,34.44,NWQC1,95,-122.183889,39.446111
23,2018-08-01 23:52:00,2.23,E,4.02,13.2,17.96,56.0,35.56,108.966,34.31,99.0,4.02,6.2,40.0,33.33,NWQC1,95,-122.183889,39.446111
24,2018-08-02 00:52:00,1.79,E,4.02,13.0,17.35,103.0,32.78,108.966,32.79,86.0,4.02,6.5,41.0,32.22,NWQC1,95,-122.183889,39.446111
25,2018-08-02 01:52:00,0.9,NE,2.68,13.0,17.31,96.0,29.44,108.966,31.07,42.0,2.68,6.7,45.0,30.56,NWQC1,95,-122.183889,39.446111
26,2018-08-02 02:52:00,0.9,S,1.34,13.0,19.24,77.0,27.78,108.966,30.28,173.0,1.34,7.3,56.0,28.89,NWQC1,95,-122.183889,39.446111
27,2018-08-02 03:52:00,1.34,S,1.79,12.9,19.97,196.0,24.44,108.966,,185.0,1.79,8.0,69.0,26.11,NWQC1,95,-122.183889,39.446111
28,2018-08-02 04:52:00,0.45,SSW,2.23,12.9,19.39,3.0,21.67,108.966,,209.0,2.23,8.9,76.0,23.89,NWQC1,95,-122.183889,39.446111
29,2018-08-02 05:52:00,0.9,N,1.79,12.8,18.52,207.0,21.67,108.966,,5.0,1.79,10.2,72.0,23.89,NWQC1,95,-122.183889,39.446111
30,2018-08-02 06:52:00,0.9,SSE,1.79,12.8,17.76,129.0,21.67,108.966,,165.0,1.79,11.3,71.0,23.33,NWQC1,95,-122.183889,39.446111
31,2018-08-02 07:52:00,1.79,SE,3.13,12.8,14.81,151.0,21.67,108.966,,128.0,3.13,11.4,63.0,22.22,NWQC1,95,-122.183889,39.446111
32,2018-08-02 08:52:00,1.34,SE,3.13,12.8,14.53,146.0,20.56,108.966,,142.0,3.13,11.8,64.0,21.67,NWQC1,95,-122.183889,39.446111
33,2018-08-02 09:52:00,0.9,N,2.68,12.8,13.18,139.0,18.89,108.966,,4.0,2.68,11.7,65.0,20.0,NWQC1,95,-122.183889,39.446111
34,2018-08-02 10:52:00,0.9,SE,2.68,12.7,12.95,100.0,19.44,108.966,,124.0,2.68,12.6,64.0,20.0,NWQC1,95,-122.183889,39.446111
35,2018-08-02 11:52:00,0.45,SSW,1.79,12.7,13.87,96.0,16.11,108.966,,194.0,1.79,12.7,78.0,17.78,NWQC1,95,-122.183889,39.446111
36,2018-08-02 12:52:00,0.9,SE,1.34,12.7,13.79,121.0,16.67,108.966,,138.0,1.34,14.2,75.0,18.33,NWQC1,95,-122.183889,39.446111
37,2018-08-02 13:52:00,1.34,E,1.79,12.7,14.0,94.0,17.22,108.966,,101.0,1.79,14.8,76.0,18.33,NWQC1,95,-122.183889,39.446111
38,2018-08-02 14:52:00,1.34,ESE,1.79,13.5,15.28,137.0,20.56,108.966,,115.0,1.79,14.0,77.0,19.44,NWQC1,95,-122.183889,39.446111
39,2018-08-02 15:52:00,1.79,E,2.68,13.9,16.07,96.0,25.56,108.966,,95.0,2.68,12.3,66.0,22.78,NWQC1,95,-122.183889,39.446111
40,2018-08-02 16:52:00,1.79,E,3.13,13.9,14.79,76.0,27.78,108.966,,90.0,3.13,10.5,55.0,24.44,NWQC1,95,-122.183889,39.446111
