,road_temp_set_4,date_time,wind_cardinal_direction_set_1d,road_temp_set_1,wind_gust_set_1,road_temp_set_3,dew_point_temperature_set_1d,pressure_set_1,altimeter_set_1d,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,sea_level_pressure_set_1d,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,11.7,2018-08-01 00:00:00,NE,,4.9,12.5,6.0,89160.0,104393.76,,45.0,28.0,2.7,103334.9,25.9,ODT22,4298,-122.60288,42.06332
1,11.7,2018-08-01 00:15:00,NE,,7.2,12.5,6.17,89160.0,104393.76,,45.0,28.0,4.0,103324.85,26.1,ODT22,4298,-122.60288,42.06332
2,11.7,2018-08-01 00:30:00,NE,,5.4,12.5,6.43,89160.0,104393.76,,45.0,28.0,2.2,103309.79,26.4,ODT22,4298,-122.60288,42.06332
3,11.7,2018-08-01 01:00:00,E,,5.8,12.5,5.65,89770.0,105107.99,,90.0,28.0,2.7,104062.18,25.5,ODT22,4298,-122.60288,42.06332
4,11.7,2018-08-01 01:15:00,NE,,5.8,12.5,5.3,88990.0,104194.72,,45.0,27.0,3.6,103147.95,25.7,ODT22,4298,-122.60288,42.06332
5,11.7,2018-08-01 01:30:00,NE,,7.2,12.5,5.64,89060.0,104276.68,,45.0,27.0,2.7,103208.99,26.1,ODT22,4298,-122.60288,42.06332
6,11.7,2018-08-01 01:45:00,NE,,7.6,12.5,4.93,89710.0,105037.73,,45.0,26.0,4.9,103972.4,25.9,ODT22,4298,-122.60288,42.06332
7,11.7,2018-08-01 02:15:00,NE,,4.9,12.5,4.5,88990.0,104194.72,,45.0,26.0,1.8,103163.08,25.4,ODT22,4298,-122.60288,42.06332
8,11.7,2018-08-01 02:30:00,NE,,6.3,12.5,4.43,89160.0,104393.76,,45.0,27.0,2.7,103395.56,24.7,ODT22,4298,-122.60288,42.06332
9,11.7,2018-08-01 02:45:00,NE,29.8,7.6,12.5,4.78,89160.0,104393.76,,45.0,28.0,5.4,103405.69,24.5,ODT22,4298,-122.60288,42.06332
10,11.7,2018-08-01 03:00:00,NE,28.9,7.6,12.5,4.69,89160.0,104393.76,,45.0,28.0,4.5,103410.77,24.4,ODT22,4298,-122.60288,42.06332
11,11.7,2018-08-01 03:15:00,NE,28.2,8.0,12.5,4.85,89160.0,104393.76,,45.0,29.0,1.8,103431.11,24.0,ODT22,4298,-122.60288,42.06332
12,11.7,2018-08-01 03:30:00,NE,27.6,7.6,12.5,4.55,89160.0,104393.76,,45.0,30.0,0.9,103477.13,23.1,ODT22,4298,-122.60288,42.06332
13,11.7,2018-08-01 04:00:00,NE,26.3,5.4,12.5,4.77,89160.0,104393.76,,45.0,33.0,1.8,103544.09,21.8,ODT22,4298,-122.60288,42.06332
14,11.7,2018-08-01 04:15:00,NE,26.1,3.1,12.5,4.06,88990.0,104194.72,,45.0,33.0,1.3,103388.14,21.0,ODT22,4298,-122.60288,42.06332
15,11.7,2018-08-01 04:30:00,NE,25.5,4.0,12.5,4.15,89160.0,104393.76,,45.0,33.0,1.3,103580.44,21.1,ODT22,4298,-122.60288,42.06332
16,11.7,2018-08-01 04:45:00,E,25.3,4.0,12.5,3.88,89160.0,104393.76,,90.0,33.0,1.3,103596.08,20.8,ODT22,4298,-122.60288,42.06332
17,11.7,2018-08-01 05:00:00,NE,24.7,4.5,12.5,3.88,89160.0,104393.76,,45.0,33.0,1.8,103596.08,20.8,ODT22,4298,-122.60288,42.06332
18,11.7,2018-08-01 05:15:00,NE,24.4,3.6,12.5,3.8,89160.0,104393.76,,45.0,33.0,1.3,103601.29,20.7,ODT22,4298,-122.60288,42.06332
19,11.7,2018-08-01 05:30:00,SE,24.1,2.7,12.5,3.35,89160.0,104393.76,,135.0,33.0,0.9,103627.45,20.2,ODT22,4298,-122.60288,42.06332
20,11.7,2018-08-01 06:00:00,NE,23.6,4.0,12.5,3.51,89160.0,104393.76,,45.0,34.0,0.4,103643.16,19.9,ODT22,4298,-122.60288,42.06332
