,date_time,wind_cardinal_direction_set_1d,wind_gust_set_1,dew_point_temperature_set_1d,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,S,1.57,9.95,30.43,190.2,25.52,0.43,32.06,PG025,3580,-120.94354,39.25250
1,2018-08-01 00:10:00,SSE,1.96,10.9,30.37,156.8,27.55,0.59,31.83,PG025,3580,-120.94354,39.25250
2,2018-08-01 00:20:00,SSE,1.57,12.6,30.72,155.4,30.84,0.46,31.83,PG025,3580,-120.94354,39.25250
3,2018-08-01 00:30:00,SE,2.16,12.66,30.63,140.3,31.16,0.45,31.72,PG025,3580,-120.94354,39.25250
4,2018-08-01 00:40:00,SSE,1.47,12.48,30.49,147.3,31.0,0.24,31.61,PG025,3580,-120.94354,39.25250
5,2018-08-01 00:50:00,SSE,1.86,12.69,30.08,161.1,32.34,0.84,31.11,PG025,3580,-120.94354,39.25250
6,2018-08-01 01:00:00,SSE,2.06,12.6,29.58,154.9,33.2,0.64,30.56,PG025,3580,-120.94354,39.25250
7,2018-08-01 01:10:00,SSE,1.28,13.1,29.4,161.3,35.0,0.56,30.22,PG025,3580,-120.94354,39.25250
8,2018-08-01 01:20:00,SSE,1.28,13.76,29.09,153.9,37.74,0.31,29.67,PG025,3580,-120.94354,39.25250
9,2018-08-01 01:30:00,SSE,0.68,13.99,28.77,165.1,39.31,0.13,29.22,PG025,3580,-120.94354,39.25250
10,2018-08-01 01:40:00,SSE,1.28,13.61,28.42,157.0,39.1,0.13,28.89,PG025,3580,-120.94354,39.25250
11,2018-08-01 01:50:00,SE,0.39,13.59,28.11,144.5,39.96,0.03,28.5,PG025,3580,-120.94354,39.25250
12,2018-08-01 02:00:00,,0.0,13.54,27.9,,40.49,0.0,28.22,PG025,3580,-120.94354,39.25250
13,2018-08-01 02:10:00,,0.0,13.48,27.64,,41.12,0.0,27.89,PG025,3580,-120.94354,39.25250
14,2018-08-01 02:20:00,SW,0.59,13.48,27.37,217.2,42.1,0.19,27.5,PG025,3580,-120.94354,39.25250
15,2018-08-01 02:30:00,SSW,0.59,13.38,27.06,209.9,42.91,0.13,27.06,PG025,3580,-120.94354,39.25250
16,2018-08-01 02:40:00,SSW,0.29,12.76,26.55,208.0,42.05,0.01,26.72,PG025,3580,-120.94354,39.25250
17,2018-08-01 02:50:00,,0.0,12.59,,,42.68,0.0,26.29,PG025,3580,-120.94354,39.25250
