,date_time,fuel_moisture_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,volt_set_1,dew_point_temperature_set_1d,peak_wind_direction_set_1,fuel_temp_set_1,precip_accum_set_1,heat_index_set_1d,wind_direction_set_1,wind_speed_set_1,peak_wind_speed_set_1,solar_radiation_set_1,relative_humidity_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:54:00,3.9,ESE,4.02,13.2,10.13,99.0,35.0,416.052,31.64,102.0,2.23,4.02,253.0,24.0,33.33,PLIC1,2452,-122.830933,40.437836
1,2018-08-01 01:54:00,3.9,E,4.47,13.1,10.27,120.0,32.78,416.052,31.14,99.0,1.79,4.47,145.0,25.0,32.78,PLIC1,2452,-122.830933,40.437836
2,2018-08-01 02:54:00,3.9,NW,3.58,13.2,9.97,81.0,30.56,416.052,29.59,309.0,1.79,3.58,51.0,27.0,31.11,PLIC1,2452,-122.830933,40.437836
3,2018-08-01 03:54:00,3.9,WNW,6.26,13.1,6.2,305.0,28.33,416.052,27.89,302.0,3.58,6.26,8.0,23.0,29.44,PLIC1,2452,-122.830933,40.437836
4,2018-08-01 04:54:00,3.9,NW,8.49,13.0,4.62,299.0,27.78,416.052,27.03,307.0,4.92,8.49,0.0,22.0,28.33,PLIC1,2452,-122.830933,40.437836
5,2018-08-01 05:54:00,3.9,WNW,9.84,12.9,1.35,296.0,27.22,416.052,26.55,302.0,6.26,9.84,0.0,18.0,27.78,PLIC1,2452,-122.830933,40.437836
6,2018-08-01 06:54:00,4.0,NW,10.28,12.9,-0.73,288.0,26.11,416.052,26.42,310.0,4.02,10.28,0.0,16.0,27.22,PLIC1,2452,-122.830933,40.437836
7,2018-08-01 07:54:00,4.0,WNW,7.6,12.9,-0.35,285.0,25.56,416.052,25.84,298.0,4.02,7.6,0.0,17.0,26.67,PLIC1,2452,-122.830933,40.437836
8,2018-08-01 08:54:00,4.0,WNW,9.39,12.9,-0.03,290.0,25.0,416.052,,298.0,5.81,9.39,0.0,18.0,26.11,PLIC1,2452,-122.830933,40.437836
9,2018-08-01 09:54:00,4.0,WNW,10.28,12.9,-0.49,298.0,24.44,416.052,,293.0,4.92,10.28,0.0,18.0,25.56,PLIC1,2452,-122.830933,40.437836
10,2018-08-01 10:54:00,4.0,WNW,8.94,12.9,-0.95,302.0,23.89,416.052,,296.0,5.37,8.94,0.0,18.0,25.0,PLIC1,2452,-122.830933,40.437836
11,2018-08-01 11:54:00,4.0,WNW,9.84,12.9,-0.68,298.0,23.33,416.052,,296.0,4.47,9.84,0.0,19.0,24.44,PLIC1,2452,-122.830933,40.437836
12,2018-08-01 12:54:00,4.0,WNW,9.39,12.8,-0.68,301.0,23.33,416.052,,293.0,5.81,9.39,0.0,19.0,24.44,PLIC1,2452,-122.830933,40.437836
