,date_time,fuel_moisture_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,volt_set_1,dew_point_temperature_set_1d,peak_wind_direction_set_1,fuel_temp_set_1,precip_accum_set_1,heat_index_set_1d,wind_direction_set_1,wind_speed_set_1,peak_wind_speed_set_1,solar_radiation_set_1,relative_humidity_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:03:00,3.8,SSW,8.94,13.2,-8.06,204.0,36.67,3.302,28.88,212.0,4.92,8.94,376.0,7.0,31.67,RSHC1,5543,-120.869647, 41.288072
1,2018-08-01 01:03:00,3.6,SSW,8.94,13.4,-3.9,196.0,32.78,3.302,28.72,200.0,4.92,8.94,406.0,10.0,31.11,RSHC1,5543,-120.869647, 41.288072
2,2018-08-01 02:03:00,3.5,WSW,7.15,13.5,0.64,207.0,28.89,3.302,27.3,238.0,2.23,7.15,168.0,16.0,28.89,RSHC1,5543,-120.869647, 41.288072
3,2018-08-01 03:03:00,3.4,S,4.47,13.2,0.43,199.0,25.56,3.302,25.86,181.0,1.34,4.47,74.0,18.0,26.67,RSHC1,5543,-120.869647, 41.288072
4,2018-08-01 04:03:00,3.4,ESE,5.37,13.1,6.61,154.0,22.78,3.302,,117.0,2.23,5.37,3.0,33.0,23.89,RSHC1,5543,-120.869647, 41.288072
5,2018-08-01 05:03:00,3.4,ESE,4.02,13.0,5.19,134.0,21.11,3.302,,121.0,1.34,4.02,0.0,32.0,22.78,RSHC1,5543,-120.869647, 41.288072
6,2018-08-01 06:03:00,3.5,NE,4.02,13.0,5.14,136.0,20.0,3.302,,56.0,0.9,4.02,0.0,33.0,22.22,RSHC1,5543,-120.869647, 41.288072
7,2018-08-01 07:03:00,3.6,N,4.02,13.0,6.56,1.0,20.0,3.302,,1.0,2.68,4.02,0.0,39.0,21.11,RSHC1,5543,-120.869647, 41.288072
8,2018-08-01 08:03:00,3.8,N,3.58,12.9,6.98,359.0,18.33,3.302,,356.0,2.23,3.58,0.0,43.0,20.0,RSHC1,5543,-120.869647, 41.288072
9,2018-08-01 09:03:00,4.0,N,4.02,13.0,6.29,6.0,18.33,3.302,,8.0,2.23,4.02,0.0,41.0,20.0,RSHC1,5543,-120.869647, 41.288072
10,2018-08-01 10:03:00,4.1,NNW,2.68,12.9,6.44,12.0,17.22,3.302,,338.0,0.45,2.68,0.0,40.0,20.56,RSHC1,5543,-120.869647, 41.288072
11,2018-08-01 11:03:00,4.3,SSE,2.23,12.9,5.31,25.0,17.22,3.302,,167.0,0.45,2.23,0.0,37.0,20.56,RSHC1,5543,-120.869647, 41.288072
12,2018-08-01 12:03:00,4.6,,1.79,12.9,5.78,144.0,15.56,3.302,,,0.0,1.79,0.0,41.0,19.44,RSHC1,5543,-120.869647, 41.288072
13,2018-08-01 13:03:00,4.7,,0.9,12.9,5.63,139.0,15.0,3.302,,,0.0,0.9,0.0,42.0,18.89,RSHC1,5543,-120.869647, 41.288072
14,2018-08-01 14:03:00,5.0,SE,2.23,12.9,5.8,145.0,16.11,3.302,,139.0,1.79,2.23,23.0,44.0,18.33,RSHC1,5543,-120.869647, 41.288072
15,2018-08-01 15:03:00,5.3,,1.79,13.1,5.93,146.0,18.33,3.302,,,0.0,1.79,76.0,40.0,20.0,RSHC1,5543,-120.869647, 41.288072
16,2018-08-01 16:03:00,5.6,S,1.34,13.4,7.56,195.0,24.44,3.302,,185.0,1.34,1.34,300.0,39.0,22.22,RSHC1,5543,-120.869647, 41.288072
17,2018-08-01 17:03:00,5.7,S,2.68,13.5,8.68,190.0,25.0,3.302,,182.0,1.79,2.68,531.0,38.0,23.89,RSHC1,5543,-120.869647, 41.288072
18,2018-08-01 18:03:00,5.7,S,6.26,13.3,2.35,172.0,28.33,3.302,26.52,184.0,3.58,6.26,728.0,20.0,27.22,RSHC1,5543,-120.869647, 41.288072
19,2018-08-01 19:03:00,5.6,SSW,8.49,13.2,-0.7,190.0,33.33,3.302,26.88,194.0,4.92,8.49,858.0,15.0,28.33,RSHC1,5543,-120.869647, 41.288072
20,2018-08-01 20:03:00,5.0,SSW,11.17,13.2,-1.74,188.0,36.11,3.302,27.7,195.0,5.37,11.17,931.0,13.0,29.44,RSHC1,5543,-120.869647, 41.288072
21,2018-08-01 21:03:00,4.7,SSW,9.84,13.2,-1.29,197.0,37.22,3.302,28.13,193.0,6.26,9.84,920.0,13.0,30.0,RSHC1,5543,-120.869647, 41.288072
22,2018-08-01 22:03:00,4.3,SSW,8.94,13.6,-1.04,209.0,39.44,3.302,29.37,213.0,4.47,8.94,881.0,12.0,31.67,RSHC1,5543,-120.869647, 41.288072
23,2018-08-01 23:03:00,4.1,SSW,10.28,13.2,0.61,187.0,37.22,3.302,29.03,205.0,5.81,10.28,668.0,14.0,31.11,RSHC1,5543,-120.869647, 41.288072
24,2018-08-02 00:03:00,3.8,SW,8.94,13.2,-1.29,269.0,35.56,3.302,28.13,224.0,3.58,8.94,392.0,13.0,30.0,RSHC1,5543,-120.869647, 41.288072
25,2018-08-02 01:03:00,3.8,SW,8.49,13.2,-6.13,199.0,32.22,3.302,27.78,228.0,3.58,8.49,411.0,9.0,30.0,RSHC1,5543,-120.869647, 41.288072
26,2018-08-02 02:03:00,3.6,WSW,7.6,13.5,-2.62,245.0,29.44,3.302,26.86,241.0,3.13,7.6,281.0,13.0,28.33,RSHC1,5543,-120.869647, 41.288072
27,2018-08-02 03:03:00,3.6,S,7.15,13.1,1.33,182.0,23.89,3.302,,172.0,4.02,7.15,77.0,22.0,24.44,RSHC1,5543,-120.869647, 41.288072
28,2018-08-02 04:03:00,3.5,SSW,6.7,13.1,-0.07,180.0,21.11,3.302,,201.0,1.79,6.7,2.0,22.0,22.78,RSHC1,5543,-120.869647, 41.288072
29,2018-08-02 05:03:00,3.6,ESE,3.13,13.0,-1.17,85.0,20.0,3.302,,120.0,1.79,3.13,0.0,21.0,22.22,RSHC1,5543,-120.869647, 41.288072
30,2018-08-02 06:03:00,3.5,WNW,3.13,13.0,0.18,135.0,18.33,3.302,,288.0,0.45,3.13,0.0,24.0,21.67,RSHC1,5543,-120.869647, 41.288072
31,2018-08-02 07:03:00,3.7,NNW,2.23,12.9,1.33,3.0,18.33,3.302,,345.0,0.9,2.23,0.0,27.0,21.11,RSHC1,5543,-120.869647, 41.288072
32,2018-08-02 08:03:00,3.7,N,3.58,12.9,-2.76,357.0,18.89,3.302,,5.0,1.34,3.58,0.0,20.0,21.11,RSHC1,5543,-120.869647, 41.288072
33,2018-08-02 09:03:00,3.8,ESE,2.68,12.9,-0.2,4.0,16.11,3.302,,114.0,0.45,2.68,0.0,25.0,20.56,RSHC1,5543,-120.869647, 41.288072
