,date_time,precip_accum_set_1,snow_depth_set_1,air_temp_set_1,precip_accum_one_hour_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,6.096,33.02,27.22,,SCMC1,5898,-122.72000,41.27500
1,2018-08-01 01:00:00,6.096,35.56,25.56,0.0,SCMC1,5898,-122.72000,41.27500
2,2018-08-01 02:00:00,9.144,35.56,25.0,3.048,SCMC1,5898,-122.72000,41.27500
3,2018-08-01 03:00:00,9.144,43.18,21.67,0.0,SCMC1,5898,-122.72000,41.27500
4,2018-08-01 04:00:00,9.144,55.88,20.56,0.0,SCMC1,5898,-122.72000,41.27500
5,2018-08-01 05:00:00,9.144,48.26,18.89,,SCMC1,5898,-122.72000,41.27500
6,2018-08-01 06:00:00,6.096,53.34,18.89,,SCMC1,5898,-122.72000,41.27500
7,2018-08-01 07:00:00,6.096,55.88,18.33,0.0,SCMC1,5898,-122.72000,41.27500
8,2018-08-01 08:00:00,3.048,48.26,17.78,,SCMC1,5898,-122.72000,41.27500
9,2018-08-01 09:00:00,3.048,48.26,17.78,0.0,SCMC1,5898,-122.72000,41.27500
10,2018-08-01 10:00:00,0.0,40.64,16.67,,SCMC1,5898,-122.72000,41.27500
11,2018-08-01 11:00:00,,60.96,17.78,,SCMC1,5898,-122.72000,41.27500
12,2018-08-01 12:00:00,,60.96,16.11,0.0,SCMC1,5898,-122.72000,41.27500
13,2018-08-01 13:00:00,,58.42,17.78,0.0,SCMC1,5898,-122.72000,41.27500
14,2018-08-01 14:00:00,,50.8,17.22,0.0,SCMC1,5898,-122.72000,41.27500
15,2018-08-01 15:00:00,,45.72,18.89,0.0,SCMC1,5898,-122.72000,41.27500
16,2018-08-01 16:00:00,,43.18,19.44,0.0,SCMC1,5898,-122.72000,41.27500
17,2018-08-01 17:00:00,,25.4,21.67,0.0,SCMC1,5898,-122.72000,41.27500
18,2018-08-01 18:00:00,,48.26,22.78,0.0,SCMC1,5898,-122.72000,41.27500
19,2018-08-01 19:00:00,,35.56,23.89,0.0,SCMC1,5898,-122.72000,41.27500
20,2018-08-01 20:00:00,,45.72,22.78,0.0,SCMC1,5898,-122.72000,41.27500
21,2018-08-01 21:00:00,,35.56,23.89,0.0,SCMC1,5898,-122.72000,41.27500
22,2018-08-01 22:00:00,0.0,45.72,23.89,3.048,SCMC1,5898,-122.72000,41.27500
23,2018-08-01 23:00:00,3.048,45.72,25.0,3.048,SCMC1,5898,-122.72000,41.27500
24,2018-08-02 00:00:00,3.048,43.18,25.56,,SCMC1,5898,-122.72000,41.27500
25,2018-08-02 01:00:00,3.048,40.64,25.56,,SCMC1,5898,-122.72000,41.27500
26,2018-08-02 02:00:00,6.096,35.56,26.11,,SCMC1,5898,-122.72000,41.27500
27,2018-08-02 03:00:00,6.096,50.8,23.33,0.0,SCMC1,5898,-122.72000,41.27500
28,2018-08-02 04:00:00,6.096,55.88,20.0,,SCMC1,5898,-122.72000,41.27500
29,2018-08-02 05:00:00,6.096,53.34,20.0,0.0,SCMC1,5898,-122.72000,41.27500
30,2018-08-02 06:00:00,6.096,58.42,18.33,0.0,SCMC1,5898,-122.72000,41.27500
31,2018-08-02 07:00:00,3.048,55.88,17.78,,SCMC1,5898,-122.72000,41.27500
32,2018-08-02 08:00:00,3.048,53.34,16.11,0.0,SCMC1,5898,-122.72000,41.27500
33,2018-08-02 09:00:00,3.048,58.42,15.56,0.0,SCMC1,5898,-122.72000,41.27500
34,2018-08-02 10:00:00,0.0,40.64,16.11,,SCMC1,5898,-122.72000,41.27500
35,2018-08-02 11:00:00,,58.42,16.11,,SCMC1,5898,-122.72000,41.27500
36,2018-08-02 12:00:00,,58.42,15.0,0.0,SCMC1,5898,-122.72000,41.27500
37,2018-08-02 13:00:00,,43.18,14.44,0.0,SCMC1,5898,-122.72000,41.27500
38,2018-08-02 14:00:00,,43.18,15.56,0.0,SCMC1,5898,-122.72000,41.27500
39,2018-08-02 15:00:00,,48.26,16.11,0.0,SCMC1,5898,-122.72000,41.27500
40,2018-08-02 16:00:00,,22.86,17.22,,SCMC1,5898,-122.72000,41.27500
41,2018-08-02 17:00:00,,22.86,18.89,0.0,SCMC1,5898,-122.72000,41.27500
42,2018-08-02 18:00:00,,25.4,20.0,0.0,SCMC1,5898,-122.72000,41.27500
43,2018-08-02 19:00:00,,40.64,21.11,0.0,SCMC1,5898,-122.72000,41.27500
44,2018-08-02 20:00:00,,40.64,23.89,0.0,SCMC1,5898,-122.72000,41.27500
45,2018-08-02 21:00:00,,27.94,25.56,3.048,SCMC1,5898,-122.72000,41.27500
46,2018-08-02 22:00:00,0.0,20.32,26.67,,SCMC1,5898,-122.72000,41.27500
47,2018-08-02 23:00:00,3.048,40.64,27.22,,SCMC1,5898,-122.72000,41.27500
48,2018-08-03 00:00:00,3.048,48.26,26.11,,SCMC1,5898,-122.72000,41.27500
49,2018-08-03 01:00:00,6.096,33.02,26.67,3.048,SCMC1,5898,-122.72000,41.27500
50,2018-08-03 02:00:00,6.096,35.56,23.33,,SCMC1,5898,-122.72000,41.27500
51,2018-08-03 03:00:00,6.096,50.8,19.44,0.0,SCMC1,5898,-122.72000,41.27500
52,2018-08-03 04:00:00,6.096,55.88,16.67,0.0,SCMC1,5898,-122.72000,41.27500
53,2018-08-03 05:00:00,6.096,53.34,15.0,0.0,SCMC1,5898,-122.72000,41.27500
54,2018-08-03 06:00:00,6.096,53.34,14.44,0.0,SCMC1,5898,-122.72000,41.27500
55,2018-08-03 07:00:00,3.048,50.8,13.89,,SCMC1,5898,-122.72000,41.27500
56,2018-08-03 08:00:00,3.048,60.96,13.89,0.0,SCMC1,5898,-122.72000,41.27500
57,2018-08-03 09:00:00,0.0,53.34,12.22,,SCMC1,5898,-122.72000,41.27500
58,2018-08-03 10:00:00,,55.88,12.22,,SCMC1,5898,-122.72000,41.27500
59,2018-08-03 11:00:00,,58.42,11.11,0.0,SCMC1,5898,-122.72000,41.27500
60,2018-08-03 12:00:00,,58.42,11.67,,SCMC1,5898,-122.72000,41.27500
61,2018-08-03 13:00:00,,58.42,10.56,0.0,SCMC1,5898,-122.72000,41.27500
62,2018-08-03 14:00:00,,53.34,12.22,0.0,SCMC1,5898,-122.72000,41.27500
63,2018-08-03 15:00:00,,53.34,13.33,0.0,SCMC1,5898,-122.72000,41.27500
64,2018-08-03 16:00:00,,25.4,15.56,0.0,SCMC1,5898,-122.72000,41.27500
65,2018-08-03 17:00:00,,35.56,16.67,0.0,SCMC1,5898,-122.72000,41.27500
66,2018-08-03 18:00:00,,27.94,18.89,0.0,SCMC1,5898,-122.72000,41.27500
67,2018-08-03 19:00:00,,33.02,20.0,0.0,SCMC1,5898,-122.72000,41.27500
68,2018-08-03 20:00:00,,38.1,21.67,0.0,SCMC1,5898,-122.72000,41.27500
69,2018-08-03 21:00:00,,43.18,23.33,0.0,SCMC1,5898,-122.72000,41.27500
70,2018-08-03 22:00:00,,38.1,25.0,3.048,SCMC1,5898,-122.72000,41.27500
71,2018-08-03 23:00:00,,40.64,25.0,0.0,SCMC1,5898,-122.72000,41.27500
72,2018-08-04 00:00:00,3.048,20.32,25.56,6.096,SCMC1,5898,-122.72000,41.27500
73,2018-08-04 01:00:00,3.048,30.48,24.44,,SCMC1,5898,-122.72000,41.27500
74,2018-08-04 02:00:00,6.096,35.56,22.78,,SCMC1,5898,-122.72000,41.27500
75,2018-08-04 03:00:00,6.096,53.34,18.89,0.0,SCMC1,5898,-122.72000,41.27500
76,2018-08-04 04:00:00,6.096,60.96,16.11,0.0,SCMC1,5898,-122.72000,41.27500
77,2018-08-04 05:00:00,6.096,53.34,15.0,0.0,SCMC1,5898,-122.72000,41.27500
78,2018-08-04 06:00:00,3.048,55.88,13.89,,SCMC1,5898,-122.72000,41.27500
79,2018-08-04 07:00:00,3.048,58.42,13.33,0.0,SCMC1,5898,-122.72000,41.27500
80,2018-08-04 08:00:00,0.0,58.42,12.78,,SCMC1,5898,-122.72000,41.27500
81,2018-08-04 09:00:00,,53.34,11.67,,SCMC1,5898,-122.72000,41.27500
82,2018-08-04 10:00:00,,58.42,11.67,0.0,SCMC1,5898,-122.72000,41.27500
83,2018-08-04 11:00:00,,58.42,12.22,,SCMC1,5898,-122.72000,41.27500
84,2018-08-04 12:00:00,,55.88,11.67,0.0,SCMC1,5898,-122.72000,41.27500
