,date_time,wind_cardinal_direction_set_1d,snow_water_equiv_set_1,air_temp_set_1,precip_accum_set_1,wind_direction_set_1,wind_speed_set_1,snow_depth_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,WNW,,21.7,1300.48,286.0,0.13,,SQWC1,8012,-120.26576,39.18986
1,2018-08-01 01:00:00,W,,20.8,1300.48,276.0,0.13,,SQWC1,8012,-120.26576,39.18986
2,2018-08-01 02:00:00,W,,19.7,1300.48,268.0,0.13,,SQWC1,8012,-120.26576,39.18986
3,2018-08-01 03:00:00,WNW,,18.7,1300.48,285.0,0.13,,SQWC1,8012,-120.26576,39.18986
4,2018-08-01 04:00:00,WNW,,17.5,1300.48,298.0,0.13,,SQWC1,8012,-120.26576,39.18986
5,2018-08-01 05:00:00,W,,18.4,1300.48,272.0,0.13,,SQWC1,8012,-120.26576,39.18986
6,2018-08-01 06:00:00,W,,18.3,1303.02,279.0,0.13,,SQWC1,8012,-120.26576,39.18986
7,2018-08-01 07:00:00,WSW,,18.0,1303.02,255.0,0.13,,SQWC1,8012,-120.26576,39.18986
8,2018-08-01 08:00:00,WSW,,17.7,1300.48,248.0,0.13,,SQWC1,8012,-120.26576,39.18986
9,2018-08-01 09:00:00,WSW,,18.2,1300.48,253.0,0.13,,SQWC1,8012,-120.26576,39.18986
10,2018-08-01 10:00:00,W,,17.7,1303.02,263.0,0.13,,SQWC1,8012,-120.26576,39.18986
11,2018-08-01 11:00:00,SSW,,16.7,1300.48,212.0,0.13,,SQWC1,8012,-120.26576,39.18986
12,2018-08-01 12:00:00,NW,,16.9,1300.48,325.0,0.13,,SQWC1,8012,-120.26576,39.18986
13,2018-08-01 13:00:00,WNW,,16.9,1300.48,302.0,0.13,0.0,SQWC1,8012,-120.26576,39.18986
14,2018-08-01 14:00:00,WNW,,17.0,1303.02,296.0,0.13,,SQWC1,8012,-120.26576,39.18986
15,2018-08-01 15:00:00,W,,17.6,1303.02,270.0,0.13,,SQWC1,8012,-120.26576,39.18986
16,2018-08-01 16:00:00,WSW,,18.3,1300.48,255.0,0.13,,SQWC1,8012,-120.26576,39.18986
17,2018-08-01 17:00:00,WSW,,18.9,1300.48,245.0,0.13,,SQWC1,8012,-120.26576,39.18986
18,2018-08-01 18:00:00,W,,20.0,1300.48,280.0,0.13,,SQWC1,8012,-120.26576,39.18986
19,2018-08-01 19:00:00,W,,19.6,1303.02,263.0,0.13,,SQWC1,8012,-120.26576,39.18986
20,2018-08-01 20:00:00,W,,20.5,1310.64,266.0,0.13,,SQWC1,8012,-120.26576,39.18986
21,2018-08-01 21:00:00,W,,21.8,1300.48,268.0,0.13,,SQWC1,8012,-120.26576,39.18986
22,2018-08-01 22:00:00,WNW,,22.0,1300.48,288.0,0.13,,SQWC1,8012,-120.26576,39.18986
23,2018-08-01 23:00:00,W,,21.4,1300.48,279.0,0.13,,SQWC1,8012,-120.26576,39.18986
24,2018-08-02 00:00:00,W,,20.5,1297.94,280.0,0.13,,SQWC1,8012,-120.26576,39.18986
25,2018-08-02 01:00:00,W,,20.0,1300.48,273.0,0.13,,SQWC1,8012,-120.26576,39.18986
26,2018-08-02 02:00:00,W,,19.0,1297.94,273.0,0.13,,SQWC1,8012,-120.26576,39.18986
