,date_time,fuel_moisture_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,volt_set_1,dew_point_temperature_set_1d,peak_wind_direction_set_1,fuel_temp_set_1,precip_accum_set_1,heat_index_set_1d,wind_direction_set_1,wind_speed_set_1,peak_wind_speed_set_1,solar_radiation_set_1,relative_humidity_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:57:00,5.7,S,4.47,13.6,9.44,181.0,26.11,0.0,,181.0,1.79,4.47,502.0,40.0,23.89,TTEC1,4178,-123.659964, 41.341761
1,2018-08-01 01:57:00,5.8,S,5.81,13.5,-1.72,181.0,28.89,0.0,,181.0,2.68,5.81,310.0,17.0,25.0,TTEC1,4178,-123.659964, 41.341761
2,2018-08-01 02:57:00,5.3,S,5.81,13.3,-3.25,181.0,22.22,0.0,,181.0,2.23,5.81,135.0,18.0,22.22,TTEC1,4178,-123.659964, 41.341761
3,2018-08-01 03:57:00,5.5,S,4.02,13.2,-1.64,181.0,16.67,0.0,,181.0,1.79,4.02,9.0,21.0,21.67,TTEC1,4178,-123.659964, 41.341761
4,2018-08-01 04:57:00,5.4,S,5.81,13.1,-1.83,181.0,17.78,0.0,,181.0,3.13,5.81,0.0,20.0,22.22,TTEC1,4178,-123.659964, 41.341761
5,2018-08-01 05:57:00,5.6,S,6.26,13.1,1.29,181.0,17.78,0.0,,181.0,1.34,6.26,0.0,26.0,21.67,TTEC1,4178,-123.659964, 41.341761
6,2018-08-01 06:57:00,5.5,S,4.02,13.1,-3.45,181.0,16.11,0.0,,181.0,1.79,4.02,0.0,19.0,21.11,TTEC1,4178,-123.659964, 41.341761
7,2018-08-01 07:57:00,5.4,S,2.68,13.0,-0.2,181.0,14.44,0.0,,181.0,2.23,2.68,0.0,25.0,20.56,TTEC1,4178,-123.659964, 41.341761
8,2018-08-01 08:57:00,5.6,S,2.68,13.0,3.6,181.0,12.78,0.0,,181.0,1.79,2.68,0.0,34.0,20.0,TTEC1,4178,-123.659964, 41.341761
9,2018-08-01 09:57:00,5.6,S,3.13,13.0,3.81,181.0,11.67,0.0,,181.0,2.68,3.13,0.0,37.0,18.89,TTEC1,4178,-123.659964, 41.341761
10,2018-08-01 10:57:00,6.0,S,3.58,13.0,5.94,181.0,10.56,0.0,,181.0,3.13,3.58,0.0,46.0,17.78,TTEC1,4178,-123.659964, 41.341761
11,2018-08-01 11:57:00,6.3,S,3.58,13.0,5.8,181.0,10.56,0.0,,181.0,2.68,3.58,0.0,44.0,18.33,TTEC1,4178,-123.659964, 41.341761
12,2018-08-01 12:57:00,6.8,S,3.13,13.0,6.86,181.0,10.0,0.0,,181.0,1.79,3.13,0.0,49.0,17.78,TTEC1,4178,-123.659964, 41.341761
13,2018-08-01 13:57:00,7.5,S,2.23,12.9,6.86,181.0,11.67,0.0,,181.0,1.34,2.23,21.0,49.0,17.78,TTEC1,4178,-123.659964, 41.341761
14,2018-08-01 14:57:00,8.2,S,1.79,13.0,8.69,181.0,15.56,0.0,,181.0,0.9,1.79,147.0,50.0,19.44,TTEC1,4178,-123.659964, 41.341761
15,2018-08-01 15:57:00,8.6,S,2.23,13.3,10.83,181.0,21.11,0.0,,181.0,0.9,2.23,352.0,52.0,21.11,TTEC1,4178,-123.659964, 41.341761
16,2018-08-01 16:57:00,8.4,S,2.68,13.7,10.33,181.0,27.22,0.0,,181.0,0.9,2.68,579.0,47.0,22.22,TTEC1,4178,-123.659964, 41.341761
17,2018-08-01 17:57:00,7.6,S,2.68,13.8,12.37,181.0,32.22,0.0,,181.0,0.9,2.68,780.0,47.0,24.44,TTEC1,4178,-123.659964, 41.341761
18,2018-08-01 18:57:00,7.1,S,2.68,13.7,13.4,181.0,35.56,0.0,,181.0,0.9,2.68,985.0,47.0,25.56,TTEC1,4178,-123.659964, 41.341761
19,2018-08-01 19:57:00,6.2,S,3.58,13.8,11.18,181.0,36.67,0.0,,181.0,2.23,3.58,1027.0,42.0,25.0,TTEC1,4178,-123.659964, 41.341761
20,2018-08-01 20:57:00,6.1,S,4.92,13.6,11.45,181.0,36.67,0.0,,181.0,2.68,4.92,1063.0,40.0,26.11,TTEC1,4178,-123.659964, 41.341761
21,2018-08-01 21:57:00,5.9,S,4.92,14.2,11.69,181.0,36.67,0.0,,181.0,3.13,4.92,978.0,42.0,25.56,TTEC1,4178,-123.659964, 41.341761
22,2018-08-01 22:57:00,5.6,S,5.37,13.6,12.04,181.0,36.11,0.0,,181.0,4.02,5.37,894.0,43.0,25.56,TTEC1,4178,-123.659964, 41.341761
23,2018-08-01 23:57:00,5.5,S,6.26,13.6,12.56,181.0,33.89,0.0,,181.0,3.58,6.26,754.0,46.0,25.0,TTEC1,4178,-123.659964, 41.341761
24,2018-08-02 00:57:00,5.7,S,4.92,13.9,11.35,181.0,27.78,0.0,,181.0,3.13,4.92,580.0,47.0,23.33,TTEC1,4178,-123.659964, 41.341761
25,2018-08-02 01:57:00,5.6,S,4.47,13.6,8.68,181.0,28.89,0.0,,181.0,1.79,4.47,348.0,38.0,23.89,TTEC1,4178,-123.659964, 41.341761
26,2018-08-02 02:57:00,5.5,S,3.58,13.4,5.69,181.0,21.11,0.0,,181.0,0.9,3.58,144.0,38.0,20.56,TTEC1,4178,-123.659964, 41.341761
27,2018-08-02 03:57:00,5.8,S,4.47,13.2,-2.29,181.0,16.11,0.0,,181.0,2.23,4.47,10.0,23.0,19.44,TTEC1,4178,-123.659964, 41.341761
28,2018-08-02 04:57:00,5.8,S,3.58,13.1,-2.76,181.0,15.56,0.0,,181.0,1.34,3.58,0.0,23.0,18.89,TTEC1,4178,-123.659964, 41.341761
29,2018-08-02 05:57:00,5.8,S,3.58,13.1,-3.51,181.0,15.0,0.0,,181.0,1.79,3.58,0.0,21.0,19.44,TTEC1,4178,-123.659964, 41.341761
30,2018-08-02 06:57:00,5.8,S,4.02,13.1,-1.1,181.0,14.44,0.0,,181.0,1.34,4.02,0.0,26.0,18.89,TTEC1,4178,-123.659964, 41.341761
31,2018-08-02 07:57:00,5.7,S,3.13,13.1,-4.62,181.0,13.33,0.0,,181.0,1.34,3.13,0.0,20.0,18.89,TTEC1,4178,-123.659964, 41.341761
32,2018-08-02 08:57:00,5.7,S,2.23,13.0,1.27,181.0,12.78,0.0,,181.0,1.79,2.23,0.0,32.0,18.33,TTEC1,4178,-123.659964, 41.341761
