,date_time,wind_speed_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,dew_point_temperature_set_1d,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,solar_radiation_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:00:00,1.79,N,69.29,15.94,34.49,6.0,33.0,569.0,34.44,TWSC1,139,-121.67111,39.45806
1,2018-08-01 00:15:00,0.9,N,82.7,16.81,34.3,2.0,36.0,221.0,33.89,TWSC1,139,-121.67111,39.45806
2,2018-08-01 00:30:00,1.34,N,71.52,17.24,34.53,4.0,37.0,198.0,33.89,TWSC1,139,-121.67111,39.45806
3,2018-08-01 00:45:00,1.34,N,61.24,15.91,33.88,8.0,34.0,305.0,33.89,TWSC1,139,-121.67111,39.45806
4,2018-08-01 01:00:00,2.23,N,65.26,15.94,34.49,9.0,33.0,351.0,34.44,TWSC1,139,-121.67111,39.45806
5,2018-08-01 01:15:00,1.34,N,62.13,19.34,34.56,5.0,45.0,93.0,32.78,TWSC1,139,-121.67111,39.45806
6,2018-08-01 01:30:00,1.79,N,62.58,18.74,34.78,5.0,42.0,126.0,33.33,TWSC1,139,-121.67111,39.45806
7,2018-08-01 01:45:00,2.23,N,63.92,17.56,34.09,5.0,39.0,156.0,33.33,TWSC1,139,-121.67111,39.45806
8,2018-08-01 02:00:00,1.34,N,57.22,17.24,34.53,4.0,37.0,202.0,33.89,TWSC1,139,-121.67111,39.45806
9,2018-08-01 02:15:00,1.34,N,50.51,18.5,32.22,5.0,47.0,13.0,31.11,TWSC1,139,-121.67111,39.45806
10,2018-08-01 02:30:00,1.34,N,54.98,19.81,33.0,3.0,51.0,25.0,31.11,TWSC1,139,-121.67111,39.45806
11,2018-08-01 02:45:00,0.9,N,59.9,20.95,34.47,4.0,53.0,40.0,31.67,TWSC1,139,-121.67111,39.45806
12,2018-08-01 03:00:00,1.34,N,55.87,20.19,34.53,5.0,49.0,59.0,32.22,TWSC1,139,-121.67111,39.45806
13,2018-08-01 03:15:00,0.9,N,40.23,17.3,29.98,2.0,48.0,0.0,29.44,TWSC1,139,-121.67111,39.45806
14,2018-08-01 03:30:00,0.45,N,24.59,18.14,30.89,2.0,49.0,0.0,30.0,TWSC1,139,-121.67111,39.45806
15,2018-08-01 03:45:00,0.45,N,24.59,18.57,30.53,3.0,52.0,0.0,29.44,TWSC1,139,-121.67111,39.45806
16,2018-08-01 04:00:00,1.34,N,35.76,18.66,31.73,3.0,49.0,4.0,30.56,TWSC1,139,-121.67111,39.45806
17,2018-08-01 04:15:00,1.34,N,42.02,15.43,28.87,3.0,44.0,0.0,28.89,TWSC1,139,-121.67111,39.45806
18,2018-08-01 04:30:00,1.79,N,43.36,16.12,29.07,5.0,46.0,1.0,28.89,TWSC1,139,-121.67111,39.45806
19,2018-08-01 04:45:00,1.79,N,40.23,16.63,29.73,4.0,46.0,1.0,29.44,TWSC1,139,-121.67111,39.45806
20,2018-08-01 05:00:00,0.9,N,54.54,18.57,30.53,3.0,52.0,0.0,29.44,TWSC1,139,-121.67111,39.45806
21,2018-08-01 05:15:00,0.9,N,40.23,16.29,27.28,3.0,53.0,0.0,26.67,TWSC1,139,-121.67111,39.45806
22,2018-08-01 05:30:00,1.34,N,36.65,15.07,27.06,3.0,49.0,0.0,26.67,TWSC1,139,-121.67111,39.45806
23,2018-08-01 05:45:00,0.9,N,47.83,16.0,27.22,2.0,52.0,0.0,26.67,TWSC1,139,-121.67111,39.45806
24,2018-08-01 06:00:00,0.9,N,44.25,15.11,27.89,3.0,46.0,0.0,27.78,TWSC1,139,-121.67111,39.45806
25,2018-08-01 06:15:00,2.68,N,46.04,15.38,27.12,6.0,50.0,0.0,26.67,TWSC1,139,-121.67111,39.45806
26,2018-08-01 06:30:00,1.79,N,36.65,16.0,27.22,4.0,52.0,1.0,26.67,TWSC1,139,-121.67111,39.45806
27,2018-08-01 06:45:00,1.34,N,45.15,15.69,27.17,4.0,51.0,0.0,26.67,TWSC1,139,-121.67111,39.45806
28,2018-08-01 07:00:00,1.34,N,29.95,15.38,27.12,4.0,50.0,0.0,26.67,TWSC1,139,-121.67111,39.45806
29,2018-08-01 07:15:00,0.45,N,32.18,15.47,,3.0,52.0,0.0,26.11,TWSC1,139,-121.67111,39.45806
30,2018-08-01 07:30:00,0.9,N,51.85,14.96,,4.0,52.0,0.0,25.56,TWSC1,139,-121.67111,39.45806
31,2018-08-01 07:45:00,1.79,N,33.53,14.86,,5.0,50.0,0.0,26.11,TWSC1,139,-121.67111,39.45806
32,2018-08-01 08:00:00,1.79,N,40.68,15.38,27.12,7.0,50.0,0.0,26.67,TWSC1,139,-121.67111,39.45806
33,2018-08-01 08:15:00,1.34,N,66.61,15.37,,3.0,59.0,0.0,23.89,TWSC1,139,-121.67111,39.45806
34,2018-08-01 08:30:00,0.9,N,62.58,15.35,,3.0,57.0,0.0,24.44,TWSC1,139,-121.67111,39.45806
35,2018-08-01 08:45:00,0.45,N,44.25,15.32,,2.0,55.0,0.0,25.0,TWSC1,139,-121.67111,39.45806
36,2018-08-01 09:00:00,0.45,N,34.86,15.03,,2.0,54.0,0.0,25.0,TWSC1,139,-121.67111,39.45806
37,2018-08-01 09:15:00,0.9,N,75.54,13.92,,4.0,52.0,0.0,24.44,TWSC1,139,-121.67111,39.45806
38,2018-08-01 09:30:00,1.79,N,81.8,14.51,,4.0,54.0,0.0,24.44,TWSC1,139,-121.67111,39.45806
39,2018-08-01 09:45:00,0.9,N,64.37,15.63,,3.0,60.0,0.0,23.89,TWSC1,139,-121.67111,39.45806
40,2018-08-01 10:00:00,1.34,N,66.61,15.89,,3.0,59.0,0.0,24.44,TWSC1,139,-121.67111,39.45806
41,2018-08-01 10:15:00,1.79,N,32.18,14.32,,5.0,59.0,1.0,22.78,TWSC1,139,-121.67111,39.45806
42,2018-08-01 10:30:00,0.9,N,50.51,14.32,,3.0,59.0,0.0,22.78,TWSC1,139,-121.67111,39.45806
43,2018-08-01 10:45:00,0.9,N,61.69,15.36,,3.0,61.0,0.0,23.33,TWSC1,139,-121.67111,39.45806
44,2018-08-01 11:00:00,0.45,N,74.65,14.28,,2.0,55.0,0.0,23.89,TWSC1,139,-121.67111,39.45806
45,2018-08-01 11:15:00,0.45,N,37.55,14.04,,3.0,62.0,0.0,21.67,TWSC1,139,-121.67111,39.45806
46,2018-08-01 11:30:00,0.9,N,37.1,14.05,,4.0,60.0,0.0,22.22,TWSC1,139,-121.67111,39.45806
47,2018-08-01 11:45:00,1.34,N,35.31,14.05,,5.0,60.0,0.0,22.22,TWSC1,139,-121.67111,39.45806
48,2018-08-01 12:00:00,2.23,N,37.1,13.79,,5.0,57.0,0.0,22.78,TWSC1,139,-121.67111,39.45806
49,2018-08-01 12:15:00,1.34,N,42.91,13.72,,4.0,65.0,0.0,20.56,TWSC1,139,-121.67111,39.45806
50,2018-08-01 12:30:00,0.9,N,50.51,13.28,,2.0,59.0,0.0,21.67,TWSC1,139,-121.67111,39.45806
51,2018-08-01 12:45:00,0.45,N,,13.26,,1.0,61.0,0.0,21.11,TWSC1,139,-121.67111,39.45806
52,2018-08-01 13:00:00,0.0,,42.91,13.76,,,63.0,0.0,21.11,TWSC1,139,-121.67111,39.45806
53,2018-08-01 13:15:00,0.9,N,23.69,12.95,,5.0,64.0,41.0,20.0,TWSC1,139,-121.67111,39.45806
54,2018-08-01 13:30:00,1.79,N,48.28,12.21,,4.0,61.0,19.0,20.0,TWSC1,139,-121.67111,39.45806
55,2018-08-01 13:45:00,0.9,N,36.65,12.99,,3.0,62.0,5.0,20.56,TWSC1,139,-121.67111,39.45806
56,2018-08-01 14:00:00,1.34,N,44.25,12.99,,4.0,62.0,2.0,20.56,TWSC1,139,-121.67111,39.45806
57,2018-08-01 14:15:00,1.34,N,52.75,12.22,,5.0,57.0,181.0,21.11,TWSC1,139,-121.67111,39.45806
58,2018-08-01 14:30:00,1.34,N,42.47,12.75,,4.0,59.0,136.0,21.11,TWSC1,139,-121.67111,39.45806
59,2018-08-01 14:45:00,1.34,N,40.23,12.49,,4.0,60.0,99.0,20.56,TWSC1,139,-121.67111,39.45806
60,2018-08-01 15:00:00,1.79,N,39.78,13.48,,4.0,64.0,68.0,20.56,TWSC1,139,-121.67111,39.45806
61,2018-08-01 15:15:00,2.23,N,54.54,11.26,,8.0,50.0,358.0,22.22,TWSC1,139,-121.67111,39.45806
62,2018-08-01 15:30:00,2.68,N,65.26,11.56,,7.0,51.0,310.0,22.22,TWSC1,139,-121.67111,39.45806
63,2018-08-01 15:45:00,2.23,N,57.66,10.76,,7.0,50.0,266.0,21.67,TWSC1,139,-121.67111,39.45806
64,2018-08-01 16:00:00,2.68,N,50.07,12.48,,6.0,56.0,223.0,21.67,TWSC1,139,-121.67111,39.45806
65,2018-08-01 16:15:00,2.23,N,55.43,12.81,,6.0,50.0,523.0,23.89,TWSC1,139,-121.67111,39.45806
66,2018-08-01 16:30:00,2.23,N,54.98,12.59,,7.0,51.0,484.0,23.33,TWSC1,139,-121.67111,39.45806
67,2018-08-01 16:45:00,2.23,N,62.13,12.08,,7.0,51.0,448.0,22.78,TWSC1,139,-121.67111,39.45806
68,2018-08-01 17:00:00,3.13,N,63.02,11.78,,8.0,50.0,408.0,22.78,TWSC1,139,-121.67111,39.45806
69,2018-08-01 17:15:00,0.45,N,,13.55,27.19,3.0,43.0,671.0,27.22,TWSC1,139,-121.67111,39.45806
70,2018-08-01 17:30:00,0.9,N,57.66,12.89,,4.0,44.0,637.0,26.11,TWSC1,139,-121.67111,39.45806
71,2018-08-01 17:45:00,2.23,N,48.72,12.89,,5.0,47.0,600.0,25.0,TWSC1,139,-121.67111,39.45806
