,date_time,fuel_moisture_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,volt_set_1,peak_wind_direction_set_1,air_temp_low_24_hour_set_1,air_temp_high_24_hour_set_1,dew_point_temperature_set_1d,fuel_temp_set_1,precip_accum_set_1,heat_index_set_1d,wind_direction_set_1,wind_speed_set_1,peak_wind_speed_set_1,solar_radiation_set_1,relative_humidity_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
0,2018-08-01 00:31:00,5.0,WNW,5.37,13.6,289.0,29.44,32.78,4.79,28.33,11.176,26.68,301.0,2.68,5.37,225.0,23.0,27.78,VABC1,5303,-121.794875,41.642967
1,2018-08-01 01:31:00,5.0,NW,4.02,13.4,294.0,,,5.98,27.78,11.176,26.74,320.0,0.45,4.02,135.0,25.0,27.78,VABC1,5303,-121.794875,41.642967
2,2018-08-01 02:31:00,5.0,WNW,4.92,13.1,286.0,,,5.21,23.89,11.176,,298.0,2.23,4.92,89.0,28.0,25.0,VABC1,5303,-121.794875,41.642967
3,2018-08-01 03:31:00,5.1,WNW,5.37,13.0,275.0,,,0.65,20.0,11.176,,294.0,2.23,5.37,20.0,24.0,22.22,VABC1,5303,-121.794875,41.642967
4,2018-08-01 04:31:00,5.2,WNW,3.58,13.0,304.0,,,3.6,17.22,11.176,,303.0,1.79,3.58,0.0,34.0,20.0,VABC1,5303,-121.794875,41.642967
5,2018-08-01 05:31:00,5.1,WNW,4.92,12.9,294.0,,,5.43,16.11,11.176,,294.0,1.79,4.92,0.0,40.0,19.44,VABC1,5303,-121.794875,41.642967
6,2018-08-01 06:31:00,5.2,SE,2.68,12.9,310.0,,,5.63,14.44,11.176,,126.0,0.9,2.68,0.0,42.0,18.89,VABC1,5303,-121.794875,41.642967
7,2018-08-01 07:31:00,5.4,W,1.79,12.9,135.0,,,5.12,12.78,11.176,,263.0,0.45,1.79,0.0,42.0,18.33,VABC1,5303,-121.794875,41.642967
8,2018-08-01 08:31:00,5.5,,1.34,12.9,226.0,,,3.93,11.67,11.176,,,0.0,1.34,0.0,40.0,17.78,VABC1,5303,-121.794875,41.642967
9,2018-08-01 09:31:00,5.7,W,1.34,12.9,278.0,,,4.12,10.56,11.176,,277.0,0.9,1.34,0.0,42.0,17.22,VABC1,5303,-121.794875,41.642967
10,2018-08-01 10:31:00,5.9,,1.34,12.8,260.0,,,4.41,10.56,11.176,,,0.0,1.34,0.0,46.0,16.11,VABC1,5303,-121.794875,41.642967
11,2018-08-01 11:31:00,6.2,,1.34,12.8,267.0,,,3.9,10.0,11.176,,,0.0,1.34,0.0,46.0,15.56,VABC1,5303,-121.794875,41.642967
12,2018-08-01 12:31:00,6.3,,0.9,12.8,223.0,,,4.21,9.44,11.176,,,0.0,0.9,0.0,47.0,15.56,VABC1,5303,-121.794875,41.642967
13,2018-08-01 13:31:00,6.6,,0.9,12.8,112.0,,,4.72,10.0,11.176,,,0.0,0.9,5.0,47.0,16.11,VABC1,5303,-121.794875,41.642967
